target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,image_8_started,start_wait_started,key_resp_9_started,key_resp_9_keys,key_resp_9_rt,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,image_5_started,image_6_started,back_2_started,mainback_started,mouse_6_started,image_7_started,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fix_fl_started,j_button_started,k_button_started,l_button_started,targ_started,fix_fl_stopped,fl_ans,fl_res,fl_corr,fl_rt,j_button2_started,k_button2_started,l_button2_started,j_button2_stopped,k_button2_stopped,l_button2_stopped,id_,date,expName,psychopyVersion,frameRate
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.3054734999314,33.3054734999314,33.3054734999314,space,1.16468750010245,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h56.51.168,Main,2023.1.2,59.7039520505583
,,NaN,,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,space,0.386953699868172,35.940470200032,35.940470200032,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h56.51.168,Main,2023.1.2,59.7039520505583
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,37.1774995999876,39.2075290000066,41.2077949999366,0.0462505000177771,41.2077949999366,space,27.117504300084,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h56.51.168,Main,2023.1.2,59.7039520505583
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,0.189814814814815,0.0157407407407407,0,0,0,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h56.51.168,Main,2023.1.2,59.7039520505583
positive,positive,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,11,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,68.3737895998638,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,1,1,2,positive,positive,70.4425260999706,70.4425260999706,70.4425260999706,70.4425260999706,71.4075529000256,71.4735814998858,j,j,1,2.40886000008322,73.8407971998677,73.8407971998677,73.8407971998677,74.909109500004,74.909109500004,74.909109500004,301,2023-08-15_12h56.51.168,Main,2023.1.2,59.7039520505583
positive,positive,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,1,1,2,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,1,positive,positive,74.909109500004,74.909109500004,74.909109500004,74.909109500004,75.8744091000408,75.9411021999549,j,j,1,1.36206999979913,77.2578556998633,77.2578556998633,77.2578556998633,77.2578556998633,77.2578556998633,77.2578556998633,301,2023-08-15_12h56.51.168,Main,2023.1.2,59.7039520505583
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,2,2,8,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,1,1,1,neutral,positive,77.2578556998633,77.2578556998633,77.2578556998633,77.2578556998633,78.241040199995,78.2745735000353,j,j,1,1.19938080012798,79.4588013000321,79.4588013000321,79.4588013000321,79.4588013000321,79.4588013000321,79.4588013000321,301,2023-08-15_12h56.51.168,Main,2023.1.2,59.7039520505583
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,3,3,12,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,2,neutral,negative,79.4588013000321,79.4588013000321,79.4588013000321,79.4588013000321,80.4412714999635,80.475327400025,l,l,1,1.64797239983454,82.1088622000534,82.1088622000534,82.1088622000534,82.1088622000534,82.1088622000534,82.1088622000534,301,2023-08-15_12h56.51.168,Main,2023.1.2,59.7039520505583
negative,negative,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,4,4,9,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,2,negative,negative,82.1088622000534,82.1088622000534,82.1088622000534,82.1088622000534,83.1093284999952,83.1414977998938,l,l,1,42.7783779001329,125.861674099928,125.861674099928,125.861674099928,126.895157400053,126.895157400053,126.895157400053,301,2023-08-15_12h56.51.168,Main,2023.1.2,59.7039520505583
negative,positive,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,5,5,15,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,1,1,2,positive,negative,126.895157400053,126.895157400053,126.895157400053,126.895157400053,127.910139099928,127.960957000032,l,l,1,1.79857559991069,129.711352000013,129.711352000013,129.711352000013,129.711352000013,129.711352000013,129.711352000013,301,2023-08-15_12h56.51.168,Main,2023.1.2,59.7039520505583
