distractor,target,set,ans1,ans2,rep_loop4_thisRepN,rep_loop4_thisTrialN,rep_loop4_thisN,rep_loop4_thisIndex,st2_prac_loop_thisRepN,st2_prac_loop_thisTrialN,st2_prac_loop_thisN,st2_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,st2_main_loop_thisRepN,st2_main_loop_thisTrialN,st2_main_loop_thisN,st2_main_loop_thisIndex,image_4_started,image_4_stopped,wait_img_started,wait_img_stopped,key_resp_3_keys,key_resp_3_rt,image_5_started,image_5_stopped,ins_rep_img_started,ins_rep_img_stopped,st_prac_back_started,st_prac_back_stopped,prac_img_started,prac_img_stopped,st_fix_back_started,st_fix_back_stopped,st_fix_2_started,st_fix_2_stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back_started,st_back_stopped,st2_resp_keys,st2_resp_corr,st_main_back_started,st_main_back_stopped,mouse_4_x,mouse_4_y,mouse_4_leftButton,mouse_4_midButton,mouse_4_rightButton,mouse_4_started,mouse_4_stopped,main_key_keys,main_key_rt,main_key_started,main_key_stopped,main_img_started,main_img_stopped,contineu_img_started,contineu_img_stopped,key_resp_9_keys,key_resp_9_rt,key_resp_9_started,key_resp_9_stopped,text_2_started,text_2_stopped,id_,date,expName,psychopyVersion,frameRate
positive,blue,1,k,None,NaN,NaN,NaN,NaN,0,0,0,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.5375860000004,None,61.5375860000004,None,space,50.6142520999983,116.266072099999,None,116.266072099999,None,122.690091500001,None,122.690091500001,None,124.7005832,None,124.7005832,None,prac,k,k,1,1.87759689999984,126.7318615,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,302,2023-08-15_13h06.49.425,Main,2022.1.1,None
positive,blue,1,k,None,NaN,NaN,NaN,NaN,0,1,1,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,1.01941319999969,129.6066455,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,302,2023-08-15_13h06.49.425,Main,2022.1.1,None
positive,red,1,None,None,NaN,NaN,NaN,NaN,0,2,2,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.52550560000054,131.6249329,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,302,2023-08-15_13h06.49.425,Main,2022.1.1,None
negative,red,1,None,None,NaN,NaN,NaN,NaN,0,3,3,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.52261849999923,134.1607958,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,302,2023-08-15_13h06.49.425,Main,2022.1.1,None
positive,blue,2,k,None,NaN,NaN,NaN,NaN,0,4,4,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,3.01989670000148,136.672782899999,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,302,2023-08-15_13h06.49.425,Main,2022.1.1,None
negative,blue,2,None,k,NaN,NaN,NaN,NaN,0,5,5,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.5078500999989,141.787866799999,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,302,2023-08-15_13h06.49.425,Main,2022.1.1,None
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,0,6,6,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,1.11715969999932,144.3032277,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,302,2023-08-15_13h06.49.425,Main,2022.1.1,None
positive,blue,2,k,None,NaN,NaN,NaN,NaN,0,7,7,17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,1.03310930000043,146.421578699999,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,302,2023-08-15_13h06.49.425,Main,2022.1.1,None
positive,red,2,None,None,NaN,NaN,NaN,NaN,0,8,8,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.50885580000067,148.4543822,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,302,2023-08-15_13h06.49.425,Main,2022.1.1,None
negative,blue,2,None,k,NaN,NaN,NaN,NaN,0,9,9,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.5350613999999,150.9520533,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,302,2023-08-15_13h06.49.425,Main,2022.1.1,None
