target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,image_8_started,image_8_stopped,start_wait_started,start_wait_stopped,key_resp_9_keys,key_resp_9_rt,key_resp_9_started,key_resp_9_stopped,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,image_4_stopped,image_5_started,image_5_stopped,image_6_started,image_6_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,image_7_started,image_7_stopped,id_,date,expName,psychopyVersion,frameRate
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.7395774999968,None,41.7395774999968,None,space,3.02924450000137,41.7395774999968,None,,NaN,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,402,2023-08-15_15h07.46.064,Main,2022.1.1,None
,,NaN,,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,space,26.5283289000035,72.4998427999999,None,72.4998427999999,None,NaN,,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,402,2023-08-15_15h07.46.064,Main,2022.1.1,None
positive,positive,1,l,j,NaN,NaN,NaN,NaN,0,0,0,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,74.0327848999987,None,76.0462722999982,None,prac,2,2,1,positive,positive,l,l,1,3.98586259999865,78.1109007999985,79.1422893999988,79.0789129999976,None,78.1109007999985,None,78.1109007999985,None,78.1109007999985,None,83.0568972000001,None,83.0568972000001,None,83.0568972000001,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,402,2023-08-15_15h07.46.064,Main,2022.1.1,None
negative,positive,2,j,l,NaN,NaN,NaN,NaN,0,1,1,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,2,positive,negative,j,l,0,6.44714699999895,84.1073875000002,85.126152599998,85.0919168999972,None,84.1073875000002,None,84.1073875000002,None,84.1073875000002,None,91.5387284999997,None,91.5387284999997,None,91.5387284999997,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,402,2023-08-15_15h07.46.064,Main,2022.1.1,None
negative,negative,2,j,l,NaN,NaN,NaN,NaN,0,2,2,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,2,negative,negative,j,j,1,3.40874489999987,92.5739136999982,93.6053515999993,93.5720531999978,None,92.5739136999982,None,92.5739136999982,None,92.5739136999982,None,96.9572505999968,None,96.9572505999968,None,96.9572505999968,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,402,2023-08-15_15h07.46.064,Main,2022.1.1,None
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,0,3,3,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,1,neutral,negative,j,,0,2.70814619999874,98.0052560999975,99.0572901999985,98.9875678999997,None,98.0052560999975,None,98.0052560999975,None,98.0052560999975,None,101.7055329,None,101.7055329,None,101.7055329,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,402,2023-08-15_15h07.46.064,Main,2022.1.1,None
positive,positive,2,l,j,NaN,NaN,NaN,NaN,0,4,4,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,2,positive,positive,l,l,1,3.17662859999837,102.756286099997,103.819764899999,103.769835799998,None,102.756286099997,None,102.756286099997,None,102.756286099997,None,106.904249699997,None,106.904249699997,None,106.904249699997,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,402,2023-08-15_15h07.46.064,Main,2022.1.1,None
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,0,5,5,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,2,neutral,neutral,k,k,1,2.8346109999984,107.968331399999,108.985070399998,108.9559515,None,107.968331399999,None,107.968331399999,None,107.968331399999,None,111.769219099999,None,111.769219099999,None,111.769219099999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,402,2023-08-15_15h07.46.064,Main,2022.1.1,None
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,0,6,6,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,1,negative,neutral,k,j,0,2.2387318000001,112.8170646,113.836605699998,113.800292099997,None,112.8170646,None,112.8170646,None,112.8170646,None,116.035526399999,None,116.035526399999,None,116.035526399999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,402,2023-08-15_15h07.46.064,Main,2022.1.1,None
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,0,7,7,17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,2,neutral,positive,l,k,0,2.50533980000182,117.099582299998,118.115872399998,118.083604399999,None,117.099582299998,None,117.099582299998,None,117.099582299998,None,120.584125999998,None,120.584125999998,None,120.584125999998,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,402,2023-08-15_15h07.46.064,Main,2022.1.1,None
