distractor,target,set,ans1,ans2,rep_loop4_thisRepN,rep_loop4_thisTrialN,rep_loop4_thisN,rep_loop4_thisIndex,st2_prac_loop_thisRepN,st2_prac_loop_thisTrialN,st2_prac_loop_thisN,st2_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,st2_main_loop_thisRepN,st2_main_loop_thisTrialN,st2_main_loop_thisN,st2_main_loop_thisIndex,image_4_started,wait_img_started,key_resp_3_keys,key_resp_3_rt,image_5_started,ins_rep_img_started,st_prac_back_started,prac_img_started,st_fix_back_started,st_fix_2_started,main_prac,st_back_started,st_ans,st_res,st_corr,st_rt,st2_resp_keys,st2_resp_corr,st_main_back_started,mouse_4_started,main_key_started,main_img_started,mouse_4_x,mouse_4_y,mouse_4_leftButton,mouse_4_midButton,mouse_4_rightButton,main_key_keys,main_key_rt,contineu_img_started,key_resp_9_started,key_resp_9_keys,key_resp_9_rt,text_2_started,text_2_stopped,id_,date,expName,psychopyVersion,frameRate
positive,blue,1,k,None,NaN,NaN,NaN,NaN,0,0,0,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.8839922000188,54.8839922000188,space,27.9767820000416,111.621149700019,111.621149700019,112.455356099992,112.455356099992,114.459012900013,114.459012900013,prac,116.523302400019,None,None,1,1.50500329991337,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
positive,blue,2,k,None,NaN,NaN,NaN,NaN,0,1,1,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,119.017905900022,None,None,1,1.52154810004868,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
negative,red,1,None,None,NaN,NaN,NaN,NaN,0,2,2,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,121.551749599981,None,None,1,1.53136989998166,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,0,3,3,19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,124.084999499959,k,k,1,1.28925040003378,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
positive,blue,2,k,None,NaN,NaN,NaN,NaN,0,4,4,17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,126.38355379994,None,None,1,1.50648320000619,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
negative,yellow,2,k,None,NaN,NaN,NaN,NaN,0,5,5,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,128.884076799965,None,None,1,1.51499019993935,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
negative,blue,2,None,k,NaN,NaN,NaN,NaN,0,6,6,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,131.400595300016,k,k,1,1.4000332999276,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
negative,yellow,2,k,None,NaN,NaN,NaN,NaN,0,7,7,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,133.80212909996,None,None,1,1.53164400008973,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
negative,blue,1,None,k,NaN,NaN,NaN,NaN,0,8,8,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,136.333264900022,k,k,1,1.03406829992309,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
positive,yellow,2,None,k,NaN,NaN,NaN,NaN,0,9,9,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,138.371174499975,k,k,1,1.21498550008982,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
