target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,image_8_started,image_8_stopped,start_wait_started,start_wait_stopped,key_resp_9_keys,key_resp_9_rt,key_resp_9_started,key_resp_9_stopped,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,image_4_stopped,image_5_started,image_5_stopped,image_6_started,image_6_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,image_7_started,image_7_stopped,contineu_img_started,contineu_img_stopped,key_resp_8_keys,key_resp_8_rt,key_resp_8_started,key_resp_8_stopped,text_2_started,text_2_stopped,id_,date,expName,psychopyVersion,frameRate
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,150.968696400058,None,150.968696400058,None,space,8.06313539994881,150.968696400058,None,,NaN,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,504,2023-08-15_15h49.53.156,Main,2022.1.1,None
,,NaN,,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,space,34.8828006002586,195.566640699981,None,195.566640699981,None,NaN,,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,504,2023-08-15_15h49.53.156,Main,2022.1.1,None
positive,positive,1,l,j,NaN,NaN,NaN,NaN,0,0,0,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,197.119580599945,None,199.148830899969,None,prac,2,2,1,positive,positive,l,l,1,11.463464200031,201.544848900056,202.657351800008,202.558482700028,None,201.544848900056,None,201.544848900056,None,201.544848900056,None,213.812233299948,None,213.812233299948,None,213.812233299948,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,504,2023-08-15_15h49.53.156,Main,2022.1.1,None
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,0,1,1,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,1,neutral,positive,l,l,1,3.29005940002389,215.079963200027,216.195408500032,216.046096300008,None,215.079963200027,None,215.079963200027,None,215.079963200027,None,219.163363399915,None,219.163363399915,None,219.163363399915,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,504,2023-08-15_15h49.53.156,Main,2022.1.1,None
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,0,2,2,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,1,positive,neutral,k,k,1,2.10402940004133,220.274299900047,221.372629699996,221.307030400028,None,220.274299900047,None,220.274299900047,None,220.274299900047,None,223.307128499961,None,223.307128499961,None,223.307128499961,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,504,2023-08-15_15h49.53.156,Main,2022.1.1,None
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,0,3,3,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,2,negative,neutral,k,k,1,1.92581909988075,224.470511999913,225.553612499963,225.418829199858,None,224.470511999913,None,224.470511999913,None,224.470511999913,None,227.253978919936,None,227.253978919936,None,227.253978919936,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,504,2023-08-15_15h49.53.156,Main,2022.1.1,None
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,0,4,4,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,1,neutral,negative,j,j,1,1.5368667000439,227.368049900047,228.465182799846,228.332145799883,None,227.368049900047,None,227.368049900047,None,227.368049900047,None,229.801567920018,None,229.801567920018,None,229.801567920018,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,504,2023-08-15_15h49.53.156,Main,2022.1.1,None
positive,negative,1,l,j,NaN,NaN,NaN,NaN,0,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,1,negative,positive,l,l,1,2.0650675999932,229.91588580003,230.997076499974,230.930749299936,None,229.91588580003,None,229.91588580003,None,229.91588580003,None,232.902217000024,None,232.902217000024,None,232.902217000024,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,504,2023-08-15_15h49.53.156,Main,2022.1.1,None
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,0,6,6,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,1,negative,neutral,k,k,1,1.60546820005402,233.994104800047,235.079316399992,235.013125200057,None,233.994104800047,None,233.994104800047,None,233.994104800047,None,236.514156919904,None,236.514156919904,None,236.514156919904,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,504,2023-08-15_15h49.53.156,Main,2022.1.1,None
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,0,7,7,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,2,neutral,neutral,k,k,1,1.3567584999837,236.611001800047,237.664681199938,237.592673799954,None,236.611001800047,None,236.611001800047,None,236.611001800047,None,238.879151819972,None,238.879151819972,None,238.879151819972,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,504,2023-08-15_15h49.53.156,Main,2022.1.1,None
