target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,image_8_started,image_8_stopped,start_wait_started,start_wait_stopped,key_resp_9_keys,key_resp_9_rt,key_resp_9_started,key_resp_9_stopped,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,image_4_stopped,image_5_started,image_5_stopped,image_6_started,image_6_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,image_7_started,image_7_stopped,contineu_img_started,contineu_img_stopped,key_resp_8_keys,key_resp_8_rt,key_resp_8_started,key_resp_8_stopped,text_2_started,text_2_stopped,id_,date,expName,psychopyVersion,frameRate
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.6655377999996,None,20.6655377999996,None,space,10.5480344999814,20.6655377999996,None,,NaN,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,607,2023-08-15_16h49.42.327,Main,2022.1.1,60.0548300648655
,,NaN,,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,space,28.9146216999798,61.2165477000235,None,61.2165477000235,None,NaN,,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,607,2023-08-15_16h49.42.327,Main,2022.1.1,60.0548300648655
negative,negative,2,j,l,NaN,NaN,NaN,NaN,0,0,0,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,62.3167220000178,None,64.3169368999952,None,prac,2,2,2,negative,negative,l,l,1,3.890135499998,66.3492994999979,67.3487255000218,67.3150332000223,None,66.3492994999979,None,66.3492994999979,None,66.3492994999979,None,71.2304961000045,None,71.2304961000045,None,71.2304961000045,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,607,2023-08-15_16h49.42.327,Main,2022.1.1,60.0548300648655
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,0,1,1,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,2,neutral,neutral,k,k,1,1.43987970001763,72.2478562000033,73.248442000011,73.2316712000174,None,72.2478562000033,None,72.2478562000033,None,72.2478562000033,None,74.6644475000212,None,74.6644475000212,None,74.6644475000212,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,607,2023-08-15_16h49.42.327,Main,2022.1.1,60.0548300648655
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,0,2,2,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,2,negative,neutral,k,k,1,1.83309259999078,74.6981143000012,75.6990675000125,75.6819420999964,None,74.6981143000012,None,74.6981143000012,None,74.6981143000012,None,77.4977588000183,None,77.4977588000183,None,77.4977588000183,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,607,2023-08-15_16h49.42.327,Main,2022.1.1,60.0548300648655
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,0,3,3,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,2,positive,neutral,k,k,1,1.31444850002299,77.5309935999976,78.5326553000195,78.5149023999984,None,77.5309935999976,None,77.5309935999976,None,77.5309935999976,None,79.8141951000143,None,79.8141951000143,None,79.8141951000143,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,607,2023-08-15_16h49.42.327,Main,2022.1.1,60.0548300648655
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,0,4,4,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,1,negative,neutral,k,k,1,1.36070109999855,79.8480593000131,80.848350300017,80.8152066000039,None,79.8480593000131,None,79.8480593000131,None,79.8480593000131,None,82.181573400012,None,82.181573400012,None,82.181573400012,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,607,2023-08-15_16h49.42.327,Main,2022.1.1,60.0548300648655
negative,negative,1,j,l,NaN,NaN,NaN,NaN,0,5,5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,1,negative,negative,l,l,1,1.33358959999168,82.1977947000123,83.1985415999952,83.1816305000102,None,82.1977947000123,None,82.1977947000123,None,82.1977947000123,None,84.5144241999951,None,84.5144241999951,None,84.5144241999951,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,607,2023-08-15_16h49.42.327,Main,2022.1.1,60.0548300648655
positive,negative,1,l,j,NaN,NaN,NaN,NaN,0,6,6,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,1,1,1,negative,positive,j,j,1,1.29731170000741,84.5474140000006,85.5480865999998,85.5314429000136,None,84.5474140000006,None,84.5474140000006,None,84.5474140000006,None,86.8148109000176,None,86.8148109000176,None,86.8148109000176,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,607,2023-08-15_16h49.42.327,Main,2022.1.1,60.0548300648655
negative,positive,1,j,l,NaN,NaN,NaN,NaN,0,7,7,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,prac,2,2,1,positive,negative,l,l,1,1.28319859999465,86.8316313000105,87.8314626000065,87.815430800023,None,86.8316313000105,None,86.8316313000105,None,86.8316313000105,None,89.0977337000077,None,89.0977337000077,None,89.0977337000077,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,NaN,607,2023-08-15_16h49.42.327,Main,2022.1.1,60.0548300648655
