distractor,target,set,ans1,ans2,rep_loop4_thisRepN,rep_loop4_thisTrialN,rep_loop4_thisN,rep_loop4_thisIndex,st2_prac_loop_thisRepN,st2_prac_loop_thisTrialN,st2_prac_loop_thisN,st2_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,st2_main_loop_thisRepN,st2_main_loop_thisTrialN,st2_main_loop_thisN,st2_main_loop_thisIndex,image_4_started,wait_img_started,key_resp_3_keys,key_resp_3_rt,image_5_started,ins_rep_img_started,st_prac_back_started,prac_img_started,st_fix_back_started,st_fix_2_started,main_prac,st_back_started,st_ans,st_res,st_corr,st_rt,st2_resp_keys,st2_resp_corr,st_main_back_started,mouse_4_started,main_key_started,main_img_started,mouse_4_x,mouse_4_y,mouse_4_leftButton,mouse_4_midButton,mouse_4_rightButton,main_key_keys,main_key_rt,st_fix_back_stopped,st_fix_2_stopped,contineu_img_started,key_resp_9_started,key_resp_9_keys,key_resp_9_rt,text_2_started,text_2_stopped,id_,date,expName,psychopyVersion,frameRate
negative,blue,1,None,k,NaN,NaN,NaN,NaN,0,0,0,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.0188604999566,58.0188604999566,space,88.9117590000387,167.849817499984,167.849817499984,173.582093999954,173.582093999954,175.599184399936,175.599184399936,prac,177.632340599899,k,k,1,5.00073430000339,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
negative,red,1,None,None,NaN,NaN,NaN,NaN,0,1,1,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,184.675255200011,None,None,1,1.51957640005276,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
negative,blue,2,None,k,NaN,NaN,NaN,NaN,0,2,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,187.192169899936,k,k,1,1.16376939998008,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,0,3,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,189.359943599906,None,None,1,1.51593740005046,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
positive,blue,2,k,None,NaN,NaN,NaN,NaN,0,4,4,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,191.875508599915,None,None,1,1.51613659993745,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
positive,yellow,2,None,k,NaN,NaN,NaN,NaN,0,5,5,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,194.392095999909,k,k,1,1.28017589997035,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
negative,yellow,2,k,None,NaN,NaN,NaN,NaN,0,6,6,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,196.660486000008,None,None,1,1.51678069995251,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
positive,red,2,None,None,NaN,NaN,NaN,NaN,0,7,7,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,199.177443299908,None,None,1,1.5154668999603,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
positive,blue,1,k,None,NaN,NaN,NaN,NaN,0,8,8,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,201.693935399991,None,None,1,1.51578899996821,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
negative,red,2,None,None,NaN,NaN,NaN,NaN,0,9,9,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,204.210982299992,None,None,1,1.51509690005332,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
negative,blue,2,None,k,NaN,NaN,NaN,NaN,0,10,10,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,206.727523299982,k,k,1,2.19852369988803,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,0,11,11,19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,210.928034599987,k,k,1,0.767319399979897,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
negative,blue,1,None,k,NaN,NaN,NaN,NaN,0,12,12,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,212.6949324999,k,k,1,1.91709379991516,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
negative,yellow,2,k,None,NaN,NaN,NaN,NaN,0,13,13,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,215.626438100007,None,k,0,0.748044600011781,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
positive,blue,2,k,None,NaN,NaN,NaN,NaN,0,14,14,17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,218.378368099919,None,None,1,1.5190521000186,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,0,15,15,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,220.910422699992,k,k,1,2.0149451000616,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,0,16,16,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,224.911742699915,None,None,1,1.51858929998707,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
positive,red,1,None,None,NaN,NaN,NaN,NaN,0,17,17,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,227.428836599924,None,None,1,1.5146844999399,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
positive,blue,1,k,None,NaN,NaN,NaN,NaN,0,18,18,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,229.945351099945,None,None,1,1.51636719994713,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
positive,yellow,2,None,k,NaN,NaN,NaN,NaN,0,19,19,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,prac,232.46243449999,k,k,1,4.78298789996188,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,239.302586299949,0.000131500069983304,239.302586299949,239.302586299949,0.025,-0.0203703703703704,0,0,0,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,603,2023-08-15_17h02.15.963,Main,2023.1.2,59.9683607312104
