target,distractor,set,ans1,ans2,weather_thisRepN,weather_thisTrialN,weather_thisN,weather_thisIndex,total_experiment_thisRepN,total_experiment_thisTrialN,total_experiment_thisN,total_experiment_thisIndex,boat_thisRepN,boat_thisTrialN,boat_thisN,boat_thisIndex,para_thisRepN,para_thisTrialN,para_thisN,para_thisIndex,fish_thisRepN,fish_thisTrialN,fish_thisN,fish_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,targ_started,fl_ans,fl_res,fl_corr,fl_rt,fl_rt_2,fl_key_resp_keys,id_,x___,x__,weather,boat,parachute,fish,test_mode,date,expName,psychopyVersion,frameRate
,,NaN,,,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,,NaN,,,NaN,NaN,NaN,,2,54,여자,no,yes,no,no,no,2023-06-02_11h35.11.225,Main,2022.2.4,60.1502673938176
,,NaN,,,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,,NaN,,,NaN,NaN,NaN,,2,54,여자,no,yes,no,no,no,2023-06-02_11h35.11.225,Main,2022.2.4,60.1502673938176
negative,negative,2,j,l,NaN,NaN,NaN,NaN,2,0,2,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,9,NaN,NaN,NaN,NaN,prac,2,2,2,negative,negative,107.187431700062,l,l,1,3.80905949999578,3.80861199996434,,2,54,여자,no,yes,no,no,no,2023-06-02_11h35.11.225,Main,2022.2.4,60.1502673938176
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,2,0,2,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,1,3,NaN,NaN,NaN,NaN,prac,2,2,1,neutral,negative,113.020469000097,l,l,1,1.57248760003131,1.57205249997787,,2,54,여자,no,yes,no,no,no,2023-06-02_11h35.11.225,Main,2022.2.4,60.1502673938176
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,2,0,2,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2,2,1,NaN,NaN,NaN,NaN,prac,1,1,1,neutral,neutral,116.587762200041,k,k,1,1.50004239997361,1.47563710005488,,2,54,여자,no,yes,no,no,no,2023-06-02_11h35.11.225,Main,2022.2.4,60.1502673938176
positive,positive,2,l,j,NaN,NaN,NaN,NaN,2,0,2,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,3,3,11,NaN,NaN,NaN,NaN,prac,2,2,2,positive,positive,120.087497700006,j,j,1,1.08882880001329,1.08838159998413,,2,54,여자,no,yes,no,no,no,2023-06-02_11h35.11.225,Main,2022.2.4,60.1502673938176
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,2,0,2,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4,4,13,NaN,NaN,NaN,NaN,prac,1,1,2,positive,neutral,122.170254800003,k,k,1,1.10287689999677,1.10219460004009,,2,54,여자,no,yes,no,no,no,2023-06-02_11h35.11.225,Main,2022.2.4,60.1502673938176
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,2,0,2,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5,5,16,NaN,NaN,NaN,NaN,prac,1,1,2,negative,neutral,124.270277400035,k,k,1,0.91638489998877,0.915848699980415,,2,54,여자,no,yes,no,no,no,2023-06-02_11h35.11.225,Main,2022.2.4,60.1502673938176
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,2,0,2,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6,6,7,NaN,NaN,NaN,NaN,prac,1,1,1,negative,neutral,126.187562400009,k,l,0,1.56035289994907,1.55990629992448,,2,54,여자,no,yes,no,no,no,2023-06-02_11h35.11.225,Main,2022.2.4,60.1502673938176
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,2,0,2,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7,7,12,NaN,NaN,NaN,NaN,prac,2,2,2,neutral,negative,129.753657300025,l,l,1,1.02101820008829,1.02057170006447,,2,54,여자,no,yes,no,no,no,2023-06-02_11h35.11.225,Main,2022.2.4,60.1502673938176
