distractor,target,set,ans1,ans2,weather_thisRepN,weather_thisTrialN,weather_thisN,weather_thisIndex,total_experiment_thisRepN,total_experiment_thisTrialN,total_experiment_thisN,total_experiment_thisIndex,boat_thisRepN,boat_thisTrialN,boat_thisN,boat_thisIndex,para_thisRepN,para_thisTrialN,para_thisN,para_thisIndex,fish_thisRepN,fish_thisTrialN,fish_thisN,fish_thisIndex,para_prac_loop_thisRepN,para_prac_loop_thisTrialN,para_prac_loop_thisN,para_prac_loop_thisIndex,para_main_loop_thisRepN,para_main_loop_thisTrialN,para_main_loop_thisN,para_main_loop_thisIndex,main_prac,st_ans,st_res,st_corr,st_rt,st_rt2,st2_resp_keys,st2_resp_corr,id_,x___,x__,weather,boat,parachute,fish,test_mode,date,expName,psychopyVersion,frameRate
,,NaN,,,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,,NaN,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,blue,2,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,2,NaN,NaN,NaN,NaN,prac,k,k,1,2.09084239997901,2.09018119995017,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,1,1,9,NaN,NaN,NaN,NaN,prac,None,k,0,0.883724499959499,0.883038399973884,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,yellow,2,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,2,2,10,NaN,NaN,NaN,NaN,prac,k,k,1,1.39023639995139,1.38953709998168,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,red,2,None,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,3,3,1,NaN,NaN,NaN,NaN,prac,None,None,1,1.50941379996948,1.38953709998168,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,4,4,0,NaN,NaN,NaN,NaN,prac,None,None,1,1.51560399995651,1.38953709998168,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,blue,1,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,5,5,16,NaN,NaN,NaN,NaN,prac,k,k,1,0.814545799978077,0.813852300052531,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,blue,2,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,6,6,4,NaN,NaN,NaN,NaN,prac,k,k,1,18.4913017000072,18.4896111999406,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,yellow,2,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,7,7,6,NaN,NaN,NaN,NaN,prac,None,None,1,1.51762589998543,18.4896111999406,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,8,8,3,NaN,NaN,NaN,NaN,prac,k,k,1,1.82024499995168,1.81961149990093,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,yellow,2,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,9,9,8,NaN,NaN,NaN,NaN,prac,k,k,1,5.52373180002905,5.52306719997432,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,blue,1,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,10,10,15,NaN,NaN,NaN,NaN,prac,None,None,1,1.52011250006035,5.52306719997432,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,blue,2,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,11,11,14,NaN,NaN,NaN,NaN,prac,None,None,1,1.51418460009154,5.52306719997432,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,blue,1,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,12,12,5,NaN,NaN,NaN,NaN,prac,k,k,1,1.03757729998324,1.03680360002909,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,red,1,None,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,13,13,13,NaN,NaN,NaN,NaN,prac,None,None,1,1.5101884000469,1.03680360002909,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,yellow,2,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,14,14,11,NaN,NaN,NaN,NaN,prac,None,None,1,1.51614020008128,1.03680360002909,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,red,2,None,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,15,15,12,NaN,NaN,NaN,NaN,prac,None,None,1,1.51577989989892,1.03680360002909,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,red,1,None,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,16,16,7,NaN,NaN,NaN,NaN,prac,None,None,1,1.51380189997144,1.03680360002909,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,17,17,19,NaN,NaN,NaN,NaN,prac,k,k,1,2.10499639995396,2.10436060000211,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,blue,2,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,18,18,17,NaN,NaN,NaN,NaN,prac,None,None,1,1.52057200006675,2.10436060000211,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,blue,1,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,19,19,18,NaN,NaN,NaN,NaN,prac,None,None,1,1.51124669995625,2.10436060000211,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,red,1,None,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,1,0,20,7,NaN,NaN,NaN,NaN,prac,None,None,1,1.51702430006117,2.10436060000211,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,yellow,2,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,1,1,21,11,NaN,NaN,NaN,NaN,prac,None,None,1,1.5157347000204,2.10436060000211,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,yellow,2,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,1,2,22,6,NaN,NaN,NaN,NaN,prac,None,None,1,1.51324130001012,2.10436060000211,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,blue,1,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,1,3,23,5,NaN,NaN,NaN,NaN,prac,k,k,1,0.988464599940926,0.987816200009547,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,1,4,24,9,NaN,NaN,NaN,NaN,prac,None,None,1,1.51058000000194,0.987816200009547,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,red,1,None,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,1,5,25,13,NaN,NaN,NaN,NaN,prac,None,None,1,1.5151536000194,0.987816200009547,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,red,2,None,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,1,6,26,12,NaN,NaN,NaN,NaN,prac,None,None,1,1.51418529998045,0.987816200009547,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,blue,2,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,1,7,27,2,NaN,NaN,NaN,NaN,prac,k,k,1,2.58995619998313,2.589244499919,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,blue,2,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,1,8,28,14,NaN,NaN,NaN,NaN,prac,None,None,1,1.51840870000888,2.589244499919,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,blue,1,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,1,9,29,15,NaN,NaN,NaN,NaN,prac,None,None,1,1.51445639994927,2.589244499919,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,blue,1,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,1,10,30,16,NaN,NaN,NaN,NaN,prac,k,k,1,2.2048749999376,2.20424849994015,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,1,11,31,19,NaN,NaN,NaN,NaN,prac,k,k,1,0.802003500051796,0.801287700072862,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,blue,1,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,1,12,32,18,NaN,NaN,NaN,NaN,prac,None,None,1,1.51526419993024,0.801287700072862,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,1,13,33,3,NaN,NaN,NaN,NaN,prac,k,k,1,1.22250759997405,1.22183900000528,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,yellow,2,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,1,14,34,8,NaN,NaN,NaN,NaN,prac,k,k,1,0.741529699997045,0.740727200056426,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,yellow,2,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,1,15,35,10,NaN,NaN,NaN,NaN,prac,k,k,1,1.08371799997985,1.08301029994618,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,red,2,None,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,1,16,36,1,NaN,NaN,NaN,NaN,prac,None,None,1,1.51525969989598,1.08301029994618,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,1,17,37,0,NaN,NaN,NaN,NaN,prac,None,None,1,1.5144169999985,1.08301029994618,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,blue,2,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,1,18,38,17,NaN,NaN,NaN,NaN,prac,None,None,1,1.51817850000225,1.08301029994618,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,blue,2,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,1,19,39,4,NaN,NaN,NaN,NaN,prac,k,k,1,0.634515699930489,0.633915200014599,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,46,main,None,None,1,1.51597339997534,0.633915200014599,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,red,2,None,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,1,92,main,None,None,1,1.51458259997889,0.633915200014599,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,red,1,None,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2,2,125,main,None,None,1,1.51468770008069,0.633915200014599,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,yellow,2,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,3,3,124,main,None,None,1,1.51576410001144,0.633915200014599,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,red,1,None,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4,4,47,main,None,None,1,1.51595470006578,0.633915200014599,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,red,1,None,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5,5,22,main,None,None,1,1.51594160008244,0.633915200014599,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,blue,2,k,None,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6,6,64,main,None,None,1,1.51430619996972,0.633915200014599,None,1,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7,7,8,main,k,k,1,1.51459110004362,1.51381040003616,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
negative,blue,2,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,8,8,56,main,k,k,1,0.959123099921271,0.958446800010279,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,9,9,113,main,k,k,1,0.74830779992044,0.747662300011143,None,0,2,54,여자,no,no,yes,no,no,2023-06-02_11h54.18.063,Main,2022.2.4,59.7460791775176
