target,distractor,set,ans1,ans2,total_experiment_thisRepN,total_experiment_thisTrialN,total_experiment_thisN,total_experiment_thisIndex,word_task_thisRepN,word_task_thisTrialN,word_task_thisN,word_task_thisIndex,flanker_task_thisRepN,flanker_task_thisTrialN,flanker_task_thisN,flanker_task_thisIndex,conjunction_task_thisRepN,conjunction_task_thisTrialN,conjunction_task_thisN,conjunction_task_thisIndex,second_end_thisRepN,second_end_thisTrialN,second_end_thisN,second_end_thisIndex,last_end_thisRepN,last_end_thisTrialN,last_end_thisN,last_end_thisIndex,fl_inst_loop_thisRepN,fl_inst_loop_thisTrialN,fl_inst_loop_thisN,fl_inst_loop_thisIndex,fl_prac_loop_thisRepN,fl_prac_loop_thisTrialN,fl_prac_loop_thisN,fl_prac_loop_thisIndex,fl_main_loop_thisRepN,fl_main_loop_thisTrialN,fl_main_loop_thisN,fl_main_loop_thisIndex,conj_ins_loop_thisRepN,conj_ins_loop_thisTrialN,conj_ins_loop_thisN,conj_ins_loop_thisIndex,conj_prac_loop_thisRepN,conj_prac_loop_thisTrialN,conj_prac_loop_thisN,conj_prac_loop_thisIndex,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,back_2_started,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fix_fl_started,targ_started,fl_key_started,fix_fl_stopped,fl_ans,fl_res,fl_corr,fl_rt,fl_key_keys,fl_key_corr,fl_key_rt,mainback_started,key_resp_6_keys,key_resp_6_rt,back_2_stopped,text_5_started,key_resp_9_started,key_resp_9_keys,key_resp_9_rt,key_resp_7_keys,key_resp_7_rt,image_6_started,st_prac_back_started,st_prac_text_started,st_fix_back_started,st_fix_2_started,st_back_started,st_ans,st_res,st_corr,st_rt,st2_resp_keys,st2_resp_corr,st2_resp_rt,x____,x__,x___1,weather,flanker,conjunction,test_mode,date,expName,psychopyVersion,frameRate
,,NaN,,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,111,54,남성,no,yes,yes,no,2023-11-28_14h16.31.446,experiment_2311,2022.2.5,59.9812378687493
,,NaN,,,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,space,402.1616967,502.3694205,NaN,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,111,54,남성,no,yes,yes,no,2023-11-28_14h16.31.446,experiment_2311,2022.2.5,59.9812378687493
positive,neutral,1,l,j,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,523.2186783,prac,2,2,1,neutral,positive,525.344089,526.3153007,526.3153007,526.3484943,j,l,0,5.52076729999953,l,0,5.50610039999992,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,111,54,남성,no,yes,yes,no,2023-11-28_14h16.31.446,experiment_2311,2022.2.5,59.9812378687493
neutral,negative,1,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,1,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,1,negative,neutral,532.8832974,533.8652364,533.8652364,533.8985696,k,l,0,2.97305800000049,l,0,2.94123810000019,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,111,54,남성,no,yes,yes,no,2023-11-28_14h16.31.446,experiment_2311,2022.2.5,59.9812378687493
negative,negative,1,j,l,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,2,2,1,negative,negative,537.8450267,538.8318044,538.8318044,538.8486683,l,k,0,5.53887779999968,k,0,5.51145160000033,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,111,54,남성,no,yes,yes,no,2023-11-28_14h16.31.446,experiment_2311,2022.2.5,59.9812378687493
neutral,positive,1,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,3,3,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,1,positive,neutral,545.376279,546.3649772,546.3649772,546.3818241,k,l,0,6.27333639999961,l,0,6.2489958999995,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,111,54,남성,no,yes,yes,no,2023-11-28_14h16.31.446,experiment_2311,2022.2.5,59.9812378687493
positive,negative,1,l,j,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4,4,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,2,2,1,negative,positive,553.6391559,554.6322733,554.6322733,554.6485864,j,j,1,2.80736830000023,j,1,2.78167459999986,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,111,54,남성,no,yes,yes,no,2023-11-28_14h16.31.446,experiment_2311,2022.2.5,59.9812378687493
negative,positive,1,j,l,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5,5,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,1,positive,negative,558.4547509,559.4485589,559.4485589,559.4651152,l,l,1,9.539221,l,1,9.50972009999987,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,111,54,남성,no,yes,yes,no,2023-11-28_14h16.31.446,experiment_2311,2022.2.5,59.9812378687493
positive,positive,2,l,j,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6,6,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,2,positive,positive,569.9962133,570.9819696,570.9819696,570.9985081,j,j,1,3.19198010000036,j,1,3.16196729999956,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,111,54,남성,no,yes,yes,no,2023-11-28_14h16.31.446,experiment_2311,2022.2.5,59.9812378687493
neutral,negative,2,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7,7,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,2,2,2,negative,neutral,575.1991202,576.1819732,576.1819732,576.1986773,k,k,1,2.24058950000017,k,1,2.21591179999996,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,111,54,남성,no,yes,yes,no,2023-11-28_14h16.31.446,experiment_2311,2022.2.5,59.9812378687493
