target,distractor,set,ans1,ans2,total_experiment_thisRepN,total_experiment_thisTrialN,total_experiment_thisN,total_experiment_thisIndex,word_task_thisRepN,word_task_thisTrialN,word_task_thisN,word_task_thisIndex,flanker_task_thisRepN,flanker_task_thisTrialN,flanker_task_thisN,flanker_task_thisIndex,conjunction_task_thisRepN,conjunction_task_thisTrialN,conjunction_task_thisN,conjunction_task_thisIndex,second_end_thisRepN,second_end_thisTrialN,second_end_thisN,second_end_thisIndex,last_end_thisRepN,last_end_thisTrialN,last_end_thisN,last_end_thisIndex,fl_inst_loop_thisRepN,fl_inst_loop_thisTrialN,fl_inst_loop_thisN,fl_inst_loop_thisIndex,fl_prac_loop_thisRepN,fl_prac_loop_thisTrialN,fl_prac_loop_thisN,fl_prac_loop_thisIndex,fl_main_loop_thisRepN,fl_main_loop_thisTrialN,fl_main_loop_thisN,fl_main_loop_thisIndex,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,back_2_started,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fix_fl_started,targ_started,fl_key_started,fix_fl_stopped,fl_ans,fl_res,fl_corr,fl_rt,fl_key_keys,fl_key_corr,fl_key_rt,mainback_started,key_resp_6_keys,key_resp_6_rt,back_2_stopped,text_5_started,key_resp_9_started,x____,x__,x___1,weather,flanker,conjunction,test_mode,date,expName,psychopyVersion,frameRate
,,NaN,,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
,,NaN,,,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,space,506.791094,581.097883800001,NaN,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
neutral,neutral,2,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,10,NaN,NaN,NaN,NaN,,NaN,NaN,624.4578938,prac,2,2,2,neutral,neutral,626.4983682,627.454625300001,627.454625300001,627.5048831,k,k,1,12.1240873999996,k,1,12.1134861999999,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
negative,positive,1,j,l,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,1,6,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,1,positive,negative,640.653007500001,641.6375716,641.6375716,641.6565804,j,l,0,29.7236790999996,l,0,29.6986240999995,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
negative,negative,1,j,l,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2,2,0,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,1,negative,negative,672.3951284,673.3879641,673.3879641,673.404774300001,j,j,1,5.79038079999918,j,1,5.76344980000067,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
negative,neutral,2,j,l,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,3,3,12,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,2,2,2,neutral,negative,680.197707200001,681.188009400001,681.188009400001,681.2047783,j,j,1,19.0406643000006,j,1,19.0110300999986,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
neutral,negative,2,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4,4,16,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,2,2,2,negative,neutral,701.232199800001,702.2217079,702.2217079,702.2380307,k,k,1,12.1239118999983,k,1,12.1047934999988,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
positive,negative,1,l,j,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5,5,5,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,1,negative,positive,715.3604412,716.3379532,716.3379532,716.371252500001,l,l,1,8.24076309999873,l,1,8.23602679999931,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
negative,neutral,1,j,l,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6,6,3,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,1,neutral,negative,725.617914100001,726.605449500001,726.605449500001,726.623465300001,j,j,1,3.18967469999916,j,1,3.16120609999962,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
neutral,negative,1,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7,7,7,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,1,negative,neutral,730.7934174,731.787898500001,731.787898500001,731.8045337,k,k,1,15.9735259000008,k,1,15.9467452999997,NaN,,NaN,NaN,NaN,NaN,122,68,남성,no,yes,yes,no,2023-11-28_14h14.35.370,experiment_2311,2022.2.5,60.0052444581327
