neuroNicle FX2
D3F25R0
Bluetooth SPP
2023년 3월 30일 목요일
오후 2:42
time interval = 4msec
EEG1	EEG2	PPG	sdPPG	pulse	peak_interval(msec)
-6.022	1.442	16463	14873	0	580
8.078	16.769	16463	15105	0	580
24.270	33.754	16497	15454	0	580
32.384	42.084	16497	15919	0	580
30.436	39.524	16497	15919	0	580
17.274	29.030	16497	15919	0	580
8.583	22.683	16497	15919	0	580
5.337	20.591	16497	15919	0	580
9.052	23.873	16463	15803	0	580
11.828	26.758	16497	15687	0	580
10.783	21.962	16497	15687	0	580
2.921	15.002	16497	15687	0	580
0.252	10.169	16497	15919	0	580
2.524	10.819	16497	16152	0	580
6.455	13.271	16497	16384	0	580
6.167	14.064	16497	16384	0	580
3.642	12.514	16497	16384	0	580
-3.137	7.970	16497	16152	0	580
-5.481	6.924	16497	15687	0	580
-4.832	9.953	16497	15105	0	580
-2.200	14.497	16497	14524	0	580
-1.551	14.533	16497	14291	0	580
-4.147	12.694	16497	14291	0	580
-6.563	7.825	16463	14291	0	580
-5.986	2.885	16463	14175	0	580
-3.534	4.183	16463	14059	0	580
0.072	4.724	16440	14059	0	580
1.623	5.950	16440	14059	0	580
-1.839	3.714	16406	13826	0	580
-4.904	-0.144	16406	13245	0	580
-8.511	-4.436	16384	12431	0	580
-8.366	-4.760	16362	11733	0	580
-4.003	-3.895	16362	11036	0	580
-0.288	0.180	16328	10803	0	580
4.616	4.580	16328	10803	0	580
7.104	8.691	16305	11036	0	580
8.583	12.405	16328	11384	0	580
9.665	13.451	16305	11733	0	580
11.540	14.894	16305	12082	0	580
12.802	15.218	16305	12547	0	580
11.612	14.100	16271	13012	0	580
8.835	13.812	16271	13361	0	580
2.813	9.845	16249	13594	0	580
-1.118	4.327	16249	13710	0	580
-2.957	0.216	16249	14059	0	580
-1.370	-2.128	16215	14175	0	580
1.875	-0.397	16215	14291	0	580
2.921	0.469	16215	14757	0	580
-1.082	0.433	16192	15338	0	580
-6.635	-3.101	16249	15919	0	580
-11.828	-7.104	16215	16268	0	580
-11.179	-9.556	16215	16616	0	580
0.974	-4.904	16215	17081	0	580
17.923	5.301	16215	17663	0	580
31.122	16.589	16192	17895	0	580
33.754	24.522	16192	18011	0	580
27.984	20.195	16192	18128	0	580
19.005	10.963	16192	18360	0	580
18.392	0.865	16215	18709	0	580
20.483	-2.019	16215	18942	0	580
23.404	0.036	16215	19174	0	580
19.510	-0.541	16215	19407	0	580
9.556	-4.508	16215	19988	0	580
3.101	-12.946	16249	20570	0	580
0.036	-18.356	16249	21151	0	580
-0.325	-17.634	16249	21500	0	580
0.036	-14.858	16271	21500	0	580
-3.570	-12.225	16271	21267	0	580
-3.859	-10.061	16271	20918	0	580
-1.515	-10.097	16305	20570	0	580
3.354	-7.789	16328	20221	0	580
8.691	-3.859	16305	19872	0	580
10.494	-1.479	16305	19407	0	580
7.898	1.731	16305	18709	0	580
3.606	4.904	16271	18011	0	580
2.308	6.527	16271	17663	0	580
4.183	8.330	16271	17546	0	580
6.058	7.321	16305	17546	0	580
6.888	5.085	16305	17779	0	580
4.796	0.865	16305	18011	0	580
2.200	-2.488	16305	18244	0	580
0.541	-2.524	16328	18593	0	580
0.288	-1.334	16328	18709	0	580
0.577	-1.334	16328	18825	0	580
-1.046	-1.911	16362	18942	0	580
-1.298	-5.662	16362	19058	0	580
-2.308	-10.314	16362	19174	0	580
-1.154	-10.819	16384	19174	0	580
0.649	-10.602	16384	18825	0	580
0.865	-8.186	16384	18244	0	580
2.452	-4.364	16384	17430	0	580
4.219	-1.262	16362	16732	0	580
5.121	1.911	16384	16384	0	580
3.029	1.911	16384	16384	0	580
-0.433	-1.082	16384	16732	0	580
-4.904	-5.986	16384	16965	0	580
-8.511	-8.042	16384	16849	0	580
