neuroNicle FX2
D3F25R12
Bluetooth SPP
2023년 4월 4일 화요일
오후 2:32
time interval = 4msec
EEG1	EEG2	PPG	sdPPG	pulse	peak_interval(msec)
5.590	-3.354	22829	16820	0	756
8.871	-2.200	22753	16764	0	756
11.864	-1.623	22695	16723	0	756
13.415	0.433	22629	16703	0	756
12.189	2.019	22572	16681	0	756
13.163	3.642	22499	16652	0	756
13.127	3.534	22442	16621	0	756
13.343	3.354	22381	16593	0	756
15.218	5.337	22314	16556	0	756
16.084	7.357	22223	16486	0	756
17.851	8.943	22123	16374	0	756
15.326	9.592	22009	16247	0	756
13.091	8.547	21904	16143	0	756
9.953	4.183	21799	16065	0	756
5.626	0.036	21694	15996	0	756
2.019	-3.750	21589	15935	0	756
-0.902	-6.852	21479	15882	0	756
-3.354	-11.107	21374	15836	0	756
-5.265	-12.730	21275	15799	0	756
-7.357	-13.704	21174	15782	0	756
-8.006	-14.713	21084	15782	0	756
-7.645	-14.064	20979	15779	0	756
-7.285	-11.251	20878	15757	0	756
-4.472	-12.694	20760	15718	0	756
-1.767	-11.720	20640	15674	0	756
1.046	-8.799	20522	15642	0	756
4.977	-6.671	20407	15620	0	756
7.068	-3.750	20283	15602	0	756
8.366	-2.128	20159	15575	0	756
8.835	-3.173	20020	15539	0	756
5.878	-5.337	19887	15504	0	756
5.626	-7.537	19763	15481	0	756
2.849	-8.006	19625	15469	0	756
0.036	-9.448	19486	15452	0	756
-1.010	-9.124	19343	15433	0	756
-2.019	-9.052	19206	15417	0	756
-1.298	-6.383	19053	15395	0	756
0.361	-5.554	18895	15366	0	756
2.777	-2.452	18748	15341	0	756
4.580	-1.010	18590	15328	0	756
5.914	-0.216	18437	15324	0	756
7.609	-0.288	18294	15327	0	756
7.573	-0.793	18142	15344	0	756
8.366	-2.669	18008	15384	0	756
6.527	-3.282	17880	15437	0	756
5.049	-5.013	17732	15468	0	756
2.380	-4.616	17579	15465	0	756
0.361	-4.327	17417	15448	0	756
-0.649	-4.580	17255	15445	0	756
-2.200	-4.796	17112	15460	0	756
-2.452	-4.652	16965	15486	0	756
-1.442	-4.544	16813	15511	0	756
-1.334	-4.616	16670	15531	0	756
1.010	-2.705	16517	15556	0	756
1.911	-1.731	16375	15589	0	756
2.236	-1.118	16241	15630	0	756
1.623	-1.659	16095	15666	0	756
