neuroNicle FX2
D3F25R12
Bluetooth SPP
2023년 3월 27일 월요일
오후 3:08
time interval = 4msec
EEG1	EEG2	PPG	sdPPG	pulse	peak_interval(msec)
-39.416	-40.786	16349	16101	0	512
-34.006	-35.774	16209	15964	0	512
-32.312	-26.794	16034	15737	0	512
-35.377	-19.726	15823	15486	0	512
-38.875	-15.975	15683	15296	0	512
-41.868	-15.975	15683	15341	0	512
-40.245	-19.221	15683	15571	0	512
-39.091	-24.017	15648	15693	0	512
-39.380	-28.958	15507	15620	0	512
-43.887	-35.016	15297	15466	0	512
-49.730	-37.613	15069	15292	0	512
-49.802	-36.423	14946	15191	0	512
-45.907	-31.230	15034	15337	0	512
-39.993	-24.739	15121	15753	0	512
-36.567	-18.536	15420	16300	0	512
-38.983	-17.959	15770	16901	0	512
-43.743	-21.565	16209	17540	0	512
-47.638	-27.804	16647	18099	0	512
-47.530	-32.384	16910	18382	0	512
-44.861	-37.036	17033	18350	0	512
-43.743	-38.622	17085	18139	0	512
-43.960	-37.721	17085	17909	0	512
-45.294	-36.351	17384	17937	0	512
-42.914	-33.213	17822	18354	0	512
-40.173	-28.597	18261	18815	0	512
-35.810	-25.784	18524	18997	0	512
-35.052	-23.152	19015	19078	0	512
-38.514	-25.676	19313	19175	0	512
-42.445	-29.715	19489	19041	0	512
-43.130	-33.682	19454	18604	0	512
-40.137	-34.115	19366	18018	0	512
-36.278	-29.823	19226	17358	0	512
-35.160	-24.053	18875	16659	0	512
-37.072	-23.152	18524	15944	0	512
-40.426	-26.361	18138	15240	0	512
-41.363	-30.220	17699	14653	0	512
-37.685	-28.886	17524	14366	0	512
-30.617	-22.899	17384	14334	0	512
-23.837	-17.238	17173	14245	0	512
-22.791	-16.192	16857	14002	0	512
-27.227	-22.935	16506	13715	0	512
-36.495	-31.482	16121	13444	0	512
-44.392	-37.721	15735	13189	0	512
-49.116	-39.380	15297	12970	0	512
-50.595	-36.170	14858	12792	0	512
-49.910	-32.420	14455	12663	0	512
-51.677	-32.023	13981	12574	0	512
-53.300	-34.475	13718	12610	0	512
-52.254	-39.199	13542	12942	0	512
-49.657	-43.491	13630	13585	0	512
-45.907	-42.265	13753	14402	0	512
-43.743	-39.416	14069	15215	0	512
-44.861	-36.351	14156	15822	0	512
-48.179	-35.593	14332	16251	0	512
-51.280	-36.639	14595	16764	0	512
-51.641	-39.740	14893	17371	0	512
-49.693	-40.642	15069	17771	0	512
-48.359	-39.452	15156	17884	0	512
-50.343	-38.262	15156	17836	0	512
-52.651	-34.223	15069	17698	0	512
-52.110	-31.230	15034	17496	0	512
-45.979	-28.164	14806	17249	0	512
-36.062	-29.535	14630	16982	0	512
-29.246	-32.023	14420	16699	0	512
-30.941	-34.115	14156	16416	0	512
-35.557	-30.256	13928	16150	0	512
-42.409	-23.621	13630	15899	0	512
-41.940	-16.336	13402	15664	0	512
-37.360	-16.192	13104	15450	0	512
-32.672	-24.883	12788	15264	0	512
-31.626	-34.764	12665	15183	0	512
-32.744	-41.327	12665	15389	0	512
-36.639	-40.245	12788	15903	0	512
-40.389	-33.754	13192	16574	0	512
-41.507	-26.902	13542	17233	0	512
-40.317	-22.935	13753	17690	0	512
-35.413	-22.791	14069	17969	0	512
-29.535	-26.073	14455	18354	0	512
-23.945	-31.879	14858	18831	0	512
-22.791	-34.006	15156	19106	0	512
-23.260	-31.771	15332	19090	0	512
-26.253	-25.748	15420	18904	0	512
-32.276	-22.647	15595	18706	0	512
-40.137	-23.801	15823	18685	0	512
-48.071	-30.220	16086	18811	1	848
-52.795	-37.685	16262	18786	0	848
-50.595	-38.875	16297	18519	0	848
-44.789	-37.072	16297	18143	0	848
-39.668	-33.141	16209	17722	0	848
-38.154	-30.508	16174	17269	0	848
-40.317	-29.354	15946	16796	0	848
-40.966	-28.164	15735	16328	0	848
-39.524	-26.974	15472	15863	0	848
-37.216	-27.371	15297	15511	0	848
-34.728	-27.263	15297	15450	0	848
-34.223	-27.840	15507	15705	0	848
-35.882	-28.922	15770	16130	0	848
-37.288	-28.597	16121	16630	0	848
-39.163	-27.443	16594	17193	0	848
-38.190	-23.260	17033	17694	0	848
-36.387	-18.211	17436	18022	0	848
-35.629	-14.281	17910	18297	0	848
-35.341	-13.235	18313	18576	0	848
-36.242	-16.264	18612	18706	0	848
-36.495	-20.375	19103	18782	0	848
-36.062	-22.935	19401	18884	0	848
-35.882	-25.135	19717	18851	0	848
-37.432	-27.551	20068	18774	0	848
-38.442	-30.184	20331	18730	0	848
-40.029	-32.095	20506	18568	0	848
-37.108	-27.696	20805	18378	0	848
-32.997	-21.168	20980	18236	0	848
-29.968	-15.110	21033	17921	0	848
-26.397	-14.894	20945	17354	0	848
-26.650	-21.926	20769	16679	0	848
-27.624	-29.499	20541	15972	0	848
-32.131	-34.115	20103	15240	0	848
-36.314	-31.049	19664	14512	0	848
-39.272	-23.116	19226	13820	0	848
-38.045	-16.336	18664	13181	0	848
-34.043	-15.579	18138	12598	0	848
-31.302	-20.988	17524	12088	0	848
-30.040	-29.931	16910	11660	0	848
-33.393	-34.331	16384	11316	0	848
-37.649	-33.754	15858	11053	0	848
-41.724	-27.768	15332	10960	0	848
-45.222	-23.116	15156	11283	0	848
-48.756	-24.125	15244	12117	0	848
-51.605	-30.545	15384	13079	0	848
-53.047	-38.154	15472	13759	0	848
-51.280	-44.284	15384	14156	0	848
-46.520	-43.130	15244	14418	0	848
-43.274	-38.442	15121	14601	0	848
-39.921	-34.692	14946	14718	0	848
-40.209	-30.905	14683	14787	0	848
-40.750	-32.023	14455	14815	0	848
-42.048	-34.692	14156	14819	0	848
-43.960	-36.819	13928	14904	0	848
-44.464	-37.973	13981	15240	0	848
-45.294	-36.603	14016	15766	0	848
-44.068	-35.846	14069	16170	0	848
-43.383	-36.134	13981	16352	0	848
-43.563	-39.416	13893	16428	0	848
-46.520	-45.582	13753	16472	0	848
-48.900	-49.766	13753	16566	0	848
-49.838	-50.054	13841	16873	0	848
-48.251	-45.366	14069	17338	0	848
-46.159	-37.396	14104	17658	0	848
-43.815	-34.115	14192	17743	0	848
-45.114	-33.934	14156	17714	0	848
-46.664	-38.550	14104	17629	0	848
-50.234	-42.806	13981	17496	0	848
-51.208	-43.779	13893	17318	0	848
-50.270	-42.301	13806	17193	0	848
-48.612	-40.498	13981	17314	0	848
-45.330	-39.488	14104	17625	0	848
-44.501	-38.370	14244	17824	0	848
-42.337	-36.242	14332	17803	0	848
-42.409	-32.167	14192	17674	0	848
-42.481	-27.263	14192	17500	0	848
-42.373	-27.083	14104	17298	0	848
-42.337	-28.345	14016	17075	0	848
-38.586	-31.338	13841	16841	0	848
-33.393	-34.079	13718	16598	0	848
-30.076	-33.141	13490	16360	0	848
-29.968	-29.751	13367	16134	0	848
-34.475	-23.512	13139	15923	0	848
-39.127	-20.519	12928	15741	0	848
-42.625	-20.339	12788	15588	0	848
-43.815	-25.568	12613	15462	0	848
-44.609	-31.987	12490	15450	0	848
-43.274	-31.122	12700	15798	0	848
-41.039	-26.217	13227	16606	0	848
-37.180	-17.959	13665	17496	0	848
-32.672	-15.867	14069	18062	0	848
-31.735	-20.231	14332	18309	0	848
-34.367	-29.715	14595	18390	0	848
-38.009	-33.466	14718	18354	0	848
-41.075	-30.508	14806	18216	0	848
-39.632	-22.539	14946	18091	0	848
-37.685	-14.677	15332	18252	0	848
-36.134	-13.631	15999	18900	0	848
-38.190	-21.241	16857	19834	0	848
-42.517	-31.554	17612	20591	0	848
-44.320	-38.839	18173	20874	0	848
-43.599	-37.613	18612	20752	0	848
-39.380	-28.814	18840	20405	0	848
-37.613	-20.087	19015	19907	0	848
-40.389	-16.949	19015	19288	0	848
-43.599	-21.890	18962	18588	1	420
-44.356	-29.499	18752	17840	0	420
-42.770	-33.141	18576	17075	0	420
-38.298	-31.554	18261	16332	0	420
-38.190	-25.207	18050	15697	0	420
-43.563	-21.241	17998	15345	0	420
-47.962	-19.473	17910	15236	0	420
-47.999	-20.231	17822	15074	0	420
-40.534	-19.798	17647	14758	0	420
-28.741	-18.428	17384	14406	0	420
-20.339	-18.536	17120	14062	0	420
-19.834	-20.664	16769	13735	0	420
-28.020	-26.974	16506	13431	0	420
-36.783	-30.112	16121	13160	0	420
-43.563	-30.292	15823	12930	0	420
-43.058	-27.660	15384	12744	0	420
-36.062	-24.955	15069	12687	0	420
-29.535	-26.650	15034	12938	0	420
-27.227	-28.886	15034	13419	0	420
-28.525	-29.354	14946	13828	0	420
-34.115	-25.640	14858	14054	0	420
-40.317	-21.962	14770	14208	0	420
-44.753	-20.736	14595	14342	0	420
-47.674	-23.476	14367	14443	0	420
-47.133	-30.328	14244	14528	0	420
-43.851	-33.141	14104	14677	0	420
-39.380	-33.862	14367	15151	0	420
-36.026	-32.780	14770	16053	0	420
-35.990	-30.220	15156	17015	0	420
-40.317	-30.076	15507	17634	0	420
-45.799	-31.843	15735	17913	0	420
-50.595	-36.603	15911	18018	0	420
-52.254	-41.183	16034	18087	0	420
-48.612	-42.986	16419	18378	0	420
-41.796	-39.668	16945	19029	0	420
-32.492	-31.122	17559	19689	0	420
-28.669	-23.440	17910	19960	0	420
-28.056	-18.428	18173	19867	0	420
-33.141	-17.815	18226	19575	0	420
-35.665	-18.897	18261	19155	0	420
-35.305	-19.870	18138	18641	0	420
-34.583	-23.044	18173	18151	0	420
-37.036	-27.119	18261	17880	0	420
-43.058	-32.167	18261	17783	0	420
-49.730	-34.872	18313	17573	0	420
-50.920	-33.610	18348	17249	0	420
-47.530	-30.797	18401	17100	0	420
-41.147	-27.984	18576	17124	0	420
-37.757	-28.777	18524	17011	0	420
-37.252	-30.797	18489	16679	0	420
-40.245	-33.321	18313	16259	0	420
-45.438	-35.846	18050	15810	0	420
-49.549	-36.891	17910	15426	0	420
-52.398	-35.701	17962	15377	0	420
-51.821	-32.276	18226	15786	0	420
-47.962	-30.148	18524	16291	0	420
-44.248	-30.256	18699	16566	0	420
-43.310	-34.944	19050	16800	0	420
-45.402	-41.327	19278	17083	0	420
-44.248	-45.691	19454	17164	0	420
-41.976	-43.779	19401	16962	0	420
-37.937	-39.344	19454	16687	0	420
-35.882	-34.295	19541	16586	0	420
-38.478	-31.338	19576	16614	0	420
-41.832	-30.833	19541	16493	0	420
-42.229	-28.525	19366	16158	0	420
-36.783	-25.712	19103	15729	0	420
