neuroNicle FX2
D3F0R0
UART
2023년 3월 31일 금요일
오후 1:13
time interval = 4msec
EEG1	EEG2	PPG	sdPPG	pulse	peak_interval(msec)
-89.939	-62.604	16281	16242	0	316
-96.141	-67.797	16243	15995	0	316
-104.724	-68.806	16210	15750	0	316
-107.176	-61.342	16172	15523	0	316
-99.459	-44.897	16116	15318	0	316
-83.267	-26.902	16054	15136	0	316
-69.095	-14.281	16007	14981	0	316
-64.587	-16.120	15960	14855	0	316
-72.737	-29.607	15936	14826	0	316
-86.224	-51.749	15951	15024	0	316
-97.908	-73.206	15998	15400	0	316
-102.957	-85.611	16045	15698	0	316
-95.636	-81.608	16068	15899	0	316
-78.687	-62.243	16163	16229	0	316
-56.509	-38.983	16243	16671	0	316
-42.012	-31.122	16314	16978	0	316
-46.376	-42.373	16351	17080	0	316
-63.109	-63.217	16384	17080	0	316
-81.897	-70.105	16393	17024	0	316
-83.159	-52.254	16417	16978	0	316
-65.128	-19.510	16487	17094	0	316
-38.658	0.144	16558	17331	0	316
-24.198	-10.494	16605	17454	0	316
-31.879	-43.635	16643	17384	0	316
-52.074	-73.603	16643	17219	0	316
-69.383	-81.031	16619	17014	0	316
-68.951	-63.145	16605	16780	0	316
-53.480	-37.829	16605	16595	0	316
-33.934	-20.664	16652	16605	0	316
-24.847	-16.913	16690	16763	0	316
-30.508	-22.467	16714	16826	0	316
-41.724	-32.492	16747	16783	0	316
-48.215	-38.947	16841	16932	0	316
-44.897	-42.012	16997	17467	0	316
-36.423	-38.226	17218	18223	0	316
-28.489	-33.177	17398	18834	0	316
-29.174	-31.158	17525	19068	0	316
-38.082	-34.800	17619	18976	0	316
-52.687	-41.039	17667	18695	0	316
-67.003	-45.186	17667	18289	0	316
-71.799	-46.051	17643	17784	0	316
-65.921	-44.068	17596	17212	0	316
-47.313	-44.140	17539	16615	0	316
-29.102	-43.491	17445	16028	0	316
-19.834	-40.822	17336	15460	0	316
-24.666	-34.692	17233	14925	0	316
-37.937	-29.535	17115	14429	0	316
-48.648	-30.436	16973	13987	0	316
-52.578	-33.826	16855	13597	0	316
-52.578	-39.849	16737	13270	0	316
-52.470	-44.609	16596	13006	0	316
-53.155	-45.186	16464	12805	0	316
-52.470	-44.248	16351	12663	0	316
-45.114	-41.111	16243	12643	0	316
-34.980	-38.442	16196	12877	0	316
-28.417	-38.442	16172	13323	0	316
-33.934	-41.904	16186	13789	0	316
-45.114	-44.428	16243	14373	0	316
-52.939	-42.012	16393	15311	0	316
-53.660	-32.276	16582	16469	0	316
-45.907	-21.529	16770	17480	0	316
-40.606	-20.014	16888	18094	0	316
-41.075	-29.427	16983	18362	0	316
-48.648	-46.520	17044	18421	0	316
-54.959	-61.378	17077	18332	0	316
-57.807	-64.190	17091	18190	0	316
-55.391	-54.778	17138	18167	0	316
-51.857	-37.180	17185	18240	0	316
-45.186	-20.483	17209	18170	0	316
-34.151	-9.376	17185	17896	0	316
-25.243	-6.167	17148	17523	0	316
-19.401	-11.828	17115	17120	0	316
-23.152	-21.781	17020	16697	0	316
-29.030	-34.439	16959	16279	0	316
-33.285	-42.373	16888	15929	0	316
-29.679	-40.822	16855	15800	0	316
-23.729	-33.177	16855	15849	0	316
-22.791	-22.863	16855	15899	0	316
-34.259	-22.286	16865	16008	0	316
-50.523	-34.800	16902	16209	0	316
-62.928	-53.624	16926	16365	0	316
-64.010	-65.994	16983	16535	0	316
-53.264	-64.948	17044	16783	0	316
-40.606	-52.290	17067	16882	0	316
-36.747	-37.937	17053	16763	0	316
-41.147	-33.321	17030	16529	0	316
-50.739	-40.065	16973	16249	0	316
-58.457	-53.155	16879	15929	0	316
-56.942	-62.459	16808	15595	0	316
-47.710	-63.469	16700	15265	0	316
-33.177	-53.372	16596	14951	0	316
-21.024	-39.091	16501	14664	0	316
-17.562	-28.237	16384	14413	0	316
-28.814	-23.981	16281	14208	0	316
-43.130	-28.345	16186	14043	0	316
-53.083	-35.918	16054	13918	0	316
-47.025	-41.399	15951	13832	0	316
-29.607	-43.094	15889	13858	0	316
-12.694	-42.661	15856	14135	0	316
-9.845	-38.082	15866	14598	0	316
-16.913	-31.194	15880	15057	0	316
-28.020	-24.666	15936	15562	0	316
-34.836	-19.978	16031	16213	0	316
-33.610	-22.214	16149	16922	0	316
-27.335	-27.804	16314	17629	0	316
-20.303	-32.312	16440	18315	0	316
-12.477	-29.823	16629	18959	0	316
-8.979	-23.440	16841	19610	0	316
-10.746	-20.519	17077	20333	0	316
-21.673	-28.237	17327	20991	0	316
-37.432	-42.661	17539	21440	0	316
-49.621	-53.841	17728	21664	0	316
-53.877	-56.329	17846	21575	0	316
-48.648	-49.297	17926	21166	0	316
-39.235	-41.255	17973	20617	0	316
-35.629	-38.803	18058	20148	0	316
-37.432	-38.550	18091	19742	1	740
-38.550	-34.836	18082	19191	0	740
