neuroNicle FX2
D3F0R0
UART
2023년 4월 4일 화요일
오후 1:19
time interval = 4msec
EEG1	EEG2	PPG	sdPPG	pulse	peak_interval(msec)
35.016	17.021	16389	18307	0	620
57.447	29.859	16389	18210	0	620
70.321	37.324	16389	18114	0	620
69.095	35.377	16389	18018	0	620
61.378	24.162	16389	17826	0	620
54.850	12.477	16397	17537	0	620
57.519	9.881	16397	17249	0	620
68.806	13.271	16397	17249	0	620
74.360	17.851	16397	17441	0	620
71.980	18.464	16397	17537	0	620
63.289	14.353	16403	17634	0	620
54.706	11.143	16403	17826	0	620
50.667	12.261	16411	18018	0	620
50.847	17.959	16411	18114	0	620
49.946	22.214	16403	17922	0	620
48.864	24.702	16403	17537	0	620
48.395	23.296	16403	16960	0	620
45.186	22.070	16403	16384	0	620
42.770	20.519	16403	15808	0	620
39.272	20.772	16397	15231	0	620
36.819	19.437	16397	14654	0	620
36.134	18.933	16397	14269	0	620
35.954	16.913	16397	13981	0	620
34.692	15.182	16389	13788	0	620
30.977	13.127	16389	13500	0	620
28.741	10.061	16389	13211	0	620
26.289	6.708	16384	13019	0	620
24.053	4.796	16384	12827	0	620
21.060	7.862	16384	12827	0	620
14.785	10.097	16384	12923	0	620
11.828	10.206	16379	13211	0	620
10.206	6.996	16379	13596	0	620
12.189	1.947	16379	13981	0	620
14.353	-1.551	16379	14365	0	620
14.028	-0.577	16379	14750	0	620
13.595	1.983	16384	15423	0	620
9.917	3.354	16384	16096	0	620
8.186	1.623	16384	16576	0	620
7.753	0.685	16384	16960	0	620
13.740	2.741	16384	17057	0	620
21.673	10.494	16384	17249	0	620
33.141	23.549	16389	17537	0	620
42.445	34.403	16389	17922	0	620
46.448	39.957	16389	18114	0	620
44.068	36.639	16389	18403	0	620
36.459	28.850	16397	18691	0	620
28.273	23.512	16397	18884	0	620
21.673	24.739	16397	18884	0	620
20.339	26.397	16403	18787	0	620
23.837	28.777	16403	18403	0	620
28.669	26.902	16397	17922	0	620
28.417	22.250	16397	17249	0	620
24.414	17.021	16397	16768	1	780
14.894	14.858	16397	16480	0	780
8.619	15.038	16389	16384	0	780
8.042	13.091	16397	16096	0	780
12.261	13.523	16389	15808	0	780
17.743	13.451	16389	15519	0	780
19.942	15.002	16389	15327	0	780
21.096	15.471	16389	15231	0	780
18.428	16.949	16389	15134	0	780
19.546	17.202	16389	14942	0	780
17.526	17.562	16379	14654	0	780
17.779	17.274	16384	14365	0	780
13.343	17.093	16384	14173	0	780
13.127	16.444	16379	13884	0	780
13.163	14.605	16379	13692	0	780
19.041	14.930	16371	13500	0	780
23.837	17.093	16371	13596	0	780
27.804	19.834	16379	13884	0	780
27.624	22.358	16371	14269	0	780
23.909	23.909	16371	14461	0	780
21.926	26.506	16371	14654	0	780
25.279	28.273	16365	14846	0	780
29.463	28.994	16365	15038	0	780
33.177	28.886	16365	15423	0	780
33.502	26.902	16365	15711	0	780
29.030	25.856	16365	16096	0	780
23.765	24.270	16365	16384	0	780
20.880	24.089	16365	16864	0	780
18.644	22.827	16365	17153	0	780
18.752	23.332	16371	17537	0	780
16.444	23.621	16371	17730	0	780
16.372	24.775	16371	17826	0	780
15.939	24.702	16371	17922	0	780
21.745	22.972	16371	18018	0	780
26.794	20.519	16371	17922	0	780
31.662	18.283	16371	17634	0	780
32.384	17.995	16365	17345	0	780
26.217	17.598	16365	17249	0	780
17.887	17.779	16371	17249	0	780
11.251	18.103	16371	17057	0	780
9.016	17.021	16371	16960	0	780
11.540	16.769	16371	17057	0	780
16.048	19.401	16371	17057	0	780
20.267	22.863	16371	17153	0	780
23.116	26.433	16371	17153	0	780
24.089	25.748	16371	17345	0	780
19.221	18.139	16371	17345	0	780
13.848	8.907	16371	17057	0	780
8.439	4.616	16371	16864	0	780
5.986	5.662	16371	16672	0	780
7.537	13.487	16371	16576	0	780
10.350	20.880	16371	16384	0	780
8.655	19.690	16365	16192	0	780
4.868	14.713	16365	15808	0	780
1.911	5.662	16365	15423	0	780
2.272	3.462	16357	15134	0	780
12.045	7.032	16357	14846	0	780
21.601	17.202	16357	14654	0	780
31.518	27.119	16357	14654	0	780
33.934	33.538	16351	14846	0	780
32.167	33.213	16357	15134	0	780
25.604	32.600	16365	15423	0	780
22.683	33.105	16357	15904	0	780
26.938	35.269	16365	16384	0	780
32.744	39.019	16365	16768	0	780
36.891	37.685	16365	17153	0	780
35.269	32.816	16365	17345	0	780
29.499	26.361	16365	17441	0	780
22.539	19.834	16365	17249	0	780
19.473	16.877	16365	17057	0	780
18.500	15.543	16365	16960	0	780
18.788	15.651	16365	16864	0	780
20.411	16.589	16365	16960	0	780
21.024	17.454	16365	17057	0	780
23.837	18.752	16365	17057	0	780
22.611	18.211	16365	16960	0	780
18.824	16.408	16365	16864	0	780
16.733	14.858	16365	16864	0	780
15.182	14.497	16371	17153	0	780
17.454	13.054	16371	17441	0	780
19.690	13.920	16371	17730	0	780
20.267	13.523	16371	17730	0	780
15.831	14.749	16379	17730	0	780
10.530	16.841	16379	17634	0	780
5.770	18.031	16379	17441	0	780
4.400	17.743	16379	17249	0	780
3.678	13.595	16379	17153	0	780
6.599	7.357	16379	17345	0	780
7.248	3.354	16379	17441	0	780
6.239	0.252	16379	17441	0	780
4.832	0.541	16379	17345	0	780
4.472	3.606	16379	17249	0	780
4.364	6.347	16379	17057	0	780
6.599	6.780	16379	16768	0	780
5.770	4.580	16379	16768	0	780
5.301	-1.046	16379	16864	0	780
1.010	-8.402	16384	17057	0	780
-2.596	-13.343	16384	17153	0	780
-4.580	-16.156	16384	17153	0	780
-5.121	-11.396	16384	17153	0	780
-5.698	-5.698	16384	17249	0	780
-4.219	0.361	16389	17441	0	780
-3.823	3.101	16389	17345	0	780
-1.082	-0.974	16389	17249	0	780
0.577	-6.311	16389	17249	0	780
0.757	-12.946	16389	17345	0	780
-3.101	-16.156	16397	17345	0	780
-9.088	-18.860	16397	17441	0	780
-16.300	-20.555	16397	17441	0	780
-18.175	-21.096	16397	17249	0	780
-15.254	-18.572	16397	16960	0	780
-9.196	-13.415	16397	16768	0	780
-1.370	-4.003	16397	16768	0	780
2.452	-0.613	16403	16768	0	780
1.118	-1.406	16403	16576	0	780
-3.426	-8.907	16397	16384	0	780
-8.475	-14.894	16397	16192	0	780
-10.386	-18.933	16397	16000	0	780
-11.828	-15.362	16397	15711	0	780
-11.360	-11.432	16397	15423	0	780
-10.278	-9.304	16389	15231	0	780
-10.710	-8.583	16389	15231	0	780
-8.583	-11.107	16397	15231	0	780
-4.400	-10.674	16397	15423	0	780
-0.974	-8.943	16397	15711	0	780
2.019	-3.534	16397	16000	0	780
3.678	0.613	16397	16096	0	780
3.534	4.868	16397	16000	0	780
1.406	2.200	16397	15808	0	780
-4.291	-3.101	16397	15808	0	780
-9.520	-7.717	16397	15904	0	780
-17.346	-13.054	16397	16000	0	780
-20.772	-15.723	16403	16192	0	780
-20.339	-16.769	16403	16480	0	780
-17.057	-19.798	16403	16768	0	780
-14.317	-22.070	16403	16960	0	780
-11.576	-21.457	16403	16960	0	780
-10.530	-19.005	16411	16864	0	780
-13.487	-15.579	16403	16480	0	780
-16.048	-14.245	16403	16000	0	780
-21.709	-16.372	16397	15519	0	780
-23.981	-21.132	16397	15038	0	780
-25.135	-24.702	16389	14654	0	780
-22.683	-23.116	16389	14365	0	780
-19.762	-22.214	16389	14269	0	780
-21.313	-20.591	16389	14269	0	780
-24.234	-26.794	16389	14269	0	780
-30.004	-36.639	16384	14173	0	780
-35.882	-46.159	16384	13981	0	780
-40.678	-50.379	16384	13884	0	780
-43.455	-45.005	16384	14077	0	780
-44.140	-31.518	16384	14558	0	780
-44.212	-18.103	16384	15038	0	780
-47.530	-9.989	16384	15615	0	780
-56.004	-14.858	16384	16000	0	780
-69.167	-23.729	16384	16384	0	780
-81.031	-28.128	16384	16576	0	780
-85.034	-23.188	16384	16672	0	780
-84.890	-12.946	16384	16576	0	780
-80.022	-7.862	16384	16192	0	780
-77.822	-12.838	16379	15615	0	780
-78.219	-25.207	16379	15038	0	780
-78.940	-32.636	16371	14750	0	780
-76.848	-31.302	16371	14461	0	780
-72.449	-25.640	16365	14269	0	780
-67.003	-21.241	16365	14173	0	780
-62.207	-21.529	16371	14461	0	780
-61.017	-25.640	16371	14942	0	780
-60.332	-30.004	16371	15423	0	780
-62.135	-30.148	16379	15904	0	780
-64.659	-30.545	16371	16384	0	780
-66.354	-29.463	16379	16960	0	780
-67.472	-30.545	16379	17537	0	780
-69.275	-35.593	16379	17826	0	780
-67.544	-38.695	16379	17922	0	780
-61.558	-39.812	16379	18018	0	780
-53.119	-37.432	16379	18307	0	780
-47.422	-34.187	16384	18595	0	780
-47.025	-32.564	16384	18787	0	780
-49.730	-35.629	16384	18884	0	780
-57.122	-38.839	16384	18884	0	780
-60.404	-39.885	16384	18980	0	780
-60.188	-38.731	16389	19076	0	780
-57.843	-37.829	16389	19076	0	780
-51.172	-38.009	16389	19076	0	780
-44.212	-38.154	16389	19172	0	780
-37.072	-34.872	16397	19172	0	780
-33.790	-28.056	16397	18980	0	780
-34.620	-21.493	16389	18499	0	780
-36.026	-16.661	16397	18114	0	780
-33.826	-15.254	16397	17826	0	780
-29.066	-14.785	16397	17634	1	764
-21.637	-13.018	16397	17441	0	764
-14.064	-11.828	16389	17153	0	764
-10.458	-9.520	16389	17057	0	764
-8.835	-10.278	16397	17057	0	764
