neuroNicle FX2
D3F25R12
Bluetooth SPP
2023년 6월 6일 화요일
오전 10:40
time interval = 4msec
EEG1	EEG2	PPG	sdPPG	pulse	peak_interval(msec)
-89.975	-92.535	15687	16635	0	692
-84.926	-88.785	15670	16544	0	692
-89.794	-89.001	15659	16465	0	692
-101.442	-99.856	15636	16404	0	692
-110.206	-106.924	15615	16323	0	692
-106.131	-102.308	15594	16217	0	692
-88.857	-86.152	15572	16140	0	692
-74.432	-72.196	15558	16107	0	692
-77.461	-72.593	15543	16110	0	692
-94.771	-88.677	15530	16145	0	692
-113.776	-104.436	15524	16194	0	692
-114.533	-105.986	15514	16239	0	692
-96.141	-91.742	15508	16298	0	692
-72.917	-72.809	15506	16399	0	692
-58.384	-61.342	15509	16541	0	692
-59.178	-61.269	15516	16686	0	692
-72.232	-69.455	15527	16844	0	692
-90.624	-75.730	15543	17030	0	692
-104.147	-79.950	15566	17261	0	692
-110.963	-80.346	15599	17531	0	692
-111.684	-79.373	15634	17814	0	692
-106.167	-82.149	15675	18099	0	692
-98.666	-82.690	15719	18394	0	692
-93.437	-85.539	15779	18719	0	692
-94.591	-88.208	15838	19060	0	692
-99.171	-85.395	15902	19366	0	692
-108.114	-81.717	15968	19620	0	692
-115.687	-76.740	16037	19844	0	692
-119.401	-74.216	16110	20068	0	692
-114.497	-74.648	16189	20284	0	692
-110.097	-79.373	16264	20465	0	692
-109.196	-82.979	16348	20590	0	692
-113.668	-88.532	16419	20658	0	692
-121.241	-92.896	16497	20671	0	692
-119.726	-96.827	16573	20648	0	692
-110.061	-94.843	16656	20648	0	692
-97.295	-85.611	16731	20646	0	692
-92.571	-76.451	16803	20544	0	692
-100.000	-72.665	16869	20328	1	704
-111.143	-80.238	16928	20040	0	704
-111.504	-91.525	16984	19745	0	704
-100.577	-97.764	17036	19457	0	704
-86.621	-93.581	17090	19172	0	704
-76.740	-79.373	17137	18875	0	704
-79.950	-70.970	17182	18557	0	704
-91.886	-71.619	17222	18236	0	704
-100.865	-79.300	17260	17928	0	704
-108.366	-91.778	17297	17620	0	704
-115.615	-100.252	17326	17289	0	704
-124.811	-104.436	17348	16941	0	704
-134.511	-108.402	17366	16597	0	704
-142.084	-115.074	17387	16283	0	704
-143.347	-123.765	17395	15970	0	704
-138.118	-126.109	17406	15647	0	704
-128.525	-121.709	17409	15336	0	704
-121.421	-110.638	17412	15069	0	704
-117.995	-104.364	17414	14850	0	704
-118.752	-107.357	17419	14687	0	704
-121.241	-113.595	17419	14563	0	704
-119.113	-115.254	17420	14440	0	704
-113.668	-105.698	17414	14323	0	704
-107.140	-92.607	17412	14227	0	704
-104.760	-86.801	17406	14161	0	704
-108.150	-91.489	17401	14102	0	704
-111.864	-102.560	17379	13977	0	704
-112.658	-106.599	17356	13799	0	704
-110.278	-105.157	17334	13664	0	704
-102.849	-99.351	17308	13586	0	704
-93.653	-92.211	17284	13542	0	704
-86.152	-86.405	17260	13532	0	704
