neuroNicle FX2
D3F25R12
Bluetooth SPP
2023년 6월 7일 수요일
오전 10:19
time interval = 4msec
EEG1	EEG2	PPG	sdPPG	pulse	peak_interval(msec)
5.301	2.596	24858	16620	0	316
8.258	5.409	24999	16993	0	316
8.114	4.291	25141	16841	0	316
7.970	3.101	24999	16399	0	316
7.032	5.626	24717	15805	0	316
6.203	7.429	24350	15089	0	316
4.003	8.835	23926	14311	0	316
3.570	6.816	23502	13663	0	316
4.003	3.750	23643	13663	0	316
4.219	2.056	23926	14509	0	316
6.022	3.137	24293	15523	0	316
6.924	5.337	24350	15935	0	316
7.537	5.626	24293	15775	0	316
6.852	6.131	24067	15378	0	316
6.563	4.940	23728	14845	0	316
5.121	2.596	23220	14227	0	316
2.344	0.541	22739	13564	0	316
0.325	-1.731	22090	12901	0	316
0.361	-2.308	21468	12253	0	316
1.695	-3.750	20762	11651	0	316
3.534	-1.370	20112	11125	0	316
4.652	0.613	19265	10668	0	316
4.472	2.813	18785	10439	0	316
1.803	3.462	18559	10775	0	316
0.829	5.914	18361	11560	0	316
1.551	5.445	18078	12223	0	316
4.183	4.652	17852	12566	0	316
4.760	2.200	17513	12787	0	316
6.996	2.777	17231	12970	0	316
8.439	2.308	16807	13099	0	316
9.665	4.724	16328	13176	0	316
11.684	6.167	15904	13229	0	316
13.920	7.609	15678	13427	0	316
13.415	9.412	15678	14106	0	316
12.802	10.169	15763	15142	0	316
13.199	11.937	15820	15958	0	316
10.710	10.710	15763	16369	0	316
8.511	5.626	15622	16582	0	316
7.285	3.426	15537	16696	0	316
7.717	4.724	15255	16726	0	316
8.511	7.140	14972	16696	0	316
10.242	9.376	14690	16620	0	316
11.756	8.006	14492	16498	0	316
12.441	2.488	14209	16362	0	316
9.376	-0.613	13842	16194	0	316
10.025	0.072	13503	16042	0	316
10.169	5.049	13221	15912	0	316
10.458	10.494	12995	15965	0	316
12.369	14.100	13277	16505	0	316
15.254	12.405	13503	17443	0	316
14.894	9.953	13644	18175	0	316
16.733	8.042	13842	18518	0	316
15.038	5.698	13927	18662	0	316
12.910	3.246	13842	18708	0	316
9.340	2.092	13927	18662	0	316
3.859	2.669	13927	18541	0	316
2.308	6.094	13786	18358	0	316
2.128	9.629	13644	18144	0	316
4.183	11.504	13644	17916	0	316
3.426	7.321	13362	17679	0	316
6.924	2.957	13277	17420	0	316
7.357	1.659	13079	17161	0	316
7.753	4.544	12938	16917	0	316
7.681	7.501	12797	16688	0	316
6.527	9.665	12514	16490	0	316
7.357	7.681	12430	16339	0	316
11.828	4.147	12232	16224	0	316
18.067	2.524	12147	16133	0	316
24.955	2.921	12091	16202	0	316
27.624	2.092	12514	16749	0	316
25.784	2.885	12853	17679	0	316
22.034	-0.361	13362	18411	0	316
20.339	-2.885	13560	18739	0	316
16.913	-5.590	13842	18861	0	316
15.146	-6.852	13983	18861	0	316
12.802	-7.862	14068	18739	0	316
9.196	-7.934	14125	18533	0	316
6.780	-8.186	14266	18419	0	316
7.176	-9.196	14774	18716	0	316
7.862	-8.943	15198	19326	0	316
8.727	-7.321	15678	19836	0	316
5.445	-5.626	16440	20370	0	316
4.832	-1.875	17287	21208	0	316
4.940	-0.072	18276	22207	0	316
6.203	0.397	19208	23037	0	316
7.321	0.144	19915	23327	0	316
7.609	-5.121	20338	23022	0	316
