neuroNicle FX2
D3F25R12
Bluetooth SPP
2023년 6월 5일 월요일
오전 10:29
time interval = 4msec
EEG1	EEG2	PPG	sdPPG	pulse	peak_interval(msec)
-2.416	-1.442	16085	18884	0	316
-4.508	-2.308	16085	19278	0	316
-7.465	-3.787	16085	19541	0	316
-10.999	-7.176	16085	19673	0	316
-10.494	-7.645	16085	19673	0	316
-9.592	-7.248	16085	19673	0	316
-4.075	-5.554	16085	19410	0	316
0.685	-2.416	16085	19278	0	316
5.662	1.839	16085	19541	0	316
8.294	5.049	16171	19936	0	316
8.835	6.527	16171	20199	0	316
10.927	7.789	16171	20462	0	316
12.838	7.248	16299	20726	0	316
15.687	5.842	16299	20726	0	316
17.959	5.265	16299	20594	0	316
15.651	4.255	16299	20594	0	316
9.304	2.741	16384	20857	0	316
3.967	1.479	16384	21120	0	316
1.334	3.462	16384	20857	0	316
4.327	6.635	16469	20594	0	316
10.530	10.097	16469	20199	0	316
14.966	12.514	16469	19936	0	316
15.795	12.225	16469	19278	0	316
10.891	9.016	16469	18620	0	316
7.321	8.619	16469	17831	0	316
6.527	9.268	16469	17041	0	316
11.215	11.973	16469	16384	0	316
16.697	12.117	16469	15858	0	316
18.175	10.386	16469	15463	0	316
14.641	6.419	16469	14937	0	316
5.770	1.659	16384	14148	0	316
-1.731	0.397	16384	13358	0	316
-6.491	0.685	16384	12963	0	316
-6.239	2.092	16299	12700	0	316
-1.046	2.452	16299	12437	0	316
6.022	0.613	16299	12174	0	316
11.792	0.325	16299	12174	0	316
12.514	1.442	16171	12042	0	316
8.763	4.436	16171	11911	0	316
0.397	8.186	16171	11911	0	316
-4.544	7.285	16085	11911	0	316
-2.885	3.859	16085	12174	0	316
1.334	-1.947	16085	12437	0	316
9.124	-3.173	16085	12700	0	316
9.881	-2.272	16085	13095	0	316
5.229	1.046	16085	13227	0	316
-3.534	3.065	16085	13490	0	316
-6.924	4.760	16171	13753	0	316
-2.777	5.193	16085	14016	0	316
9.592	6.852	16085	14279	0	316
23.044	10.494	15957	14674	0	316
29.066	11.360	15957	15200	0	316
25.965	12.333	16085	15990	0	316
15.939	12.189	16085	16515	0	316
7.609	10.494	16085	17436	0	316
3.967	10.602	16085	18489	0	316
9.088	11.287	16171	19278	0	316
16.480	11.648	16171	19805	0	316
23.368	13.595	16171	20199	0	316
27.263	15.831	16299	20462	0	316
23.549	16.444	16299	20594	0	316
18.464	15.435	16299	20331	0	316
12.658	13.631	16299	20068	0	316
7.717	11.360	16299	19673	0	316
7.248	10.061	16299	18884	0	316
7.753	9.160	16171	18094	1	612
7.645	8.691	16171	17436	0	612
7.898	7.429	16171	17041	0	612
5.049	6.203	16171	16515	0	612
4.832	5.554	16171	15990	0	612
4.291	5.914	16171	15858	0	612
6.311	7.393	16299	15990	0	612
8.222	6.635	16299	15990	0	612
7.862	6.167	16171	15858	0	612
4.219	6.239	16171	15727	0	612
1.587	5.950	16171	15990	0	612
-0.974	5.373	16299	16384	0	612
1.154	7.104	16299	16778	0	612
7.789	8.511	16299	16910	0	612
15.615	11.576	16299	16910	0	612
23.296	14.966	16299	17041	0	612
29.174	18.788	16299	17436	0	612
30.292	19.978	16384	18094	0	612
28.777	18.320	16384	18620	0	612
