neuroNicle FX2
D3F0R0
Bluetooth SPP
2023년 6월 2일 금요일
오후 7:08
time interval = 4msec
EEG1	EEG2	PPG	sdPPG	pulse	peak_interval(msec)
-37.757	-53.083	16099	20912	0	532
-40.498	-46.232	16107	20480	0	532
-44.068	-40.714	16117	20342	0	532
-47.097	-38.226	16129	20460	1	716
-46.700	-41.724	16149	20853	0	716
-45.618	-47.494	16168	21462	0	716
-44.861	-51.316	16193	22012	0	716
-43.527	-48.395	16215	22327	0	716
-41.147	-41.796	16232	22464	0	716
-40.317	-38.839	16257	22661	0	716
-41.868	-40.245	16279	22926	0	716
-42.157	-45.041	16304	23122	0	716
-46.051	-50.054	16324	23161	0	716
-44.176	-52.939	16350	23093	0	716
-37.793	-49.549	16368	22985	0	716
-30.220	-40.678	16388	22837	0	716
-24.630	-33.249	16405	22562	0	716
-23.801	-28.561	16418	22012	0	716
-23.837	-27.587	16428	21138	0	716
-28.453	-32.672	16435	20106	0	716
-30.328	-35.449	16440	19134	0	716
-32.925	-37.072	16442	18279	0	716
-37.541	-35.269	16447	17552	0	716
-40.642	-34.872	16449	16835	0	716
-40.389	-37.865	16447	15913	0	716
-35.485	-40.101	16440	14724	0	716
-28.056	-41.255	16433	13585	0	716
-22.503	-37.901	16423	12760	0	716
-20.411	-35.016	16420	12141	0	716
-27.047	-34.187	16408	11493	0	716
-34.439	-37.036	16398	10844	0	716
-38.875	-38.731	16390	10432	0	716
-36.928	-38.911	16385	10284	0	716
-30.977	-33.934	16380	10245	0	716
-23.440	-29.823	16370	10137	0	716
-20.519	-28.237	16360	9950	0	716
-20.700	-28.958	16355	9970	0	716
-25.640	-33.033	16355	10353	0	716
-28.561	-35.593	16355	11001	0	716
-30.148	-35.774	16355	11669	0	716
-31.085	-35.016	16350	12033	0	716
-29.895	-33.862	16338	11876	0	716
-30.184	-33.321	16326	11375	0	716
-29.102	-31.194	16311	10982	0	716
-26.073	-28.777	16296	10775	0	716
-21.024	-25.424	16281	10736	0	716
-18.175	-23.080	16276	11021	0	716
-16.625	-24.234	16270	11581	0	716
-20.411	-25.856	16270	12229	0	716
-22.503	-24.270	16267	12927	0	716
-24.017	-22.395	16267	13634	0	716
-22.683	-21.385	16270	14331	0	716
-20.519	-24.270	16271	15009	0	716
-20.339	-33.646	16271	15599	0	716
-23.765	-39.668	16276	16070	0	716
-24.883	-40.389	16276	16560	0	716
-26.578	-34.475	16284	17110	0	716
-25.820	-25.063	16289	17710	0	716
-22.683	-19.149	16296	18368	0	716
-22.178	-17.670	16311	19036	0	716
-27.155	-22.683	16319	19576	0	716
-32.167	-30.545	16328	19969	0	716
-37.613	-34.944	16340	20332	0	716
-37.468	-35.593	16350	20725	0	716
-30.977	-31.807	16363	21040	0	716
-23.116	-27.299	16370	21118	0	716
-21.457	-26.686	16378	20991	0	716
-26.578	-31.554	16383	20735	0	716
-34.583	-37.937	16384	20372	0	716
-41.111	-42.589	16385	19959	0	716
-42.697	-41.291	16388	19556	0	716
-35.269	-36.134	16385	19026	0	716
-27.299	-29.210	16384	18328	0	716
-19.690	-24.847	16383	17798	0	716
-16.192	-23.621	16384	17552	0	716
-15.507	-22.683	16384	17356	0	716
-18.933	-23.693	16384	17081	0	716
-21.457	-24.414	16383	16688	0	716
-24.991	-22.611	16378	16247	0	716
-27.083	-24.053	16380	16011	0	716
-31.446	-27.263	16385	16326	0	716
-31.951	-32.023	16398	16963	0	716
-33.934	-31.807	16405	17385	1	316
-34.583	-32.672	16410	17435	0	316
-35.016	-31.915	16415	17346	0	316
-34.547	-30.040	16420	17218	0	316
-30.545	-30.436	16423	17061	0	316
-23.260	-29.066	16420	16816	0	316
-19.077	-27.984	16413	16316	0	316
-17.887	-22.935	16405	15540	0	316
-23.512	-19.618	16393	14773	0	316
-28.453	-19.293	16385	14145	0	316
-26.902	-14.785	16380	13663	0	316
-21.709	-13.127	16365	13241	0	316
-16.697	-12.261	16353	12809	0	316
-13.091	-10.350	16340	12445	0	316
-12.658	-12.946	16330	12288	0	316
-19.293	-16.264	16326	12357	0	316
-23.368	-19.221	16321	12642	0	316
-29.318	-25.712	16321	13035	0	316
-35.485	-29.571	16319	13516	0	316
-36.459	-32.961	16321	14076	0	316
-34.223	-34.259	16324	14646	0	316
-31.518	-34.836	16326	15088	0	316
-28.020	-31.951	16324	15324	0	316
-26.974	-28.741	16321	15481	0	316
-22.647	-24.883	16324	15697	0	316
-18.608	-24.053	16321	15942	0	316
-16.661	-25.532	16321	16041	0	316
-17.238	-29.030	16316	15982	0	316
-22.358	-32.131	16314	15952	0	316
-26.974	-31.771	16311	16100	0	316
-26.650	-28.669	16319	16393	0	316
-23.585	-25.929	16316	16698	0	316
-16.877	-22.142	16316	16826	0	316
-11.973	-20.159	16314	16786	0	316
-8.799	-17.923	16314	16727	0	316
-5.409	-15.362	16311	16747	0	316
-2.777	-16.877	16309	16737	0	316
-5.986	-20.447	16304	16492	0	316
-10.494	-26.145	16294	16080	0	316
-17.021	-28.705	16286	15736	0	316
-23.981	-27.010	16284	15579	0	316
-22.575	-22.431	16276	15500	0	316
-19.726	-18.464	16270	15333	0	316
-12.838	-17.454	16260	15029	0	316
-11.756	-25.063	16247	14665	0	316
-12.441	-29.715	16240	14381	0	316
-14.100	-33.429	16227	14184	0	316
