neuroNicle FX2
D3F25R12
Bluetooth SPP
2023년 11월 2일 목요일
오후 1:16
time interval = 4msec
EEG1	EEG2	PPG	sdPPG	pulse	peak_interval(msec)
-43.419	-60.656	15014	17767	0	684
-35.485	-51.605	15175	17613	0	684
-27.948	-39.199	15014	17459	0	684
-25.496	-27.876	15014	17273	0	684
-26.073	-22.827	14772	17064	0	684
-30.220	-30.292	14368	16842	0	684
-34.475	-45.907	13562	16538	0	684
-40.353	-60.404	12755	16158	0	684
-47.386	-65.164	11949	15817	0	684
-48.792	-55.788	11143	15568	0	684
-45.907	-37.541	10336	15395	0	684
-38.262	-24.847	9530	15246	0	684
-31.482	-25.388	8723	15069	0	684
-29.138	-36.964	7755	14919	0	684
-34.908	-46.448	7352	14865	0	684
-41.435	-47.782	6707	14901	0	684
-50.018	-42.697	6304	14983	0	684
-57.375	-38.550	5901	15069	0	684
-63.325	-45.078	5497	15187	0	684
-67.436	-60.296	5739	15395	0	684
-62.315	-74.865	5739	15663	0	684
-51.641	-76.884	6143	15908	0	684
-39.380	-65.056	5901	16067	0	684
-31.915	-47.818	6304	16189	0	684
-34.295	-38.045	6304	16335	0	684
-42.553	-35.918	6707	16529	0	684
-48.503	-42.553	7352	16765	0	684
-47.782	-50.126	7352	16951	0	684
-43.347	-50.739	7110	16892	0	684
-38.911	-52.506	6304	16597	0	684
-39.704	-55.608	5901	16339	0	684
-44.428	-65.669	5336	16235	0	684
-52.326	-76.271	4933	16180	0	684
-58.132	-78.651	4288	16117	0	684
-59.106	-70.826	4126	16067	0	684
-58.420	-51.605	3481	16044	0	684
-53.841	-33.357	3481	16067	0	684
-48.576	-25.784	3481	16208	0	684
-43.924	-34.006	3884	16397	0	684
-37.685	-49.693	3481	16447	0	684
-34.006	-66.859	2917	16271	0	684
-34.006	-70.393	2272	16003	0	684
-38.298	-61.810	1707	15904	0	684
-43.996	-45.546	1868	16035	0	684
-47.061	-31.554	1868	16217	0	684
-46.989	-30.761	1465	16294	0	684
-45.330	-42.084	1304	16248	0	684
-47.349	-60.981	497	16090	0	684
-50.703	-75.947	1	15699	0	684
-53.083	-76.271	1	15082	0	684
-51.244	-64.443	1	14465	0	684
-47.999	-49.333	1	14007	0	684
-46.845	-45.005	1	13735	0	684
-51.857	-53.949	1	13698	0	684
-57.735	-70.718	1	13875	0	684
-59.394	-83.628	1	14166	0	684
-56.437	-76.488	1	14456	0	684
-52.326	-57.266	1	14706	0	684
-52.687	-39.560	1	14901	0	684
-56.221	-35.269	1	15096	0	684
