neuroNicle FX2
D3F25R12
Bluetooth SPP
2023년 11월 23일 목요일
오후 4:55
time interval = 4msec
EEG1	EEG2	PPG	sdPPG	pulse	peak_interval(msec)
-61.882	-66.210	16832	4351	0	936
-68.626	-63.613	16777	3915	0	936
-73.530	-63.541	16722	3869	0	936
-69.816	-61.991	16685	4397	0	936
-60.115	-60.007	16659	5134	0	936
-44.861	-58.673	16622	5767	0	936
-31.626	-58.565	16593	6460	0	936
-26.974	-63.722	16586	7574	0	936
-31.194	-67.111	16611	9381	0	936
-39.416	-70.069	16648	11595	0	936
-48.828	-69.023	16659	13282	0	936
-52.038	-65.921	16678	14201	0	936
-52.074	-65.417	16659	14653	0	936
-55.608	-67.869	16641	14818	0	936
-60.043	-75.117	16611	14758	0	936
-66.354	-82.762	16593	14577	0	936
-69.131	-81.212	16549	14336	0	936
-65.489	-71.980	16512	14035	0	936
-56.149	-59.214	16475	13719	0	936
-43.455	-50.451	16439	13644	0	936
-37.288	-52.182	16446	14397	0	936
-37.396	-59.142	16464	15782	0	936
-42.697	-64.948	16483	16880	0	936
-52.651	-62.604	16483	17513	0	936
-59.214	-58.817	16501	17995	0	936
-61.594	-56.978	16494	18206	0	936
-60.692	-59.538	16483	18191	0	936
-55.788	-62.568	16483	18251	0	936
-47.962	-61.522	16483	18402	0	936
-40.029	-58.384	16475	18356	0	936
-33.790	-56.040	16457	18130	0	936
-32.889	-59.538	16457	17995	0	936
-36.891	-66.859	16446	17965	0	936
-44.176	-74.721	16439	17769	0	936
-51.929	-79.697	16420	17438	0	936
-58.384	-78.399	16409	17242	0	936
-61.702	-74.937	16420	17468	0	936
-58.096	-66.895	16457	18402	0	936
-52.723	-59.574	16531	20043	0	936
-41.796	-53.480	16611	22001	0	936
-34.006	-51.064	16696	23763	0	936
-30.364	-51.569	16740	24697	0	936
-29.895	-52.867	16795	24637	0	936
-32.239	-54.742	16814	24004	0	936
-36.062	-57.266	16806	23040	0	936
-38.947	-60.043	16795	21820	0	936
-42.625	-61.197	16770	20420	0	936
-45.402	-61.630	16751	18914	0	936
-43.960	-58.024	16722	17634	0	936
-42.842	-55.031	16722	17212	0	936
-37.360	-51.461	16751	17483	0	936
-32.997	-49.333	16751	17468	0	936
-29.571	-47.566	16733	16835	0	936
-26.902	-48.359	16722	15978	0	936
-28.561	-51.713	16696	15059	0	936
-33.970	-56.113	16659	14201	0	936
-40.714	-58.024	16630	13538	0	936
-42.301	-52.254	16604	13071	0	936
-34.944	-37.829	16575	12529	0	936
-19.221	-21.890	16531	11912	0	936
-5.301	-13.127	16531	11791	0	936
0.288	-17.634	16549	12830	0	936
-5.734	-30.112	16593	14472	0	936
-17.743	-41.580	16611	15511	0	936
-27.443	-42.625	16622	15722	0	936
-30.472	-36.855	16604	15541	0	936
-31.230	-31.590	16586	15195	0	936
-33.393	-33.502	16556	14668	0	936
-37.901	-41.688	16531	14050	0	936
-43.743	-48.612	16494	13357	0	936
-49.261	-50.920	16446	12680	0	936
-50.667	-49.910	16409	12062	0	936
-46.736	-50.162	16348	11505	0	936
-40.029	-54.706	16311	11023	0	936
-34.151	-57.375	16256	10601	0	936
-30.653	-58.276	16212	10270	0	936
-30.869	-56.221	16164	10074	0	936
-35.449	-56.473	16127	10210	0	936
-38.082	-60.873	16090	10616	0	936
-40.714	-66.859	16065	10993	0	936
-42.012	-69.167	16046	11339	0	936
-41.796	-64.082	16028	11927	0	936
-41.255	-53.155	16035	13011	0	936
-38.839	-44.537	16083	14848	0	936
-35.016	-43.996	16138	17152	0	936
-34.836	-53.300	16193	19200	0	936
-36.206	-65.813	16237	20615	0	936
-39.452	-76.091	16274	21459	0	936
-44.140	-79.084	16293	21805	0	936
-47.097	-76.127	16311	21820	0	936
-47.169	-68.518	16329	21624	0	936
-43.924	-61.486	16322	21203	0	936
-37.288	-56.545	16311	20585	0	936
-29.571	-55.175	16293	19847	0	936
-25.604	-57.952	16267	19034	0	936
-25.063	-61.089	16248	18191	0	936
-31.626	-64.731	16219	17377	0	936
-38.767	-66.318	16193	16624	0	936
-46.051	-66.643	16164	15933	0	936
-45.330	-66.715	16127	15270	0	936
-39.524	-63.577	16090	14668	0	936
-29.679	-58.132	16072	14246	0	936
-20.880	-53.047	16054	14171	0	936
-21.132	-52.398	16046	14397	0	936
-28.814	-56.473	16035	14577	0	936
-41.147	-64.046	16028	14698	0	936
-52.903	-69.023	16017	14984	0	936
-59.394	-71.042	16028	15421	0	936
-60.909	-69.780	16028	15737	0	936
-56.185	-66.534	16017	15918	0	936
-44.284	-62.315	16028	16279	0	936
-30.905	-58.132	16054	16760	0	936
-21.132	-56.798	16046	17106	0	936
-20.267	-57.627	16046	17227	0	936
-29.427	-61.702	16054	17242	0	936
-38.406	-64.154	16035	17167	0	936
-43.058	-64.695	16035	17031	0	936
-39.704	-63.469	16028	16850	0	936
-36.964	-63.217	16009	16624	0	936
-42.157	-64.948	15998	16354	0	936
-53.228	-64.912	15998	16098	0	936
-62.676	-62.459	15962	15903	0	936
-64.190	-55.067	15962	15707	0	936
-52.578	-49.405	15943	15556	0	936
-35.521	-49.080	15936	15481	0	936
-23.152	-55.067	15925	15481	0	936
-21.673	-63.361	15918	15541	0	936
-27.083	-65.633	15907	15601	0	936
-34.872	-60.043	15888	15662	0	936
-37.829	-47.638	15899	15707	0	936
-34.872	-39.668	15888	15872	0	936
-32.744	-40.642	15907	16324	0	936
-38.983	-50.595	15918	16986	0	936
-49.333	-65.994	15943	17528	0	936
-58.673	-75.694	15954	17920	0	936
-62.027	-78.255	15980	18417	0	936
-54.093	-71.547	16009	18974	0	936
-41.652	-58.781	16017	19320	0	936
-32.492	-46.376	16046	19501	0	936
-31.771	-41.543	16072	19757	0	936
-39.632	-42.842	16101	20118	0	936
-47.205	-51.208	16120	20254	0	936
-50.162	-57.952	16138	20103	0	936
-46.628	-60.115	16157	19817	0	936
-39.416	-56.978	16146	19426	0	936
-37.180	-55.499	16157	18959	0	936
-44.392	-59.286	16146	18477	0	936
-51.208	-64.840	16157	18010	0	936
-53.949	-67.472	16146	17543	0	936
-48.792	-63.758	16127	17076	0	936
-36.639	-52.687	16127	16640	0	936
-28.020	-43.527	16127	16249	0	936
-28.345	-38.731	16120	15918	0	936
-36.170	-42.734	16101	15616	0	936
-44.753	-47.458	16101	15345	0	936
-47.422	-51.461	16101	15195	0	936
-40.534	-51.965	16101	15330	0	936
-31.013	-49.441	16109	15692	0	936
-25.388	-45.871	16120	15963	0	936
-30.400	-41.940	16146	16128	0	936
-36.387	-37.865	16146	16429	0	936
-41.940	-34.547	16164	16850	0	936
-39.885	-34.115	16182	17091	0	936
-33.754	-37.829	16193	17212	0	936
-27.804	-42.265	16237	17513	0	936
-25.388	-42.265	16248	17950	0	936
-26.830	-37.288	16267	18206	0	936
-32.564	-32.528	16274	18191	0	936
-35.629	-32.816	16293	18010	0	936
-40.462	-39.560	16293	17754	0	936
-41.183	-50.487	16293	17423	0	936
-39.416	-55.067	16285	17031	0	936
-38.118	-51.028	16274	16609	0	936
-36.747	-42.950	16285	16219	0	936
-35.882	-39.272	16267	15842	0	936
-32.131	-41.507	16256	15466	0	936
-26.289	-47.241	16237	15119	0	936
-24.919	-51.497	16219	14803	0	936
-24.450	-51.965	16219	14532	0	936
-30.112	-50.703	16201	14261	0	936
-35.810	-50.847	16193	14095	0	936
-39.957	-52.759	16193	14216	0	936
-40.642	-53.660	16193	14547	0	936
-40.029	-50.379	16193	14818	0	936
-39.344	-47.494	16193	14969	0	936
-40.353	-44.356	16201	15150	0	936
-40.065	-44.140	16212	15541	0	936
-39.704	-44.248	16219	16038	0	936
-37.829	-43.707	16230	16459	0	936
-36.314	-41.399	16267	17016	0	936
-36.747	-37.721	16304	17890	0	936
-40.822	-37.108	16340	18763	0	936
-46.592	-36.242	16366	19200	0	936
-50.487	-34.944	16384	19365	0	936
-45.618	-30.292	16420	19576	0	936
-33.177	-21.890	16446	19847	0	936
-17.202	-15.290	16464	19862	0	936
-7.681	-14.641	16475	19561	0	936
-10.206	-20.808	16483	19109	0	936
-20.627	-27.479	16475	18552	0	936
-29.138	-31.013	16464	17920	0	936
-31.230	-29.282	16457	17242	1	864
-24.414	-26.145	16439	16549	0	864
-22.214	-27.768	16446	16204	0	864
-24.486	-32.203	16475	16715	0	864
-30.292	-33.538	16531	17874	0	864
-31.230	-30.869	16556	18627	0	864
-25.279	-24.919	16586	18703	0	864
-16.120	-21.421	16622	18763	0	864
-10.855	-25.424	16678	19606	0	864
-13.631	-35.233	16759	21158	0	864
-19.942	-45.618	16832	22347	0	864
-26.830	-50.667	16869	22588	0	864
-27.371	-49.693	16917	22227	0	864
-24.847	-42.986	16935	21760	0	864
-20.736	-34.656	16961	21203	0	864
-16.733	-28.705	16961	20314	0	864
-16.805	-23.765	16961	19200	0	864
-17.887	-25.135	16961	18176	0	864
-19.582	-27.407	16935	17272	0	864
-22.034	-32.564	16924	16249	0	864
-26.361	-38.911	16887	15044	0	864
-27.804	-44.392	16861	13839	0	864
-30.148	-47.349	16825	12680	0	864
-31.879	-47.313	16777	11565	0	864
-30.761	-44.428	16740	10571	0	864
-32.276	-41.688	16685	9728	0	864
-35.413	-40.606	16630	9005	0	864
-41.760	-42.625	16586	8388	0	864
-43.996	-41.940	16538	7891	0	864
-43.599	-40.065	16475	7514	0	864
-39.885	-33.898	16428	7273	0	864
-34.764	-30.400	16384	7183	0	864
-36.459	-28.922	16340	7198	0	864
-38.695	-31.049	16293	7394	0	864
-41.291	-32.384	16267	7891	0	864
-38.875	-31.843	16248	8674	0	864
-33.970	-32.167	16237	9728	0	864
-31.699	-33.466	16274	11565	0	864
-35.954	-36.783	16340	14246	0	864
-42.625	-35.449	16391	16655	0	864
-48.035	-31.302	16439	18161	0	864
-47.818	-26.974	16464	19124	0	864
-45.330	-26.217	16501	19953	0	864
-41.183	-31.735	16531	20661	0	864
-41.507	-37.577	16549	20992	0	864
-40.173	-37.685	16549	20917	0	864
-37.973	-31.194	16549	20540	0	864
-34.043	-24.594	16538	19983	0	864
-32.167	-24.955	16538	19591	0	864
-33.718	-33.141	16586	20013	0	864
-38.190	-44.464	16630	21052	0	864
-41.688	-49.982	16648	21624	0	864
-41.904	-48.576	16667	21414	0	864
-39.019	-41.291	16678	20871	0	864
-36.567	-33.429	16678	20164	0	864
-35.593	-29.138	16659	19305	0	864
-37.468	-30.905	16630	18326	0	864
-40.498	-33.213	16604	17302	0	864
-41.976	-35.665	16586	16384	0	864
-41.039	-34.872	16556	15737	0	864
-38.442	-30.220	16549	15330	0	864
-32.564	-23.260	16512	14878	0	864
-27.696	-16.733	16494	14381	0	864
-19.257	-10.458	16483	14171	0	864
-7.898	-2.236	16494	14381	0	864
3.895	5.193	16512	14984	0	864
13.595	12.658	16567	16234	0	864
20.195	16.336	16622	18070	0	864
21.962	15.290	16667	19546	0	864
21.349	10.458	16714	20088	0	864
22.358	7.681	16759	20284	0	864
27.948	6.239	16806	20992	0	864
