neuroNicle FX2
D3F25R12
Bluetooth SPP
2023년 11월 17일 금요일
오전 10:42
time interval = 4msec
EEG1	EEG2	PPG	sdPPG	pulse	peak_interval(msec)
-28.633	-27.696	16382	18213	0	540
-25.352	-21.745	16382	19432	0	540
-20.375	-17.202	16383	20225	0	540
-16.661	-12.261	16384	21444	0	540
-17.995	-15.182	16384	22908	0	540
-21.457	-19.582	16384	23823	0	540
-27.407	-26.506	16384	23944	0	540
-31.013	-28.453	16385	23579	0	540
-30.004	-27.660	16385	22969	0	540
-26.578	-25.388	16385	22176	0	540
-24.270	-23.837	16385	21262	0	540
-22.503	-23.296	16385	20225	0	540
-21.168	-23.476	16384	19127	0	540
-21.637	-23.008	16384	18030	0	540
-19.618	-19.041	16384	16932	0	540
-17.238	-18.283	16384	15836	0	540
-16.661	-16.985	16384	14738	0	540
-15.435	-17.490	16384	13945	0	540
-11.973	-14.677	16384	13458	0	540
-10.891	-12.514	16383	13275	0	540
-10.278	-10.422	16384	13702	0	540
-10.855	-11.648	16384	14616	0	540
-14.281	-15.002	16384	15470	0	540
-14.966	-17.310	16384	16141	0	540
-14.605	-18.103	16384	17420	0	540
-12.189	-13.559	16385	19676	0	540
-8.475	-9.989	16386	21871	0	540
-6.239	-6.311	16388	23274	0	540
-3.931	-4.796	16388	24310	0	540
-3.462	-3.426	16390	25164	0	540
-5.049	-4.472	16390	25225	0	540
-7.248	-5.409	16391	24371	0	540
-9.160	-2.777	16391	23091	0	540
-8.727	-0.325	16391	21688	0	540
-9.376	1.767	16390	20164	0	540
-13.415	2.272	16390	18579	0	540
-18.572	-1.010	16390	16993	0	540
-25.640	-4.400	16389	15470	1	316
-29.210	-4.291	16389	13945	0	316
-29.318	0.865	16388	12543	0	316
-26.722	7.609	16387	11202	0	316
-24.594	16.877	16387	9921	0	316
-24.450	22.972	16385	8884	0	316
-23.981	30.256	16385	8031	0	316
-22.142	37.685	16384	7238	0	316
-20.591	46.232	16384	6567	0	316
-13.127	53.805	16384	6141	0	316
-8.366	60.728	16383	5897	0	316
-7.573	65.308	16382	6019	0	316
-11.468	73.098	16382	6933	0	316
-21.673	83.375	16382	8458	0	316
-26.109	94.519	16382	9616	0	316
-18.572	100.433	16382	10531	0	316
0.613	94.122	16382	11933	0	316
20.014	77.642	16383	13763	0	316
27.047	54.598	16383	15165	0	316
21.168	42.157	16383	16019	0	316
18.933	48.612	16383	16932	0	316
32.456	75.117	16384	18030	0	316
65.380	110.674	16384	18701	0	316
101.442	141.904	16384	18884	0	316
131.626	167.688	16384	18701	0	316
147.999	205.229	16384	18396	0	316
164.515	262.135	16383	17908	0	316
179.986	335.990	16383	17481	0	316
195.312	406.924	16383	16993	0	316
200.000	459.863	16383	16566	0	316
196.358	498.954	16383	16141	0	316
186.837	541.219	16382	15836	0	316
181.320	590.804	16382	15531	0	316
180.130	590.804	16381	15165	0	316
189.722	590.804	16381	14799	0	316
205.734	590.804	16380	14372	0	316
225.316	590.804	16380	14189	0	316
243.022	590.804	16380	14738	0	316
251.461	590.804	16380	15836	0	316
253.877	590.804	16381	16688	0	316
249.730	590.804	16381	17603	0	316
232.528	586.477	16382	19127	0	316
199.098	525.676	16383	21018	0	316
149.153	466.967	16384	22603	0	316
92.932	412.009	16384	23579	0	316
45.582	361.666	16384	24554	0	316
12.658	314.930	16385	25530	0	316
-14.966	266.967	16386	25896	0	316
-46.195	220.159	16386	25530	0	316
-86.260	176.055	16386	24737	0	316
-123.440	136.062	16387	23762	0	316
-152.074	95.420	16387	22603	0	316
-167.797	54.959	16387	21323	0	316
-174.180	8.006	16386	19981	0	316
-179.589	-35.305	16386	18579	0	316
-183.880	-70.465	16385	17176	0	316
-185.251	-96.646	16385	15775	0	316
-182.510	-111.504	16384	14311	0	316
-175.658	-119.618	16384	12909	0	316
-167.688	-127.732	16384	11689	0	316
-161.630	-133.862	16384	10714	0	316
-154.454	-138.082	16383	9982	0	316
-144.104	-137.901	16383	9555	0	316
-132.636	-135.052	16382	9250	0	316
-119.257	-132.167	16382	9189	0	316
-108.475	-132.961	16382	9311	0	316
-103.859	-133.826	16381	9677	0	316
-100.541	-135.413	16381	10653	0	316
-98.990	-135.052	16382	12116	0	316
-95.564	-133.898	16382	13519	0	316
-92.715	-131.987	16382	14921	0	316
-90.011	-130.833	16383	16566	0	316
-90.011	-129.427	16383	17908	0	316
-87.090	-127.335	16384	18640	0	316
-83.375	-119.401	16384	18944	0	316
-72.773	-113.163	16384	19066	0	316
-63.613	-105.085	16384	19066	0	316
-56.149	-97.512	16384	18884	0	316
-53.444	-96.069	16384	18640	0	316
-52.723	-93.437	16384	18396	1	316
-54.778	-94.627	16384	18091	0	316
-52.470	-92.679	16384	17847	0	316
-51.028	-88.821	16384	17420	0	316
-46.736	-87.234	16384	16932	0	316
-42.842	-84.962	16384	16324	0	316
-40.029	-81.212	16384	15592	0	316
-38.695	-78.976	16383	14860	0	316
-38.550	-76.632	16383	14189	0	316
-38.586	-73.206	16382	13580	0	316
-36.891	-69.996	16382	13031	0	316
-33.033	-66.643	16381	12909	0	316
-29.210	-61.991	16381	13519	0	316
-27.876	-59.322	16382	14677	0	316
-24.630	-53.732	16382	15653	0	316
-20.844	-51.821	16382	16384	0	316
-15.435	-45.943	16383	17847	0	316
-6.239	-40.353	16384	20286	0	316
1.803	-34.656	16384	22664	0	316
6.203	-30.725	16385	24066	0	316
7.609	-29.679	16386	25103	0	316
3.750	-30.328	16388	26079	0	316
-2.128	-34.944	16388	26323	0	316
-8.366	-39.452	16389	25774	0	316
-12.225	-41.183	16389	24798	0	316
-11.864	-42.084	16390	23579	0	316
-12.117	-39.957	16389	22115	0	316
-10.350	-37.324	16389	20469	0	316
-8.186	-33.898	16389	18823	0	316
-9.484	-30.869	16388	17237	0	316
-10.891	-29.318	16388	15714	0	316
-9.917	-28.381	16387	14250	0	316
-8.150	-27.479	16386	13031	0	316
-3.173	-26.289	16386	11811	0	316
3.498	-22.178	16385	10531	0	316
7.140	-19.041	16384	9311	0	316
9.412	-15.867	16384	8519	0	316
10.710	-15.038	16384	8641	0	316
11.900	-14.389	16384	9494	0	316
15.939	-9.232	16384	10165	0	316
18.139	-2.957	16384	10592	0	316
24.053	5.193	16384	11628	0	316
29.246	12.730	16384	13824	0	316
32.961	15.002	16385	16202	0	316
32.600	12.802	16386	17786	0	316
27.335	9.376	16387	19188	0	316
22.539	4.904	16387	20530	0	316
18.067	5.121	16388	21262	0	316
19.329	6.203	16388	21201	0	316
17.743	9.052	16388	20774	0	316
16.084	7.537	16388	19981	0	316
10.386	2.705	16388	18944	0	316
10.350	-4.003	16388	17786	0	316
14.064	-7.681	16387	16566	0	316
17.887	-9.088	16386	15226	0	316
21.565	-7.573	16386	13945	0	316
19.149	-6.383	16385	12787	0	316
14.569	-6.347	16384	11811	0	316
13.992	-8.222	16384	11019	0	316
18.897	-8.330	16384	10409	0	316
21.313	-10.927	16384	9982	0	316
19.329	-13.631	16384	9860	0	316
10.206	-15.687	16383	10287	0	316
0.649	-19.870	16383	11202	0	316
-5.229	-19.473	16383	11933	0	316
-4.724	-20.447	16383	12360	0	316
-1.406	-20.627	16383	13214	0	316
0.433	-18.067	16383	14555	0	316
1.082	-16.120	16384	15592	0	316
2.524	-11.107	16384	16263	0	316
8.799	-8.366	16384	17237	0	316
15.615	-8.799	16384	18396	0	316
16.336	-11.612	16384	19127	0	316
12.009	-14.317	16384	19310	0	316
1.875	-21.241	16384	19249	0	316
-8.114	-24.162	16384	18762	0	316
-10.242	-27.155	16384	17969	0	316
-12.261	-29.246	16384	17176	0	316
-10.494	-30.148	16384	16384	0	316
-10.819	-28.525	16384	15836	1	316
-11.287	-27.912	16384	15348	0	316
-12.225	-28.164	16383	14982	0	316
-10.783	-28.525	16383	14555	0	316
-13.848	-30.220	16382	14006	0	316
-20.627	-33.826	16382	13458	0	316
-25.388	-36.639	16381	12909	0	316
-27.768	-37.144	16380	12543	0	316
-26.614	-36.242	16380	12299	0	316
-23.909	-33.934	16379	12116	0	316
-20.591	-33.466	16380	12055	0	316
-20.483	-34.043	16379	12238	0	316
-20.916	-34.367	16379	13214	0	316
-18.103	-35.088	16379	14738	0	316
-15.903	-31.987	16379	16080	0	316
-12.946	-29.535	16380	17054	0	316
-12.369	-26.722	16381	18457	0	316
-18.211	-27.371	16381	20103	0	316
-24.342	-29.210	16382	21140	0	316
-31.158	-31.735	16382	21688	0	316
-34.043	-29.607	16383	22603	0	316
-32.348	-27.083	16384	23884	0	316
-28.345	-24.558	16384	24676	0	316
-26.433	-25.965	16384	24615	0	316
-24.234	-29.571	16384	24127	0	316
-20.808	-31.771	16384	23457	0	316
-16.625	-30.581	16384	22481	0	316
-10.206	-24.162	16384	21323	0	316
-4.147	-17.959	16384	20103	0	316
0.216	-12.550	16384	18884	0	316
4.760	-9.088	16384	17847	0	316
7.573	-8.907	16384	16932	0	316
6.491	-11.143	16384	16202	0	316
5.698	-13.127	16384	15531	0	316
4.400	-16.697	16384	14982	0	316
3.714	-14.497	16384	14555	0	316
7.537	-13.956	16384	14433	0	316
12.045	-14.317	16384	15043	0	316
14.281	-14.533	16384	16080	0	316
