neuroNicle FX2
D3F25R12
Bluetooth SPP
2023년 11월 5일 일요일
오후 7:09
time interval = 4msec
EEG1	EEG2	PPG	sdPPG	pulse	peak_interval(msec)
-73.855	-63.758	1	15310	0	844
-74.144	-65.885	1	15434	0	844
-74.901	-71.799	1	15598	0	844
-77.533	-80.130	1	15860	0	844
-81.717	-86.873	1	16139	0	844
-91.561	-90.083	1	16337	0	844
-100.433	-91.309	1	16422	0	844
-106.419	-93.833	1	16324	0	844
-107.357	-93.833	1	16006	0	844
-103.354	-97.079	1	15675	0	844
-100.613	-99.171	1	15473	0	844
-100.144	-100.721	1	15374	0	844
-101.947	-99.207	1	15335	0	844
-103.462	-95.420	1	15323	0	844
-101.479	-88.821	1	15323	0	844
-95.528	-78.687	1	15361	0	844
-87.090	-73.278	1	15460	0	844
-79.481	-68.482	1	15550	0	844
-65.885	-66.390	1	15520	0	844
-52.687	-62.063	1	15404	0	844
-40.642	-54.814	1	15357	0	844
-36.711	-50.956	1	15439	0	844
-42.697	-47.926	1	15619	0	844
-51.208	-47.494	1	15791	0	844
-59.250	-50.739	1	15881	0	844
-57.699	-47.277	1	15942	0	844
-51.136	-44.140	1	16032	0	844
-47.025	-37.721	1	16170	0	844
-46.376	-33.898	1	16311	0	844
-44.428	-32.420	1	16396	0	844
-40.389	-32.131	1	16478	0	844
-35.052	-32.239	1	16620	0	844
-25.784	-28.633	1	16818	0	844
-21.493	-22.791	1	16985	0	844
-21.168	-16.516	1	17033	0	844
-20.267	-10.602	1	16917	0	844
-19.473	-8.006	1	16745	0	844
-15.326	-6.275	1	16697	0	844
-12.081	-5.229	1	16766	0	844
-10.927	-4.508	1	16809	0	844
-15.759	-7.032	1	16822	0	844
-22.322	-9.376	1	16831	0	844
-28.056	-11.648	1	16813	0	844
-26.830	-9.304	1	16779	0	844
-15.146	-4.904	1	16792	0	844
-4.255	0.469	1	16869	0	844
4.544	2.524	1	16904	0	844
7.068	2.741	1	16835	0	844
2.993	3.137	1	16684	0	844
-1.839	6.744	1	16538	0	844
-2.164	11.287	1	16414	0	844
2.019	15.795	1	16294	0	844
9.052	18.608	1	16139	0	844
17.021	20.375	1	15955	0	844
27.840	23.152	1	15770	0	844
34.872	26.758	1	15628	0	844
36.314	27.876	1	15581	0	844
32.816	25.568	1	15555	0	844
26.073	22.935	1	15469	0	844
20.267	24.234	1	15391	0	844
22.611	26.722	1	15374	0	844
27.624	31.807	1	15391	0	844
31.194	36.314	1	15409	0	844
30.941	34.764	1	15409	0	844
26.433	31.554	1	15430	0	844
22.539	28.705	1	15512	0	844
18.752	27.047	1	15684	0	844
18.572	21.132	1	15924	0	844
13.415	15.615	1	16144	0	844
8.763	7.104	1	16329	0	844
2.633	-0.865	1	16491	0	844
-3.065	-5.914	1	16667	0	844
-8.655	-9.268	1	16839	0	844
-15.362	-12.477	1	16938	0	844
-21.096	-15.867	1	16968	0	844
-28.273	-24.414	1	16985	0	844
-34.223	-28.958	1	17020	0	844
-38.009	-31.915	1	17003	0	844
-37.757	-30.905	1	16702	0	844
-37.252	-29.787	1	16075	0	844
-34.583	-30.292	1	15383	0	844
-30.869	-34.764	1	14811	0	844
-30.689	-39.344	1	14355	0	844
-30.292	-42.373	1	14041	0	844
-31.482	-39.380	1	13874	0	844
-33.718	-36.242	1	13732	0	844
-35.701	-33.249	1	13491	0	844
-35.197	-33.357	1	13225	0	844
-32.095	-35.485	1	13177	0	844
-26.686	-36.459	1	13405	0	844
-21.818	-37.000	1	13659	0	844
-19.473	-32.456	1	13775	0	844
-21.854	-26.325	1	13869	0	844
-24.558	-23.621	1	14140	0	844
-27.768	-21.673	1	14570	0	844
-29.859	-23.404	1	15035	0	844
-29.607	-24.017	1	15503	0	844
-25.352	-21.132	1	15972	0	844
-17.851	-12.946	1	16401	0	844
-10.999	-5.049	1	16835	0	844
-1.370	3.029	1	17316	0	844
5.626	8.330	1	17811	0	844
8.655	11.540	1	18219	0	844
10.783	11.864	1	18460	0	844
12.694	13.595	1	18421	0	844
12.045	14.208	1	18215	0	844
11.648	12.946	1	18090	0	844
13.163	15.615	1	18082	0	844
15.398	17.418	1	18077	0	844
22.899	25.063	1	18103	0	844
32.889	33.466	1	18168	0	844
45.366	45.907	1	18215	0	844
60.115	57.807	1	18176	0	844
70.970	70.573	1	18073	0	844
81.248	85.611	1	17927	0	844
92.355	97.331	1	17665	0	844
100.865	108.655	1	17295	0	844
109.701	116.264	1	16981	0	844
117.526	124.811	1	16783	0	844
126.109	134.043	1	16663	0	844
124.666	142.842	1	16598	0	844
120.952	147.458	1	16551	0	844
112.369	144.501	1	16487	0	844
102.957	139.380	1	16409	0	844
94.987	132.492	1	16342	0	844
87.883	127.083	1	16238	0	844
75.153	116.336	1	16092	0	844
57.843	103.823	1	16023	0	844
38.262	85.034	1	16084	0	844
22.611	68.987	1	16191	0	844
15.398	59.214	1	16281	0	844
11.504	56.473	1	16316	0	844
8.871	57.483	1	16307	0	844
4.940	52.759	1	16324	0	844
-2.019	43.563	1	16426	0	844
-10.169	27.443	1	16586	0	844
-18.031	12.153	1	16646	0	844
-23.080	-0.433	1	16474	0	844
-30.436	-6.599	1	16157	0	844
-35.737	-10.494	1	15950	0	844
-40.317	-16.805	1	15916	0	844
-41.652	-23.729	1	15912	0	844
-43.491	-30.184	1	15847	0	844
-47.349	-34.403	1	15649	0	844
-50.667	-36.855	1	15374	0	844
-53.913	-35.737	1	15202	0	844
-53.985	-35.954	1	15194	0	844
-46.051	-34.836	1	15323	0	844
-38.045	-34.728	1	15538	0	844
-33.502	-33.502	1	15718	0	844
-33.970	-35.449	1	15783	0	844
-41.976	-42.084	1	15748	0	844
-51.424	-51.316	1	15705	0	844
-57.663	-58.493	1	15821	0	844
-57.303	-59.322	1	16075	0	844
-50.343	-52.759	1	16350	0	844
-38.839	-40.426	1	16680	0	844
-29.679	-29.030	1	17106	0	844
-24.739	-23.693	1	17596	0	844
-25.207	-23.693	1	18090	0	844
-24.775	-24.450	1	18546	0	844
-24.594	-25.604	1	19015	0	844
-22.972	-25.171	1	19505	0	844
-21.096	-20.447	1	19948	0	844
-21.132	-17.815	1	20322	0	844
-17.598	-16.156	1	20592	0	844
-14.821	-14.930	1	20786	0	844
-8.583	-13.199	1	20902	0	844
-6.347	-14.172	1	20885	0	844
-5.590	-12.369	1	20734	0	844
-6.203	-9.665	1	20532	0	844
-4.111	-8.150	1	20210	0	844
-2.777	-8.042	1	19758	1	896
-2.957	-8.871	1	19380	0	896
-3.606	-8.907	1	19139	0	896
-0.865	-6.671	1	18924	0	896
6.888	2.849	1	18718	0	896
16.733	11.107	1	18542	0	896
20.700	17.598	1	18391	0	896
17.238	16.048	1	18224	0	896
6.563	12.477	1	18043	0	896
3.678	11.323	1	17871	0	896
10.638	13.559	1	17703	0	896
23.224	21.204	1	17518	0	896
38.226	26.650	1	17334	0	896
42.661	26.397	1	17183	0	896
36.495	23.801	1	17101	0	896
24.666	15.146	1	17089	0	896
15.939	11.900	1	17067	0	896
11.035	9.917	1	16994	0	896
14.064	11.107	1	16964	0	896
19.582	13.631	1	16998	0	896
20.555	11.937	1	17041	0	896
18.824	10.242	1	17028	0	896
13.343	9.376	1	16917	0	896
12.441	10.350	1	16736	0	896
10.097	12.874	1	16568	0	896
10.783	17.202	1	16452	0	896
8.799	17.490	1	16320	0	896
3.534	18.392	1	16096	0	896
-0.144	16.228	1	15838	0	896
1.298	11.756	1	15606	0	896
5.662	5.590	1	15439	0	896
11.648	1.803	1	15314	0	896
15.651	1.875	1	15159	0	896
14.533	4.291	1	14970	0	896
10.783	5.481	1	14811	0	896
3.787	3.210	1	14695	0	896
-2.416	-2.524	1	14579	0	896
-6.491	-6.131	1	14415	0	896
-6.239	-5.337	1	14166	0	896
-4.508	-0.829	1	13801	0	896
-3.534	0.757	1	13366	0	896
-9.340	-4.111	1	12958	0	896
-19.582	-14.749	1	12661	0	896
-33.213	-26.073	1	12511	0	896
-42.012	-35.629	1	12472	0	896
-46.484	-38.803	1	12502	0	896
-47.241	-38.009	1	12614	0	896
-48.828	-34.692	1	12894	0	896
-49.153	-32.312	1	13332	0	896
-49.189	-31.699	1	13788	0	896
-48.179	-35.160	1	14123	0	896
-43.202	-40.281	1	14321	0	896
-37.973	-45.763	1	14501	0	896
-32.672	-43.563	1	14755	0	896
-28.525	-37.108	1	15060	0	896
-26.217	-29.715	1	15344	0	896
-26.037	-24.955	1	15581	0	896
-28.633	-26.001	1	15727	0	896
-31.735	-28.525	1	15679	0	896
-37.721	-32.853	1	15495	0	896
-41.327	-36.855	1	15413	0	896
-43.166	-37.613	1	15464	0	896
-38.009	-37.036	1	15538	0	896
-28.164	-31.879	1	15649	0	896
-16.949	-24.414	1	15869	0	896
-10.746	-20.880	1	16152	0	896
-7.573	-18.031	1	16333	0	896
-9.989	-20.627	1	16281	0	896
-8.475	-19.798	1	16114	0	896
-4.977	-19.005	1	16075	0	896
-3.065	-15.651	1	16200	0	896
-5.229	-16.156	1	16342	0	896
-11.179	-16.444	1	16439	0	896
-17.634	-17.021	1	16487	0	896
-18.788	-15.074	1	16431	0	896
-17.418	-12.838	1	16307	0	896
-10.530	-7.248	1	16230	0	896
-8.366	-2.813	1	16247	0	896
-4.400	0.108	1	16281	0	896
0.793	1.911	1	16256	0	896
9.592	4.832	1	16221	0	896
18.752	7.429	1	16354	0	896
25.532	9.232	1	16646	0	896
27.191	13.343	1	16942	0	896
23.549	17.021	1	17132	0	896
19.401	19.005	1	17205	0	896
20.772	25.279	1	17226	0	896
25.279	31.590	1	17265	0	896
35.088	40.858	1	17334	0	896
44.861	48.251	1	17351	0	896
51.857	49.874	1	17278	0	896
52.001	47.926	1	17205	0	896
47.313	41.904	1	17196	0	896
41.471	37.144	1	17252	0	896
34.728	37.252	1	17338	0	896
29.751	36.639	1	17381	0	896
27.660	33.862	1	17390	0	896
24.414	27.696	1	17390	0	896
21.962	23.621	1	17402	0	896
23.044	21.673	1	17402	0	896
23.657	21.457	1	17347	0	896
24.053	23.116	1	17230	0	896
24.847	20.555	1	17093	0	896
21.529	18.247	1	16925	0	896
20.808	18.824	1	16770	0	896
23.116	19.401	1	16723	0	896
20.700	20.195	1	16766	0	896
18.320	14.136	1	16740	0	896
12.297	8.763	1	16590	0	896
9.845	8.763	1	16409	0	896
11.756	15.002	1	16367	0	896
18.211	25.640	1	16422	0	896
23.945	33.466	1	16388	0	896
22.755	33.393	1	16122	0	896
16.048	27.010	1	15705	0	896
10.819	22.863	1	15280	0	896
10.169	21.132	1	14931	0	896
12.658	21.096	1	14656	0	896
18.247	22.611	1	14377	0	896
18.752	20.664	1	14024	0	896
14.894	18.536	1	13728	0	896
6.708	13.054	1	13586	0	896
-0.361	8.871	1	13517	0	896
-2.633	6.744	1	13474	0	896
0.000	9.268	1	13452	0	896
7.321	14.461	1	13474	0	896
13.559	22.755	1	13483	0	896
15.615	25.279	1	13379	0	896
11.396	21.565	1	13164	0	896
3.065	15.939	1	12842	0	896
-2.849	7.717	1	12348	0	896
-6.022	1.731	1	11840	0	896
-6.022	1.442	1	11591	0	896
-1.839	4.436	1	11660	0	896
0.216	7.573	1	12012	0	896
-0.577	7.753	1	12627	0	896
-1.947	5.770	1	13375	0	896
-1.551	4.508	1	14162	0	896
1.118	6.491	1	14970	0	896
8.619	14.100	1	15787	0	896
14.713	18.824	1	16590	0	896
18.464	19.726	1	17364	0	896
11.504	11.720	1	18060	0	896
4.219	3.246	1	18666	0	896
-2.849	-0.288	1	19182	0	896
-6.058	-0.577	1	19638	0	896
-4.183	3.823	1	20059	0	896
-1.695	7.285	1	20403	0	896
-0.829	6.311	1	20644	0	896
-2.669	3.895	1	20876	0	896
-2.416	1.515	1	21130	0	896
-1.190	2.128	1	21293	0	896
2.596	5.662	1	21293	0	896
2.741	8.150	1	21164	0	896
4.111	10.710	1	21014	0	896
3.101	10.097	1	20893	0	896
3.967	8.294	1	20764	0	896
4.580	8.619	1	20575	1	628
8.871	13.631	1	20304	0	628
13.379	18.211	1	19986	0	628
19.113	27.551	1	19664	0	628
35.377	39.993	1	19363	0	628
56.473	58.601	1	19096	0	628
81.212	76.163	1	18791	0	628
100.252	97.764	1	18417	0	628
111.973	110.350	1	18034	0	628
117.382	118.860	1	17716	0	628
124.450	126.650	1	17454	0	628
137.901	137.144	1	17230	0	628
153.588	149.225	1	17037	0	628
166.138	156.798	1	16818	0	628
168.301	162.459	1	16517	0	628
166.534	161.197	1	16174	0	628
167.688	162.892	1	15847	0	628
171.403	163.541	1	15568	0	628
175.514	165.417	1	15310	0	628
178.327	166.210	1	15056	0	628
177.642	162.928	1	14871	0	628
174.360	159.322	1	14871	0	628
174.612	158.637	1	15060	0	628
173.134	158.204	1	15288	0	628
167.472	154.778	1	15421	0	628
159.755	151.352	1	15452	0	628
150.739	142.084	1	15477	0	628
144.176	130.797	1	15585	0	628
140.714	125.388	1	15774	0	628
140.462	124.089	1	16010	0	628
140.714	129.571	1	16225	0	628
143.779	132.636	1	16384	0	628
143.743	131.230	1	16530	0	628
138.947	125.388	1	16723	0	628
129.354	114.389	1	16942	0	628
119.870	109.448	1	17114	0	628
116.408	109.160	1	17239	0	628
118.788	110.566	1	17377	0	628
122.214	109.917	1	17557	0	628
121.024	103.390	1	17776	0	628
110.206	94.266	1	17996	0	628
94.446	82.907	1	18176	0	628
83.051	78.182	1	18241	0	628
78.904	79.084	1	18185	0	628
82.726	81.428	1	18086	0	628
88.713	84.890	1	17918	0	628
89.254	81.428	1	17592	0	628
84.421	74.288	1	17162	0	628
74.288	64.046	1	16715	0	628
65.741	56.149	1	16324	0	628
61.774	55.103	1	16045	0	628
60.728	55.499	1	15907	0	628
59.719	57.483	1	15817	0	628
57.735	55.572	1	15645	0	628
55.463	52.218	1	15417	0	628
50.775	46.448	1	15357	0	628
48.467	45.799	1	15576	0	628
46.989	44.969	1	15912	0	628
49.405	45.402	1	16165	0	628
54.093	49.838	1	16299	0	628
62.171	52.362	1	16372	0	628
64.082	55.247	1	16439	0	628
60.801	53.732	1	16560	0	628
51.713	48.900	1	16719	0	628
41.075	41.111	1	16869	0	628
33.538	33.610	1	17003	0	628
31.085	32.095	1	17149	0	628
31.374	36.098	1	17338	0	628
34.980	38.983	1	17497	0	628
37.757	40.462	1	17549	0	628
40.245	37.829	1	17531	0	628
40.353	33.754	1	17527	0	628
38.622	32.203	1	17583	0	628
36.567	35.882	1	17630	0	628
30.941	39.127	1	17570	0	628
26.578	38.803	1	17428	0	628
23.585	34.692	1	17273	0	628
26.361	32.780	1	17123	0	628
32.131	33.429	1	16964	0	628
38.154	37.577	1	16762	0	628
39.452	37.360	1	16534	0	628
33.502	33.862	1	16273	0	628
27.624	28.164	1	15894	0	628
24.558	25.316	1	15477	0	628
25.496	27.010	1	15284	0	628
27.804	31.085	1	15335	0	628
29.318	32.203	1	15353	0	628
27.732	32.384	1	15138	0	628
24.630	29.463	1	14777	0	628
23.765	27.299	1	14480	0	628
18.175	24.630	1	14338	0	628
16.877	20.339	1	14304	0	628
14.785	16.228	1	14291	0	628
16.480	19.005	1	14243	0	628
19.870	23.621	1	14200	0	628
24.666	30.508	1	14226	0	628
27.263	35.413	1	14295	0	628
25.929	35.665	1	14342	0	628
22.286	33.249	1	14347	0	628
22.214	30.977	1	14368	0	628
20.555	33.538	1	14476	0	628
23.440	35.016	1	14678	0	628
27.696	36.314	1	14906	0	628
24.883	33.574	1	15065	0	628
20.123	27.840	1	15172	0	628
14.281	23.729	1	15288	0	628
9.520	23.549	1	15473	0	628
9.448	27.263	1	15714	0	628
10.819	28.489	1	15980	0	628
9.124	26.253	1	16256	0	628
-0.325	19.690	1	16495	0	628
-10.746	9.340	1	16676	0	628
-17.202	0.072	1	16813	0	628
-18.320	-8.294	1	16899	0	628
-11.937	-17.454	1	16925	0	628
-6.924	-22.431	1	16891	0	628
-7.140	-20.303	1	16805	0	628
-14.425	-13.235	1	16749	0	628
-26.037	-2.885	1	16869	0	628
-41.471	0.397	1	17119	0	628
-55.860	-7.321	1	17243	0	628
-61.991	-19.221	1	17106	0	628
-60.296	-31.807	1	16852	0	628
-51.388	-34.764	1	16719	0	628
-48.251	-31.122	1	16753	0	628
-57.591	-30.761	1	16831	0	628
-79.877	-38.550	1	16856	0	628
-108.835	-55.103	1	16813	0	628
-129.066	-64.731	1	16758	0	628
-136.819	-61.017	1	16753	0	628
-128.886	-45.041	1	16770	0	628
-112.838	-25.676	1	16766	0	628
-98.630	-18.320	1	16727	0	628
-96.538	-19.690	1	16689	0	628
-107.717	-24.198	1	16697	0	628
-128.597	-16.084	1	16753	0	628
4.868	19.798	32768	18013	0	868
4.147	20.159	32768	18116	0	868
6.311	22.395	32768	18133	0	868
7.862	25.893	32768	18086	0	868
8.366	29.246	32768	18039	0	868
7.285	30.004	32768	18013	0	868
6.960	27.840	32768	17983	0	868
7.609	26.181	32768	17905	0	868
10.674	29.354	32768	17772	0	868
14.136	36.206	32768	17613	0	868
20.844	41.039	32768	17454	0	868
25.279	42.481	32768	17291	0	868
25.568	38.298	32768	17097	0	868
23.693	34.187	32768	16882	0	868
19.654	34.836	32768	16654	0	868
12.910	34.692	32768	16354	0	868
7.862	32.564	32768	15976	0	868
4.796	24.270	32768	15636	0	868
1.479	16.877	32768	15400	0	868
1.479	13.343	32768	15228	0	868
4.688	20.014	1	15035	0	868
