neuroNicle FX2
D3F0R0
UART
2023년 11월 11일 토요일
오후 12:18
time interval = 4msec
EEG1	EEG2	PPG	sdPPG	pulse	peak_interval(msec)
11.828	3.714	7074	17016	0	872
13.595	5.049	7189	17016	0	872
10.602	3.462	7132	16880	0	872
6.347	3.787	7017	16640	0	872
7.248	6.635	6902	16429	0	872
8.078	9.448	7074	16384	0	872
9.520	8.222	6902	16384	0	872
10.206	4.977	6902	16384	0	872
11.071	1.262	7132	16519	0	872
13.235	1.731	7476	16986	0	872
15.507	5.229	7764	17588	0	872
19.221	8.979	8166	18025	0	872
17.779	11.612	8453	18281	0	872
17.995	14.317	8913	18612	0	872
16.877	15.723	9488	19140	0	872
18.716	17.815	10005	19667	0	872
15.759	17.526	10293	19893	0	872
11.684	13.740	10752	19832	0	872
5.878	8.979	10925	19682	0	872
3.642	4.688	11097	19380	0	872
6.455	4.977	11212	18914	0	872
15.723	6.383	11212	18402	0	872
20.700	8.655	11097	17920	0	872
22.467	10.242	11155	17423	0	872
18.320	10.710	11040	16835	0	872
14.894	10.494	10752	16279	0	872
12.514	13.487	10522	15662	0	872
17.706	16.048	9890	14638	0	872
19.618	17.490	9201	13372	0	872
21.060	17.346	8741	12559	0	872
18.824	15.362	8281	12288	0	872
18.608	14.353	7936	12153	0	872
17.129	14.677	7591	12062	0	872
19.293	15.398	7362	12092	0	872
20.375	16.264	6844	11987	0	872
21.745	17.202	6442	11701	0	872
23.909	16.516	6327	11821	0	872
24.919	17.382	6327	12619	0	872
26.433	17.382	6614	13689	0	872
28.669	17.779	6844	14592	0	872
26.578	17.238	6902	15180	0	872
24.162	16.516	7132	15662	0	872
19.906	14.028	7476	16324	0	872
13.668	9.196	7936	17182	0	872
11.576	6.022	8339	18040	0	872
10.891	2.416	8626	18658	0	872
12.405	3.065	9201	19170	0	872
17.815	4.580	9775	19727	0	872
19.618	9.520	10235	20254	0	872
23.693	12.369	10637	20570	0	872
28.381	15.362	10867	20585	0	872
27.515	16.408	11212	20374	0	872
25.352	14.821	11384	20058	0	872
22.178	13.595	11384	19712	0	872
17.670	11.215	11499	19335	0	872
17.743	10.133	11442	18823	1	820
17.887	10.278	11384	18206	0	820
21.854	9.556	11155	17513	0	820
23.765	11.900	10637	16624	0	820
22.935	14.317	10235	15526	0	820
23.657	18.969	9373	14216	0	820
24.198	22.178	8339	12725	0	820
23.585	23.981	7304	11174	0	820
23.260	20.952	6442	10210	0	820
23.837	16.300	5925	9969	0	820
23.008	12.910	5350	10074	0	820
