neuroNicle FX2
D3F25R12
Bluetooth SPP
2023년 11월 21일 화요일
오전 10:47
time interval = 4msec
EEG1	EEG2	PPG	sdPPG	pulse	peak_interval(msec)
-56.762	-57.086	16386	16681	0	400
-55.968	-53.660	16384	16401	0	400
-47.962	-47.746	16384	16138	0	400
-40.642	-39.272	16382	15883	0	400
-34.151	-35.269	16378	15653	0	400
-31.230	-36.026	16376	15441	0	400
-30.977	-38.875	16373	15254	0	400
-29.282	-40.534	16373	15092	0	400
-28.417	-41.580	16369	14981	0	400
-28.489	-38.370	16367	14905	0	400
-30.977	-36.639	16365	14854	0	400
-33.898	-35.016	16363	14888	0	400
-38.118	-36.134	16363	15126	0	400
-40.930	-37.144	16365	15534	0	400
-42.878	-40.281	16367	15874	0	400
-45.907	-39.776	16367	16138	0	400
-48.395	-40.606	16369	16503	0	400
-48.215	-39.849	16373	16970	0	400
-45.691	-43.022	16375	17319	0	400
-43.996	-49.333	16377	17523	0	400
-42.589	-54.057	16380	17804	0	400
-44.464	-56.690	16384	18161	0	400
-51.352	-51.677	16386	18356	0	400
-58.961	-46.989	16386	18365	0	400
-65.885	-41.435	16389	18254	0	400
-72.340	-41.507	16389	18084	0	400
-77.353	-42.409	16389	17846	0	400
-80.779	-44.537	16389	17574	0	400
-80.238	-43.058	16388	17259	1	736
-79.877	-39.560	16386	16919	0	736
-79.264	-38.586	16384	16545	0	736
-78.435	-39.885	16382	16180	0	736
-79.805	-43.419	16380	15823	0	736
-81.392	-49.369	16377	15517	0	736
-83.411	-50.018	16375	15279	0	736
-83.303	-50.920	16372	15066	0	736
-80.959	-51.424	16370	14939	0	736
-80.130	-52.434	16370	15024	0	736
-79.661	-56.942	16372	15288	0	736
-79.120	-61.305	16371	15500	0	736
-81.464	-62.207	16371	15662	0	736
-83.880	-62.099	16373	15959	0	736
-81.284	-61.450	16375	16367	0	736
-76.812	-59.502	16377	16656	0	736
-73.819	-58.060	16379	16843	0	736
-71.799	-59.430	16382	17115	0	736
-71.691	-61.233	16384	17463	0	736
-73.242	-62.207	16386	17685	0	736
-75.514	-63.145	16388	17710	0	736
-75.298	-62.568	16389	17625	0	736
-74.576	-60.765	16389	17472	0	736
-72.881	-59.106	16389	17259	0	736
-70.609	-58.529	16388	17030	0	736
-68.770	-59.719	16386	16775	0	736
-70.069	-60.945	16384	16503	0	736
-76.163	-64.912	16384	16240	0	736
-79.264	-69.023	16382	15985	0	736
-79.228	-70.321	16380	15764	0	736
-74.324	-68.554	16378	15568	0	736
-67.400	-63.758	16377	15373	0	736
-63.722	-61.053	16375	15194	0	736
-67.364	-59.286	16373	15109	0	736
-71.763	-60.115	16373	15237	0	736
-74.360	-61.414	16374	15534	0	736
-69.744	-59.070	16374	15781	0	736
-60.296	-55.319	16377	15942	0	736
-50.559	-52.939	16379	16274	0	736
-47.962	-49.477	16384	16851	0	736
-50.595	-50.198	16386	17446	0	736
-55.463	-51.677	16390	17846	0	736
-60.692	-54.021	16395	18186	0	736
-64.190	-57.807	16399	18509	0	736
