neuroNicle FX2
D3F25R12
Bluetooth SPP
2023년 11월 3일 금요일
오전 10:10
time interval = 4msec
EEG1	EEG2	PPG	sdPPG	pulse	peak_interval(msec)
53.552	-4.111	16354	13717	0	396
51.749	-0.397	16345	13534	0	396
50.811	2.705	16337	13566	0	396
48.107	4.219	16334	13642	0	396
45.943	1.226	16322	13706	0	396
44.933	-3.714	16314	13814	0	396
43.310	-8.583	16305	13868	0	396
45.871	-12.081	16292	13555	0	396
47.061	-9.773	16271	12972	0	396
51.244	-7.429	16258	12648	0	396
50.415	-3.137	16249	12724	0	396
51.424	0.288	16237	13015	0	396
49.116	-0.649	16235	13372	0	396
47.458	-4.977	16226	13793	0	396
45.114	-11.071	16224	14235	0	396
41.399	-15.939	16212	14484	0	396
39.127	-19.726	16207	14484	0	396
37.793	-17.454	16195	14559	0	396
37.252	-14.821	16195	14916	0	396
41.111	-12.369	16198	15531	0	396
41.507	-14.966	16195	16244	0	396
41.904	-14.713	16201	16880	0	396
40.750	-15.110	16207	17507	0	396
42.265	-11.576	16215	18176	0	396
45.799	-4.327	16220	18824	0	396
51.569	-1.767	16232	19310	0	396
54.237	-2.741	16235	19612	0	396
53.408	-5.373	16243	19818	0	396
49.585	-10.674	16249	20088	0	396
47.999	-11.937	16260	20498	0	396
47.530	-9.340	16277	20952	0	396
46.772	-8.475	16283	21200	0	396
44.428	-9.088	16292	21243	0	396
41.039	-9.520	16305	21232	0	396
39.488	-10.314	16314	21297	0	396
44.537	-7.357	16322	21373	0	396
49.549	-1.875	16334	21373	0	396
56.004	4.075	16345	21265	0	396
60.512	6.203	16354	21114	0	396
59.827	4.075	16365	20984	0	396
58.745	3.642	16379	20854	1	620
61.197	4.039	16384	20660	0	620
62.712	8.943	16389	20401	0	620
68.698	13.523	16397	20055	0	620
73.639	18.247	16397	19429	0	620
75.586	17.238	16397	18619	0	620
75.117	12.910	16400	18144	0	620
70.790	12.477	16406	17971	0	620
71.042	11.432	16406	17539	0	620
68.121	11.792	16397	16610	0	620
67.977	12.694	16386	15477	0	620
67.147	11.432	16373	14484	0	620
66.246	11.684	16365	13825	0	620
64.803	13.487	16360	13480	0	620
66.426	12.369	16351	13264	0	620
68.338	12.261	16351	13080	0	620
67.220	9.160	16345	13037	0	620
66.102	8.114	16343	13220	0	620
64.948	9.160	16339	13372	0	620
62.568	12.766	16334	13285	0	620
61.342	14.136	16326	13123	0	620
59.286	9.881	16322	13102	0	620
57.339	7.104	16322	13296	0	620
57.555	4.904	16320	13663	0	620
64.479	5.517	16322	14106	0	620
71.114	9.124	16322	14505	0	620
75.442	9.953	16326	14862	0	620
72.232	3.714	16334	15305	0	620
64.335	-6.599	16339	15942	0	620
57.519	-15.002	16348	16632	0	620
53.913	-20.844	16354	17118	0	620
56.690	-18.175	16360	17377	0	620
56.329	-14.172	16365	17571	0	620
55.608	-10.891	16371	17787	0	620
53.949	-15.290	16377	17993	0	620
49.405	-22.358	16382	18133	0	620
43.707	-31.230	16386	18165	0	620
40.209	-35.377	16386	18025	0	620
34.331	-33.249	16386	17831	0	620
31.662	-28.453	16389	17658	0	620
32.708	-22.070	16389	17507	0	620
33.646	-20.339	16389	17334	0	620
33.069	-22.611	16386	17053	0	620
30.581	-26.686	16377	16374	0	620
27.984	-32.131	16365	15488	0	620
25.640	-37.216	16362	15067	0	620
25.496	-38.262	16356	15089	0	620
24.234	-37.685	16351	14970	0	620
26.325	-35.197	16343	14538	0	620
28.056	-30.725	16328	14009	0	620
28.489	-29.318	16320	13642	0	620
27.515	-31.266	16309	13447	0	620
22.539	-37.072	16297	13188	0	620
17.274	-42.661	16283	12680	0	620
12.658	-44.645	16260	12119	0	620
18.103	-41.904	16252	11903	0	620
25.099	-36.711	16241	12140	0	620
32.131	-29.715	16237	12616	0	620
31.590	-29.210	16237	13123	0	620
27.010	-31.951	16232	13609	0	620
21.349	-33.249	16232	14073	0	620
20.123	-30.797	16232	14646	0	620
26.794	-27.191	16241	15467	0	620
35.629	-22.719	16246	16352	0	620
41.039	-21.890	16252	16945	0	620
40.930	-24.089	16254	17323	0	620
35.305	-26.902	16260	17723	0	620
30.436	-26.397	16269	18209	0	620
25.388	-28.201	16275	18662	0	620
24.702	-31.338	16280	18954	0	620
26.253	-33.069	16288	19126	0	620
29.715	-31.194	16292	19256	0	620
32.528	-26.253	16294	19342	0	620
33.105	-21.529	16303	19353	0	620
32.276	-22.647	16303	19267	0	620
26.109	-28.633	16305	19126	0	620
23.729	-33.934	16309	18986	0	620
24.775	-33.105	16311	18770	0	620
30.076	-27.732	16309	18446	0	620
33.429	-21.241	16309	18133	0	620
36.026	-18.716	16305	17777	0	620
32.816	-20.195	16303	17215	0	620
28.777	-25.063	16292	16545	0	620
26.037	-30.905	16286	16061	0	620
26.001	-31.374	16280	15758	0	620
26.902	-32.348	16280	15585	0	620
26.830	-31.230	16275	15564	0	620
26.253	-29.427	16271	15596	0	620
23.549	-30.977	16277	15661	0	620
20.050	-32.203	16277	15909	0	620
17.851	-30.400	16283	16223	0	620
21.096	-26.830	16288	16437	0	620
24.522	-21.132	16286	16556	0	620
28.309	-21.349	16286	16567	0	620
30.004	-23.188	16292	16589	0	620
26.433	-28.020	16294	16794	0	620
20.375	-33.790	16300	17096	0	620
16.048	-36.242	16303	17237	0	620
12.261	-38.045	16305	17096	0	620
14.100	-37.468	16300	16826	0	620
15.759	-35.305	16297	16589	0	620
23.368	-29.859	16297	16331	0	620
28.056	-25.424	16288	15985	0	620
31.554	-22.322	16280	15521	0	620
31.446	-21.385	16266	14765	0	620
27.263	-23.512	16246	13847	0	620
22.358	-23.224	16237	13361	0	620
19.149	-20.916	16235	13458	0	620
21.421	-20.267	16226	13739	0	620
25.604	-17.706	16229	14019	0	620
30.004	-20.916	16224	14279	0	620
32.095	-23.729	16226	14570	0	620
32.059	-24.594	16224	14959	0	620
31.554	-21.890	16229	15402	0	620
35.341	-11.540	16229	15780	0	620
44.248	-2.705	16235	16115	0	620
53.264	3.967	16235	16513	0	620
61.053	4.039	16246	16988	0	620
60.043	1.479	16249	17431	0	620
54.742	-3.678	16254	17831	0	620
51.352	-3.137	16266	18165	0	620
49.766	-0.577	16263	18252	0	620
55.932	3.065	16271	18230	0	620
62.063	4.364	16280	18543	0	620
66.715	5.770	16297	19234	0	620
65.525	5.734	16311	19872	0	620
62.387	4.760	16326	20239	0	620
54.418	0.036	16331	20336	0	620
49.693	-5.914	16343	20304	0	620
46.304	-8.655	16354	20304	0	620
49.369	-4.977	16365	20358	0	620
58.457	3.498	16373	20358	0	620
65.128	15.867	16382	20250	0	620
68.915	21.096	16391	20142	0	620
64.659	22.431	16403	20109	1	536
60.007	19.690	16414	20088	0	536
56.726	18.608	16425	20012	0	536
55.788	16.625	16434	19839	0	536
62.171	18.356	16440	19569	0	536
69.708	19.690	16451	19267	0	536
75.838	22.322	16457	19018	0	536
80.490	26.325	16465	18792	0	536
78.579	23.657	16463	18338	0	536
71.655	19.149	16459	17420	0	536
64.010	14.172	16448	16212	0	536
60.584	10.169	16442	15261	0	536
61.846	9.484	16437	14743	0	536
66.318	9.484	16431	14289	0	536
65.633	10.206	16420	13793	0	536
60.728	4.291	16417	13393	0	536
53.516	0.829	16412	13123	0	536
