neuroNicle FX2
D3F25R12
Bluetooth SPP
2023년 11월 22일 수요일
오후 1:51
time interval = 4msec
EEG1	EEG2	PPG	sdPPG	pulse	peak_interval(msec)
-43.058	9.773	16335	16003	0	628
-40.317	9.232	16337	16084	0	628
-35.377	8.835	16330	15835	0	628
-31.735	10.206	16319	15299	0	628
-29.102	12.405	16312	14940	0	628
-27.263	17.743	16310	14896	0	628
-23.945	24.414	16306	14911	0	628
-16.048	32.925	16301	14911	0	628
-5.626	43.491	16297	14948	0	628
7.501	55.608	16294	14955	0	628
24.125	68.698	16285	14860	0	628
43.238	84.241	16280	14735	0	628
66.318	102.524	16274	14684	0	628
90.732	119.041	16265	14640	0	628
113.379	135.774	16256	14442	0	628
137.072	151.785	16242	14141	0	628
159.935	170.429	16235	13950	0	628
181.031	191.273	16224	13921	0	628
196.610	209.629	16215	13921	0	628
205.337	216.661	16203	13848	0	628
207.898	208.078	16190	13687	0	628
206.058	185.864	16181	13584	0	628
200.721	156.329	16172	13672	0	628
185.251	127.948	16165	13950	0	628
162.099	105.878	16161	14280	0	628
132.348	89.290	16156	14537	0	628
108.258	75.153	16152	14808	0	628
89.326	61.774	16149	15145	0	628
71.980	47.890	16147	15490	0	628
48.179	32.780	16147	15798	0	628
17.995	17.310	16144	16047	0	628
-17.562	5.698	16143	16223	0	628
-46.376	-6.960	16138	16391	0	628
-70.682	-17.851	16140	16655	0	628
-93.148	-27.696	16138	16911	0	628
-116.625	-36.928	16134	16897	0	628
-136.711	-44.284	16120	16464	0	628
-149.153	-47.097	16106	15886	0	628
-152.290	-47.025	16097	15541	0	628
-149.080	-42.373	16088	15497	0	628
-153.732	-37.505	16081	15600	0	628
-169.023	-38.911	16077	15754	0	628
-190.083	-47.313	16077	15959	0	628
-205.481	-58.060	16075	16157	0	628
-203.895	-65.344	16070	16297	0	628
-190.588	-65.128	16070	16464	0	628
-175.189	-57.158	16072	16823	0	628
-169.996	-50.270	16077	17241	0	628
-176.415	-47.710	16081	17527	0	628
-185.575	-47.999	16084	17718	0	628
-186.621	-49.405	16090	18004	0	628
-176.307	-47.025	16097	18422	0	628
-160.440	-41.724	16106	18825	0	628
-145.186	-35.449	16113	19052	0	628
-133.429	-31.662	16120	19140	0	628
-124.125	-32.456	16131	19323	0	628
-114.425	-34.547	16144	19683	0	628
-102.777	-36.062	16161	20144	0	628
-90.804	-35.269	16176	20584	0	628
-80.274	-29.463	16192	20951	0	628
-73.494	-25.532	16215	21347	0	628
-67.472	-24.450	16240	21816	0	628
-65.236	-26.974	16260	22271	0	628
-62.640	-30.761	16288	22630	0	628
-60.873	-32.636	16310	22857	0	628
-56.365	-30.653	16335	23040	0	628
-46.845	-25.856	16362	23268	0	628
-35.016	-18.428	16388	23480	0	628
-23.116	-9.629	16415	23605	0	628
-15.831	-1.623	16440	23568	0	628
-17.815	6.563	16460	23414	0	628
-24.739	11.396	16485	23202	0	628
-30.472	11.612	16510	22960	0	628
-31.951	7.393	16530	22666	1	624
-28.958	1.010	16551	22271	0	624
-23.332	-3.967	16569	21765	0	624
-19.005	-6.671	16585	21222	0	624
-14.208	-6.708	16598	20672	0	624
-9.953	-5.193	16614	20137	0	624
-5.842	-3.570	16630	19631	0	624
-4.291	-0.397	16642	19133	0	624
-8.979	6.094	16651	18510	0	624
-16.300	11.251	16653	17674	0	624
-28.128	11.973	16655	16735	0	624
-39.308	5.770	16655	15864	0	624
-47.818	-3.534	16653	15124	0	624
-53.408	-9.304	16651	14508	0	624
-53.372	-9.556	16648	13936	0	624
-50.090	-4.111	16646	13415	0	624
-44.789	0.649	16648	13093	0	624
-40.606	1.046	16651	13019	0	624
-41.616	-2.669	16653	13012	0	624
-42.914	-9.340	16651	12880	0	624
-41.940	-11.792	16648	12580	0	624
-32.708	-11.756	16643	12286	0	624
-19.870	-8.150	16639	12103	0	624
-9.809	-6.094	16630	11876	0	624
-10.278	-8.330	16616	11465	0	624
-17.526	-14.497	16603	11011	0	624
-21.493	-19.437	16589	10717	0	624
-17.670	-19.401	16580	10622	0	624
-8.691	-15.218	16571	10673	0	624
-4.868	-14.533	16560	10791	0	624
-7.537	-16.949	16551	10930	0	624
-13.307	-23.224	16544	11106	0	624
-11.215	-24.919	16537	11384	0	624
-0.288	-19.546	16535	11846	0	624
11.756	-8.583	16533	12448	0	624
18.969	-1.659	16530	13027	0	624
17.634	-0.144	16533	13496	0	624
13.848	-6.347	16530	13950	0	624
11.612	-10.025	16535	14456	0	624
15.146	-11.360	16535	15014	0	624
23.008	-5.049	16542	15585	0	624
32.672	1.262	16544	16099	0	624
41.435	8.799	16547	16471	0	624
46.736	11.900	16548	16743	0	624
42.842	14.930	16551	16955	0	624
33.429	15.182	16551	17058	0	624
22.935	14.569	16553	17117	0	624
15.471	11.143	16548	17117	0	624
14.641	7.681	16542	16911	0	624
16.408	2.596	16533	16464	0	624
16.228	-0.469	16519	15945	0	624
11.900	-1.767	16508	15424	0	624
5.626	1.262	16492	14977	0	624
0.072	2.488	16480	14618	0	624
-4.003	5.878	16467	14339	0	624
-5.878	3.787	16456	14200	0	624
-9.304	1.046	16449	14236	0	624
-10.999	-2.524	16444	14427	0	624
-12.189	-3.787	16438	14654	0	624
-11.504	-3.714	16431	14823	0	624
-11.107	-3.173	16431	15102	0	624
-12.946	-4.652	16433	15563	0	624
-17.093	-6.563	16435	16025	0	624
-22.142	-6.058	16435	16355	0	624
-19.906	-4.364	16433	16537	0	624
-10.927	-1.298	16431	16618	0	624
3.390	0.036	16426	16596	0	624
12.189	-1.875	16422	16471	0	624
13.668	-6.167	16412	16311	0	624
8.258	-12.225	16406	16165	0	624
5.698	-14.281	16399	16055	0	624
10.386	-14.569	16394	16011	0	624
20.483	-12.694	16390	16040	0	624
27.010	-12.838	16385	16077	0	624
26.217	-12.586	16380	15981	0	624
19.221	-13.956	16369	15747	0	624
11.756	-14.785	16356	15380	0	624
8.619	-14.785	16342	14955	0	624
7.357	-15.615	16328	14640	0	624
8.619	-16.985	16317	14486	0	624
9.088	-18.464	16308	14434	0	624
10.169	-19.546	16297	14420	0	624
10.278	-19.005	16283	14288	0	624
10.494	-20.627	16271	14141	0	624
8.583	-23.837	16265	14339	0	624
8.439	-24.198	16265	14830	0	624
8.655	-23.657	16256	15138	0	624
12.982	-19.149	16249	15087	0	624
18.247	-15.002	16235	14896	0	624
22.719	-13.992	16226	14808	0	624
25.532	-16.733	16220	14882	0	624
27.263	-21.385	16208	15006	0	624
26.253	-24.522	16199	15021	0	624
24.162	-23.873	16188	14874	0	624
20.123	-23.188	16174	14713	0	624
18.031	-21.096	16163	14654	0	624
20.087	-21.926	16152	14713	0	624
28.633	-20.519	16143	14816	0	624
39.921	-19.582	16131	14874	0	624
46.448	-19.113	16122	14918	0	624
45.835	-18.103	16115	15080	0	624
39.055	-19.798	16111	15387	0	624
32.420	-20.664	16113	15783	0	624
30.869	-21.529	16108	16128	0	624
36.747	-22.322	16106	16427	0	624
41.868	-22.106	16106	16772	0	624
42.553	-21.168	16106	17153	0	624
37.793	-20.988	16108	17483	0	624
31.338	-20.519	16106	17688	0	624
28.922	-20.483	16108	17791	0	624
33.177	-20.375	16106	17857	0	624
37.829	-20.159	16106	17945	0	624
38.154	-17.743	16106	18040	0	624
33.285	-17.238	16106	18084	0	624
24.702	-19.798	16108	18092	0	624
17.959	-21.168	16108	18106	0	624
16.444	-23.440	16106	18114	0	624
20.591	-23.044	16106	18084	0	624
28.958	-22.863	16106	18040	0	624
39.163	-19.690	16106	17996	0	624
48.071	-18.428	16106	17945	0	624
54.454	-14.785	16106	17916	0	624
58.637	-10.242	16113	17974	0	624
62.351	-4.508	16117	18158	0	624
69.492	-0.865	16126	18480	0	624
76.668	-0.288	16140	18898	0	624
82.690	-1.118	16152	19309	0	624
83.267	-1.659	16165	19595	0	624
81.103	-1.334	16176	19829	0	624
79.589	1.911	16190	20115	0	624
80.454	3.895	16211	20474	0	624
85.755	3.210	16229	20848	0	624
90.624	0.361	16244	21127	0	624
89.578	-3.173	16267	21340	0	624
83.592	-8.006	16285	21589	0	624
75.045	-9.412	16308	21853	0	624
71.511	-11.071	16330	22029	0	624
72.665	-10.242	16351	22095	0	624
77.642	-8.979	16371	22146	0	624
82.546	-8.475	16394	22234	0	624
83.592	-10.278	16420	22359	0	624
83.015	-10.674	16442	22483	0	624
80.743	-12.910	16467	22505	0	624
80.274	-13.127	16494	22425	0	624
79.409	-13.956	16512	22241	0	624
79.625	-14.353	16533	21860	0	624
80.166	-16.228	16547	21340	0	624
83.051	-15.435	16562	20936	1	588
83.628	-14.208	16583	20687	0	588
81.212	-14.821	16603	20416	0	588
76.055	-15.975	16619	20101	0	588
70.501	-18.356	16634	19778	0	588
66.967	-24.450	16651	19375	0	588
66.210	-25.856	16662	18876	0	588
69.672	-23.693	16671	18341	0	588
78.110	-14.605	16680	17776	0	588
91.129	0.829	16684	17102	0	588
109.881	20.375	16687	16370	0	588
127.299	36.711	16689	15695	0	588
137.793	44.537	16689	15109	0	588
137.396	45.258	16684	14456	0	588
133.466	40.750	16680	13753	0	588
127.479	36.026	16678	13173	0	588
123.224	31.266	16675	12821	0	588
115.507	24.991	16675	12660	0	588
103.137	15.831	16673	12587	0	588
91.309	7.357	16673	12484	0	588
83.303	2.164	16669	12426	0	588
81.933	2.452	16673	12499	0	588
84.241	4.219	16673	12675	0	588
81.572	2.308	16675	12865	0	588
73.855	-1.695	16675	12975	0	588
63.469	-6.347	16671	12961	0	588
56.365	-7.753	16666	12887	0	588
54.021	-5.121	16666	12931	0	588
52.578	-3.534	16664	13122	0	588
48.648	-1.731	16662	13320	0	588
37.721	-4.255	16660	13452	0	588
25.316	-7.068	16660	13599	0	588
16.444	-11.648	16662	13870	0	588
14.894	-11.648	16664	14258	0	588
18.067	-12.982	16666	14588	0	588
19.401	-12.586	16662	14603	0	588
15.146	-11.973	16651	14324	0	588
8.402	-10.746	16643	14104	0	588
5.157	-10.314	16637	14068	0	588
8.439	-6.383	16630	14068	0	588
14.605	-3.714	16625	14053	0	588
18.572	-0.938	16616	13972	0	588
17.562	0.685	16603	13745	0	588
12.261	1.587	16592	13547	0	588
8.835	0.469	16589	13657	0	588
6.527	-0.974	16585	14038	0	588
6.094	-2.128	16578	14302	0	588
4.832	-3.282	16571	14288	0	588
4.147	-3.534	16562	14163	0	588
5.373	-2.596	16551	14141	0	588
10.638	-3.787	16542	14170	0	588
13.199	-5.950	16526	13928	0	588
13.199	-7.140	16501	13313	0	588
9.737	-8.583	16483	12763	0	588
7.140	-8.222	16471	12711	0	588
10.602	-5.337	16460	13041	0	588
14.641	-6.131	16451	13379	0	588
16.552	-8.907	16442	13584	0	588
11.360	-16.372	16433	13789	0	588
3.137	-24.811	16429	14148	0	588
-1.118	-26.325	16424	14662	0	588
2.777	-24.234	16426	15263	0	588
11.648	-16.733	16429	15886	0	588
19.978	-11.035	16431	16442	0	588
26.181	-7.825	16433	16948	0	588
27.660	-8.907	16435	17454	0	588
27.804	-8.222	16444	18026	0	588
29.246	-9.448	16453	18605	0	588
30.508	-9.917	16460	19052	0	588
36.206	-13.415	16467	19316	0	588
41.183	-18.356	16474	19521	0	588
43.274	-19.870	16483	19771	0	588
40.101	-20.591	16492	20057	0	588
34.331	-17.743	16503	20313	0	588
31.374	-15.074	16512	20496	0	588
34.511	-13.956	16524	20562	0	588
42.770	-14.858	16528	20489	0	588
48.215	-16.264	16535	20284	0	588
45.366	-15.146	16537	19983	0	588
36.964	-14.641	16537	19653	0	588
28.850	-14.894	16542	19279	0	588
26.433	-13.271	16537	18818	0	588
30.905	-12.658	16539	18392	0	588
40.570	-9.448	16544	18224	0	588
48.828	-5.013	16547	18187	0	588
53.877	0.072	16548	17916	0	588
54.634	3.426	16542	17359	0	588
51.785	4.868	16533	16713	0	588
47.782	5.013	16528	16113	0	588
48.576	7.357	16517	15585	0	588
50.595	7.140	16510	15138	0	588
54.093	8.547	16499	14735	0	588
53.985	6.455	16489	14324	0	588
50.234	3.498	16480	13943	0	588
46.700	0.469	16467	13599	0	588
46.159	0.938	16451	13129	0	588
47.999	2.488	16431	12499	0	588
49.080	3.210	16411	11890	0	588
46.520	3.282	16393	11465	0	588
45.330	0.829	16378	11304	0	588
46.772	-0.288	16365	11421	0	588
53.660	1.262	16353	11700	0	588
61.089	3.967	16339	11839	0	588
62.063	4.472	16317	11590	0	588
58.204	4.255	16288	10923	0	588
52.001	3.354	16258	10255	0	588
50.343	3.787	16240	10109	0	588
56.401	5.806	16224	10505	0	588
65.885	10.999	16215	11157	0	588
74.107	10.638	16203	11780	0	588
76.055	9.088	16192	12220	0	588
74.901	2.633	16176	12484	0	588
71.006	-0.757	16161	12667	0	588
71.114	-1.442	16149	12953	0	588
74.144	4.111	16140	13371	0	588
76.560	11.937	16131	13877	0	588
76.704	18.608	16126	14449	0	588
