neuroNicle FX2
D3F25R12
Bluetooth SPP
2023년 11월 20일 월요일
오후 4:52
time interval = 4msec
EEG1	EEG2	PPG	sdPPG	pulse	peak_interval(msec)
-49.730	-49.261	16510	14469	0	316
-40.642	-45.546	16485	14133	0	316
-36.819	-42.265	16465	13844	0	316
-39.019	-41.616	16463	13884	0	316
-44.573	-45.618	16476	14445	0	316
-48.071	-52.038	16508	15331	0	316
-44.537	-48.576	16527	16080	0	316
-36.495	-41.616	16532	16412	0	316
-30.941	-31.266	16536	16404	0	316
-34.006	-30.653	16527	16236	0	316
-43.347	-35.341	16516	15972	0	316
-50.379	-47.638	16493	15627	0	316
-48.539	-49.874	16476	15219	0	316
-38.082	-43.743	16453	14862	0	316
-29.102	-35.233	16451	14838	0	316
-31.771	-35.954	16459	15263	0	316
-47.494	-46.159	16465	15792	0	316
-63.397	-63.361	16468	16036	0	316
-75.514	-74.432	16463	15992	0	316
-77.533	-76.632	16448	15812	0	316
-72.990	-72.845	16431	15567	0	316
-65.525	-65.128	16417	15367	0	316
-57.952	-59.899	16414	15379	0	316
-51.461	-53.660	16408	15559	0	316
-45.907	-48.576	16408	15703	0	316
-47.241	-46.809	16412	15904	0	316
-55.716	-54.922	16423	16280	0	316
-66.462	-64.731	16437	16744	0	316
-75.550	-73.062	16448	17145	0	316
-75.334	-72.701	16457	17293	0	316
-70.177	-65.164	16451	17153	0	316
-64.226	-58.276	16442	16868	0	316
-64.479	-59.070	16423	16512	0	316
-66.498	-63.686	16412	16196	0	316
-68.554	-66.426	16406	16096	0	316
-65.597	-62.784	16400	16172	0	316
-59.286	-55.968	16391	16136	0	316
-57.122	-50.270	16379	15908	0	316
-59.214	-54.634	16365	15607	0	316
-65.633	-61.522	16339	15291	0	316
-70.285	-66.607	16315	14962	0	316
-68.987	-64.118	16292	14722	0	316
-61.955	-57.807	16292	14826	0	316
-56.942	-50.487	16309	15387	0	316
-52.759	-49.657	16322	16124	0	316
-57.952	-55.536	16345	16804	0	316
-64.695	-63.974	16371	17381	0	316
-71.042	-66.967	16382	17698	0	316
-73.530	-64.407	16384	17698	0	316
-68.229	-56.581	16382	17537	0	316
-59.683	-46.412	16382	17373	0	316
-53.516	-41.832	16386	17373	0	316
-46.556	-43.851	16395	17505	0	316
-46.809	-46.953	16391	17481	0	316
-49.657	-49.621	16386	17229	0	316
-50.451	-50.667	16382	16944	0	316
-49.693	-48.792	16389	16936	0	316
-46.376	-44.969	16408	17333	0	316
-44.789	-48.215	16429	17786	0	316
-47.746	-51.713	16434	17906	0	316
-51.677	-54.309	16434	17710	0	316
-59.647	-57.014	16437	17449	0	316
-61.991	-59.214	16442	17357	0	316
-60.332	-55.247	16451	17397	0	316
-56.834	-54.670	16446	17281	0	316
-47.313	-48.792	16446	17013	0	316
-39.993	-43.383	16448	16884	0	316
-33.754	-37.649	16453	16904	0	316
-33.646	-34.331	16457	16872	0	316
-39.812	-35.305	16465	16864	0	316
-49.693	-41.507	16470	16952	0	316
-56.293	-46.628	16470	16900	0	316
-62.351	-53.155	16465	16608	0	316
-60.765	-54.670	16451	16200	0	316
-59.502	-54.165	16431	15739	0	316
-54.670	-48.251	16412	15263	0	316
-53.552	-47.530	16384	14782	0	316
-50.992	-46.556	16365	14401	0	316
-50.775	-46.015	16360	14293	0	316
-50.631	-48.864	16345	14409	0	316
-55.608	-49.261	16331	14441	0	316
-58.493	-50.054	16311	14293	0	316
-63.866	-53.660	16292	14093	0	316
-64.082	-53.191	16269	13897	0	316
-60.476	-53.768	16241	13700	0	316
-55.463	-50.234	16219	13516	0	316
-54.742	-48.720	16187	13360	0	316
