neuroNicle FX2
D3F0R0
Bluetooth SPP
2023년 11월 1일 수요일
오후 1:17
time interval = 4msec
EEG1	EEG2	PPG	sdPPG	pulse	peak_interval(msec)
20.664	6.996	16329	22256	0	316
31.843	7.825	16329	21283	0	316
38.442	13.668	16324	17021	0	316
34.006	19.726	16319	11921	0	316
25.568	25.460	16314	8062	0	316
12.838	23.585	16312	5713	0	316
3.823	19.942	16311	5613	0	316
2.777	16.120	16313	7962	0	316
6.852	18.031	16316	11351	0	316
13.343	18.680	16319	13700	0	316
18.608	16.084	16322	14774	0	316
17.346	3.426	16324	16116	0	316
18.608	-4.868	16327	17424	0	316
20.050	0.072	16328	17524	0	316
25.748	18.897	16324	15881	0	316
29.931	39.308	16319	11418	0	316
30.292	44.825	16307	4338	0	316
26.470	30.400	16293	0	0	316
22.972	9.881	16278	0	0	316
22.503	-1.515	16268	0	0	316
21.132	5.986	16260	0	0	316
20.736	26.433	16257	0	0	316
18.716	38.514	16260	0	0	316
20.664	36.098	16263	0	0	316
25.820	18.320	16271	5344	0	316
28.525	5.662	16279	13868	0	316
26.289	6.239	16289	22457	0	316
22.647	17.598	16302	30880	0	316
17.021	30.545	16315	32767	0	316
19.221	31.302	16329	32767	0	316
26.001	23.404	16345	32767	0	316
27.624	7.862	16360	32767	0	316
23.332	-3.426	16376	32767	0	316
15.579	-9.268	16391	32767	0	316
8.402	-4.616	16407	32767	0	316
10.350	10.674	16423	32767	0	316
21.024	24.919	16437	32767	0	316
28.669	29.751	16446	32767	0	316
23.837	16.877	16455	32767	0	316
7.357	-2.993	16463	32767	0	316
-10.891	-14.569	16470	32767	0	316
-17.887	-7.645	16478	32767	1	516
-0.288	8.150	16485	32767	0	516
27.768	22.755	16491	32767	0	516
51.424	23.260	16497	32767	0	516
55.572	19.906	16502	32767	0	516
39.704	21.818	16506	32767	0	516
20.808	29.499	16504	30645	0	516
13.271	38.262	16503	22558	0	516
16.084	34.692	16502	15613	0	516
24.594	17.346	16500	10713	0	516
23.404	-0.902	16500	6955	0	516
14.858	-13.054	16500	3901	0	516
3.606	-7.789	16500	1687	0	516
-0.721	9.340	16501	411	0	516
4.904	25.460	16503	0	0	516
17.706	34.583	16504	0	0	516
29.499	29.715	16506	0	0	516
34.583	14.749	16509	0	0	516
28.777	-4.472	16511	344	0	516
16.697	-14.966	16513	915	0	516
2.885	-16.733	16514	1351	0	516
0.938	-6.780	16517	2056	0	516
10.097	9.196	16517	2962	0	516
26.073	27.840	16520	3633	0	516
35.810	42.265	16519	3364	0	516
33.177	49.008	16516	1183	0	516
20.844	39.452	16511	0	0	516
9.629	20.627	16507	0	0	516
11.540	3.642	16502	0	0	516
27.624	5.842	16499	0	0	516
46.989	27.335	16496	0	0	516
55.139	50.487	16493	0	0	516
46.376	51.857	16490	0	0	516
27.155	26.397	16488	0	0	516
12.117	-6.167	16486	0	0	516
6.167	-20.555	16485	0	0	516
9.629	-10.963	16483	0	0	516
13.271	9.304	16482	0	0	516
9.304	15.831	16480	1150	0	516
4.832	4.472	16480	2727	0	516
4.183	-11.287	16478	4338	0	516
11.792	-14.245	16476	5411	0	516
24.955	4.832	16471	4673	0	516
37.577	34.295	16466	2559	0	516
41.399	53.913	16460	1116	0	516
36.783	53.949	16458	1351	0	516
25.460	33.177	16455	2693	0	516
16.841	11.360	16452	4640	0	516
12.514	-0.685	16452	6653	0	516
15.290	0.072	16451	8633	0	516
14.605	3.967	16452	10881	0	516
8.366	-4.327	16452	13364	0	516
-5.590	-21.313	16452	15579	0	516
-19.149	-32.780	16453	17390	0	516
-19.834	-27.948	16452	18263	0	516
-7.898	-8.691	16448	16920	0	516
13.018	13.956	16441	13868	0	516
30.508	18.067	16438	11619	0	516
33.249	4.904	16434	10982	0	516
20.664	-17.526	16431	11116	0	516
0.216	-31.518	16429	11552	0	516
-12.153	-27.551	16426	12291	0	516
-12.441	-8.475	16426	13297	0	516
-3.065	10.674	16425	14472	0	516
7.429	18.788	16425	15680	0	516
15.074	14.821	16425	16853	0	516
19.365	9.809	16423	17524	0	516
20.555	5.986	16419	16451	0	516
22.647	6.491	16414	14203	0	516
19.257	4.832	16411	12727	0	516
9.124	0.902	16409	12794	0	516
-0.397	-4.255	16405	13029	0	516
-7.285	-5.842	16401	11888	0	516
-8.691	-2.128	16394	9136	0	516
-7.789	0.216	16386	5411	0	516
-7.645	0.577	16379	2324	0	516
-8.150	1.767	16375	1720	0	516
-3.498	3.390	16371	3431	0	516
7.176	0.721	16370	5277	0	516
25.207	-2.128	16364	5411	0	516
37.649	-3.246	16358	4438	0	516
39.488	-0.721	16355	4640	0	516
31.302	8.619	16354	6687	0	516
20.880	25.532	16353	9640	0	516
20.988	35.810	16355	12895	0	516
24.955	39.055	16356	16351	0	516
29.246	36.170	16357	19169	0	516
22.322	24.125	16355	19941	0	516
7.825	16.120	16354	19135	0	516
-1.587	12.514	16351	19169	0	516
6.708	12.045	16353	20813	0	516
28.345	13.704	16354	23229	0	516
49.333	18.103	16358	26249	0	516
54.922	19.726	16363	29672	0	516
38.226	21.493	16369	32767	0	516
12.766	16.697	16372	32767	0	516
-4.832	12.838	16373	32767	0	516
-3.678	8.150	16373	32767	0	516
7.357	9.376	16375	32222	0	516
14.100	17.346	16378	32390	0	516
13.127	24.558	16379	32659	0	516
3.570	30.112	16376	30511	0	516
-5.229	32.925	16370	24605	0	516
-7.681	32.780	16361	17290	0	516
-7.212	32.816	16352	10982	0	516
-6.203	33.069	16345	6082	0	516
3.967	34.006	16339	3331	0	516
23.116	34.547	16334	2257	0	516
43.238	35.918	16327	646	0	516
49.405	31.879	16321	0	0	516
32.780	27.227	16318	0	0	516
3.318	25.893	16315	0	0	516
-20.375	27.660	16309	0	0	516
-17.851	29.607	16299	0	0	516
3.065	27.948	16292	0	0	516
30.220	17.202	16285	0	0	516
43.996	9.268	16278	0	0	516
38.370	8.294	16273	0	0	516
22.972	15.435	16269	0	0	516
6.960	29.066	16266	0	0	516
5.373	38.154	16259	0	0	516
13.091	39.560	16256	0	0	516
22.106	30.508	16251	176	0	516
23.368	15.110	16247	1317	0	516
13.776	-3.967	16243	2928	0	516
-2.921	-11.323	16244	6854	0	516
-8.619	-4.688	16250	13230	0	516
