neuroNicle FX2
D3F25R12
Bluetooth SPP
2023년 11월 15일 수요일
오전 10:25
time interval = 4msec
EEG1	EEG2	PPG	sdPPG	pulse	peak_interval(msec)
-114.533	-101.154	21444	16563	0	316
-121.168	-104.544	21343	16322	0	316
-132.239	-111.143	21141	15931	0	316
-137.685	-116.841	20776	15451	0	316
-138.190	-118.608	20432	14921	0	316
-127.732	-112.838	19966	14360	0	316
-118.536	-103.606	19420	13822	0	316
-114.677	-101.551	18954	13346	0	316
-121.529	-106.671	18307	12942	0	316
-130.004	-116.697	17942	12673	0	316
-134.583	-123.152	17699	12718	0	316
-135.124	-127.443	17639	13153	0	316
-131.662	-125.965	17699	13813	0	316
-139.452	-127.479	18043	14571	0	316
-150.343	-135.016	18347	15375	0	316
-166.787	-146.700	18610	16097	0	316
-173.386	-153.480	18813	16518	0	316
-170.934	-153.552	18813	16608	0	316
-161.558	-144.176	18610	16514	0	316
-149.477	-133.285	18549	16401	0	316
-141.147	-129.679	18549	16473	0	316
-143.383	-132.853	18651	16689	0	316
-155.608	-143.130	18610	16738	0	316
-172.557	-154.886	18347	16536	0	316
-189.794	-162.640	18104	16223	0	316
-199.964	-165.236	17801	15859	0	316
-191.201	-160.909	17335	15469	0	316
-171.836	-146.736	16930	15069	0	316
-146.772	-128.489	16424	14679	0	316
-128.381	-114.605	16081	14414	0	316
-122.539	-109.953	16040	14544	0	316
-129.174	-115.290	16243	15209	0	316
-135.593	-122.791	16485	16025	0	316
-139.344	-127.407	16626	16532	0	316
-134.944	-121.349	16687	16716	0	316
-129.174	-114.136	16687	16756	0	316
-124.306	-104.580	16586	16743	0	316
-117.634	-94.915	16485	16662	0	316
-106.599	-86.946	16384	16576	0	316
-96.646	-81.825	16485	16707	0	316
-94.194	-83.195	16626	17025	0	316
-105.301	-95.240	16626	17218	0	316
-124.306	-105.950	16525	17147	0	316
-141.507	-118.464	16424	16936	0	316
-148.648	-124.125	16182	16648	0	316
-147.674	-125.135	15878	16313	0	316
-140.317	-126.866	15777	16034	0	316
-136.855	-126.145	15676	16030	0	316
-139.127	-123.224	15777	16344	0	316
-139.560	-123.837	16040	16814	0	316
-147.638	-127.407	16344	17281	0	316
-158.889	-139.235	16424	17519	0	316
-170.790	-156.365	16485	17474	0	316
-181.825	-169.059	16384	17286	0	316
-183.664	-173.170	16243	17016	0	316
-177.209	-168.482	16040	16698	0	316
-160.404	-155.824	15777	16358	0	316
-143.383	-141.471	15575	16030	0	316
-134.187	-132.492	15372	15806	0	316
-133.718	-130.400	15433	15873	0	316
-141.832	-132.456	15534	16187	0	316
-149.369	-138.045	15575	16428	0	316
-153.949	-140.822	15636	16559	0	316
-151.713	-138.947	15878	16828	0	316
-149.261	-135.016	16182	17227	0	316
-145.871	-129.427	16344	17465	0	316
-143.779	-122.467	16384	17456	0	316
-138.406	-117.562	16384	17299	0	316
-131.085	-110.566	16384	17138	0	316
-124.017	-106.094	16525	17182	0	316
-120.195	-104.147	16687	17375	0	316
-117.129	-102.272	16728	17407	0	316
-118.824	-102.633	16626	17196	0	316
-121.962	-106.852	16525	16868	0	316
-129.463	-110.422	16424	16581	0	316
-131.158	-112.405	16485	16527	0	316
-130.184	-110.206	16728	16774	0	316
-122.575	-107.032	17031	17173	0	316
-114.281	-104.400	17335	17555	0	316
