neuroNicle FX2
D3F25R12
Bluetooth SPP
2023년 11월 17일 금요일
오후 1:57
time interval = 4msec
EEG1	EEG2	PPG	sdPPG	pulse	peak_interval(msec)
18.644	-14.930	16696	18817	0	416
17.995	-13.631	17165	19017	0	416
19.293	-14.966	17165	18884	0	416
14.930	-14.064	17165	18650	0	416
15.146	-15.110	17165	18383	0	416
11.215	-16.589	17165	18050	0	416
7.970	-18.644	17165	17684	0	416
5.049	-24.558	17165	17283	0	416
3.426	-27.119	16696	16784	0	416
5.193	-26.001	16384	16251	0	416
9.953	-22.431	16072	15718	0	416
13.812	-21.204	16072	15318	0	416
12.910	-18.536	15603	15051	0	416
9.340	-18.356	15291	14851	0	416
8.619	-17.526	14822	14685	0	416
14.605	-12.910	14822	14651	0	416
18.103	-7.537	14822	14951	0	416
26.109	-3.750	15291	15451	0	416
27.696	-2.524	15291	15818	0	416
30.653	-1.262	15291	16018	0	416
35.305	-0.288	15603	16417	0	416
42.120	2.705	16072	16984	0	416
46.809	3.065	16072	17283	0	416
44.176	0.216	16384	17283	0	416
33.393	-4.796	16384	17450	0	416
24.594	-12.658	16696	17850	0	416
15.975	-15.254	17165	18117	0	416
15.759	-15.795	17165	18117	0	416
16.048	-15.903	17165	17917	0	416
15.651	-15.326	17165	17517	0	416
10.710	-18.139	17165	17017	0	416
7.753	-18.680	16696	16450	0	416
7.970	-20.736	16384	15951	0	416
11.035	-18.356	16072	15451	0	416
16.913	-17.887	15603	15051	0	416
20.627	-12.730	15291	14718	0	416
21.421	-10.242	14822	14451	0	416
21.926	-5.914	14509	14184	0	416
26.253	-3.570	14041	13918	0	416
29.499	-2.705	13728	13651	0	416
32.348	-3.390	14041	13451	0	416
32.492	-4.940	13259	13418	0	416
30.689	-5.373	12947	13451	0	416
29.246	-5.373	12478	13551	0	416
30.184	-6.131	12166	13684	0	416
30.436	-6.022	11697	13918	0	416
29.174	-8.294	12478	14518	0	416
25.063	-11.360	12478	15318	0	416
19.762	-14.749	12947	16084	0	416
19.654	-15.579	13259	16850	0	416
20.447	-19.077	13728	17784	0	416
24.414	-19.401	14041	18550	0	416
23.801	-19.978	14509	18984	0	416
24.198	-16.985	15291	19184	0	416
21.818	-15.615	15603	19250	0	416
17.454	-13.631	16072	19217	0	416
14.136	-18.283	15603	19084	0	416
9.484	-23.549	15603	18884	0	416
6.960	-27.299	15603	18584	0	416
10.927	-25.893	15603	18183	1	844
16.192	-18.536	15603	17717	0	844
23.404	-12.550	15291	17250	0	844
25.135	-7.609	15291	16850	0	844
23.224	-10.602	14822	16517	0	844
17.815	-14.100	14509	16251	0	844
14.100	-16.084	14509	16051	0	844
13.091	-15.795	14509	16151	0	844
15.651	-11.504	14822	16384	0	844
19.041	-7.681	14822	16584	0	844
22.142	-10.530	14822	16684	0	844
20.195	-14.894	15291	16984	0	844
16.336	-18.860	16072	17450	0	844
10.602	-22.034	16384	17684	0	844
8.006	-20.411	16384	17750	0	844
7.176	-18.933	16696	18017	0	844
9.196	-21.818	17477	18417	0	844
11.648	-23.801	17165	18484	0	844
14.894	-25.965	17165	18250	0	844
13.343	-28.597	17477	17917	0	844
11.468	-29.823	17477	17584	0	844
5.734	-31.735	17165	17184	0	844
-2.092	-35.016	17165	16684	0	844
-5.013	-36.711	16696	16151	0	844
-7.285	-36.314	16384	15651	0	844
-5.337	-35.088	16384	15218	0	844
-1.983	-31.590	16072	14851	0	844
2.524	-26.686	15603	14551	0	844
9.160	-22.178	15291	14251	0	844
17.743	-20.519	14822	13918	0	844
23.657	-19.654	14509	13551	0	844
25.712	-23.837	14041	13284	0	844
24.991	-23.512	14041	13218	0	844
16.733	-22.611	13728	13251	0	844
13.018	-20.988	13259	13251	0	844
9.701	-15.687	12947	13351	0	844
14.281	-14.785	12947	13751	0	844
18.572	-13.487	12947	14451	0	844
18.320	-16.985	13259	15118	0	844
15.651	-20.808	14041	15718	0	844
9.160	-26.217	14041	16417	0	844
5.878	-27.551	14822	17317	0	844
9.881	-26.902	15291	18017	0	844
14.028	-27.948	15603	18550	0	844
16.661	-30.040	16384	19150	0	844
14.208	-34.043	17165	19883	0	844
11.107	-36.783	17477	20383	0	844
8.439	-36.278	17946	20484	0	844
4.868	-33.321	18259	20383	0	844
5.229	-30.472	18259	20150	0	844
6.491	-29.535	18727	19783	0	844
10.566	-25.856	18259	19284	0	844
14.641	-23.729	18259	18650	0	844
14.461	-22.142	18259	18017	0	844
10.891	-22.395	17946	17417	0	844
13.379	-20.700	17946	16850	0	844
21.060	-16.012	17477	16351	0	844
36.062	-6.563	17477	15851	0	844
46.953	1.190	17165	15284	0	844
49.549	1.803	16696	14818	0	844
43.887	-4.364	16384	14518	0	844
35.233	-10.746	16696	14618	0	844
32.239	-14.641	16696	14951	0	844
33.033	-12.405	16696	15218	0	844
34.944	-8.619	16696	15351	0	844
35.737	-8.907	17165	15684	0	844
29.931	-17.129	17477	16184	0	844
20.555	-24.702	17477	16450	0	844
11.576	-32.023	17946	16550	0	844
6.203	-35.846	17946	16750	0	844
5.590	-35.521	18259	17050	0	844
5.409	-37.577	18259	17217	0	844
3.931	-38.731	18259	17150	0	844
0.288	-40.389	18259	17017	0	844
1.334	-38.731	18259	16784	0	844
2.524	-34.656	18259	16484	0	844
6.527	-30.869	17946	16184	0	844
7.068	-29.715	17946	15851	0	844
4.652	-30.256	17477	15518	0	844
3.101	-29.138	17477	15151	1	316
5.229	-28.994	17165	14718	0	316
10.169	-22.972	16384	14284	0	316
13.018	-18.139	16072	13884	0	316
16.697	-16.336	15603	13551	0	316
13.415	-16.589	15291	13284	0	316
8.835	-23.657	14822	13151	0	316
1.731	-30.292	14509	13418	0	316
-6.671	-38.190	14509	13918	0	316
-15.759	-42.481	14509	14385	0	316
-20.014	-43.960	14509	14718	0	316
-20.411	-39.091	14822	15351	0	316
-13.523	-33.285	15603	16450	0	316
-6.671	-28.777	16072	17584	0	316
-1.695	-33.393	16696	18383	0	316
-3.931	-39.127	17477	19084	0	316
-9.953	-48.864	17946	19817	0	316
-14.677	-50.270	18727	20317	0	316
-16.012	-47.602	19040	20484	0	316
-12.658	-41.507	19509	20317	0	316
-9.232	-40.137	19509	19917	0	316
-8.583	-39.488	19509	19450	0	316
-7.429	-38.658	19821	18950	0	316
-2.128	-33.429	19040	18383	0	316
3.065	-23.296	19040	17784	0	316
8.330	-13.235	18727	17117	0	316
7.717	-6.419	18727	16450	0	316
3.137	-8.186	18259	15885	0	316
-3.101	-16.589	17946	15385	0	316
-5.013	-21.385	17477	14884	0	316
-0.144	-22.935	17165	14451	0	316
5.914	-16.949	17165	14184	0	316
9.845	-14.533	16696	14251	0	316
7.104	-16.192	16696	14551	0	316
0.361	-25.604	16696	14718	0	316
-7.862	-34.547	16696	14751	0	316
-11.071	-36.134	16696	14951	0	316
-11.179	-35.918	17165	15318	0	316
