neuroNicle FX2
D3F25R12
Bluetooth SPP
2023년 11월 18일 토요일
오후 1:49
time interval = 4msec
EEG1	EEG2	PPG	sdPPG	pulse	peak_interval(msec)
45.871	10.169	16364	18828	0	668
41.760	13.127	16365	19045	0	668
39.957	15.326	16367	19037	0	668
40.209	15.326	16367	18899	0	668
43.022	14.930	16369	18841	0	668
41.111	10.999	16370	18903	0	668
35.882	8.222	16372	18983	1	568
31.807	7.970	16375	19059	0	568
33.141	9.845	16377	19147	0	568
41.003	13.884	16379	19218	0	568
53.300	18.464	16381	19254	0	568
61.846	18.716	16384	19352	0	568
62.459	18.644	16386	19565	0	568
59.070	14.569	16389	19715	0	568
53.552	14.425	16391	19635	0	568
50.811	14.172	16393	19405	0	568
51.208	18.211	16395	19156	0	568
52.218	19.510	16396	18935	0	568
53.444	21.601	16397	18686	0	568
51.749	20.700	16399	18344	0	568
49.982	22.142	16399	17919	0	568
45.835	21.781	16399	17515	0	568
43.094	20.808	16400	17218	0	568
39.055	20.159	16400	17018	0	568
35.593	14.028	16401	16854	0	568
31.194	8.691	16402	16676	0	568
27.227	3.137	16403	16543	0	568
28.669	2.705	16404	16490	0	568
32.600	7.285	16406	16503	0	568
39.921	14.425	16407	16508	0	568
47.674	23.152	16407	16432	0	568
51.497	26.217	16408	16327	0	568
50.559	27.047	16409	16251	0	568
50.847	28.777	16410	16225	0	568
53.841	30.941	16411	16220	0	568
59.719	33.574	16412	16234	0	568
66.895	35.233	16413	16256	0	568
70.970	35.521	16415	16265	0	568
67.761	30.400	16415	16243	0	568
59.106	26.253	16416	16220	0	568
53.805	23.981	16417	16180	0	568
53.588	26.650	16417	16105	0	568
59.502	31.915	16418	16003	0	568
65.200	37.901	16417	15843	0	568
68.301	44.356	16417	15617	0	568
65.957	44.212	16417	15453	0	568
63.181	42.589	16417	15453	0	568
60.692	40.714	16417	15457	0	568
60.188	37.937	16416	15275	0	568
56.690	32.456	16415	14978	0	568
50.847	26.650	16414	14730	0	568
44.428	21.601	16412	14534	0	568
39.524	19.546	16410	14237	0	568
37.468	17.129	16407	13838	0	568
37.505	17.743	16405	13532	0	568
38.045	14.677	16403	13399	0	568
38.983	14.172	16401	13403	0	568
40.966	15.110	16400	13523	0	568
43.707	19.257	16399	13696	0	568
47.710	24.558	16398	13860	0	568
51.244	28.669	16397	14038	0	568
53.336	31.843	16396	14242	0	568
54.382	31.879	16396	14432	0	568
54.886	34.583	16394	14610	0	568
56.076	36.495	16394	14810	0	568
58.060	38.442	16394	15054	0	568
59.683	42.048	16394	15324	0	568
62.820	42.697	16394	15639	0	568
63.649	40.317	16394	15976	0	568
64.371	36.062	16395	16282	0	568
65.308	32.780	16395	16525	0	568
63.361	32.528	16396	16703	0	568
61.810	33.718	16396	16849	0	568
59.250	35.052	16396	17013	0	568
57.771	33.466	16396	17160	0	568
