neuroNicle FX2
D3F25R12
Bluetooth SPP
2023년 11월 16일 목요일
오전 11:03
time interval = 4msec
EEG1	EEG2	PPG	sdPPG	pulse	peak_interval(msec)
-114.461	-105.734	17904	18361	1	856
-113.018	-103.354	17841	17857	0	856
-113.163	-101.659	17778	17114	0	856
-115.723	-105.734	17740	16540	0	856
-120.591	-110.891	17778	16350	0	856
-121.168	-110.566	17803	16234	0	856
-116.048	-105.337	17740	15961	0	856
-110.638	-96.538	17728	15619	0	856
-104.147	-91.958	17715	15398	0	856
-101.046	-91.129	17740	15340	0	856
-102.705	-95.420	17740	15323	0	856
-101.803	-97.981	17728	15230	0	856
-101.695	-96.033	17703	15085	0	856
-101.479	-92.535	17740	15045	0	856
-103.426	-92.860	17778	15201	0	856
-108.222	-93.869	17891	15480	0	856
-113.631	-99.351	17954	15723	0	856
-117.454	-103.895	18042	15886	0	856
-118.788	-103.318	18117	16048	0	856
-117.021	-102.056	18155	16123	0	856
-116.877	-102.164	18167	16042	0	856
-119.077	-106.816	18180	15978	0	856
-121.132	-110.746	18230	16019	0	856
-123.585	-109.737	18293	16123	0	856
-117.382	-103.354	18394	16309	0	856
-111.071	-95.240	18519	16552	0	856
-107.429	-91.489	18607	16807	0	856
-109.304	-96.718	18783	17056	0	856
-115.471	-104.183	18934	17317	0	856
-119.546	-106.852	19097	17602	0	856
-116.805	-103.137	19311	17897	0	856
-110.963	-98.269	19487	18153	0	856
-106.527	-93.437	19662	18286	0	856
-104.508	-90.840	19801	18298	0	856
-103.029	-90.696	19939	18280	0	856
-102.705	-87.739	20090	18286	0	856
-100.541	-88.532	20215	18269	0	856
-102.452	-91.237	20253	18054	0	856
-105.049	-96.682	20190	17532	0	856
-108.799	-100.938	20090	16859	0	856
-107.032	-98.233	20052	16344	0	856
-103.462	-92.391	20027	16048	0	856
-96.971	-87.450	20027	15891	0	856
-93.545	-82.510	20027	15804	0	856
-90.011	-82.871	19989	15688	0	856
-87.450	-85.287	19964	15497	0	856
-90.083	-87.126	19926	15317	0	856
-92.715	-93.292	19914	15219	0	856
-100.397	-97.692	19876	15178	0	856
-108.330	-102.200	19851	15097	0	856
-112.117	-105.265	19750	14888	0	856
-111.828	-104.255	19662	14627	0	856
-107.140	-102.957	19562	14465	0	856
-104.183	-101.551	19524	14453	0	856
-104.364	-101.515	19461	14505	0	856
-107.429	-101.587	19411	14511	0	856
-111.215	-103.534	19273	14424	0	856
-115.002	-106.239	19122	14244	0	856
-118.283	-108.835	18971	14001	0	856
-124.414	-113.920	18808	13786	0	856
-131.735	-121.818	18620	13681	0	856
-138.226	-126.866	18532	13681	0	856
-137.360	-128.453	18431	13838	0	856
-131.338	-125.460	18419	14146	0	856
-122.070	-116.552	18431	14557	0	856
-117.959	-114.281	18456	14969	0	856
-120.159	-116.120	18456	15340	0	856
-127.010	-120.736	18532	15735	0	856
-131.626	-125.748	18607	16205	0	856
-127.119	-120.772	18733	16679	0	856
-119.221	-109.484	18796	17080	0	856
-107.609	-97.404	18896	17312	0	856
-101.082	-88.424	18909	17387	0	856
-97.151	-85.683	18909	17381	0	856
-92.066	-82.041	18934	17387	0	856
-82.510	-78.543	18921	17399	0	856
-76.307	-72.557	18896	17283	0	856
-71.655	-67.761	18733	16882	0	856
-73.603	-68.518	18557	16292	0	856
-77.173	-68.049	18406	15822	0	856
-77.245	-68.049	18243	15567	0	856
-72.809	-63.613	18117	15381	0	856
-67.652	-56.401	17979	15219	0	856
-59.899	-52.542	17853	15091	0	856
-53.949	-46.989	17765	15010	0	856
-45.691	-40.029	17615	14934	0	856
-38.875	-35.954	17476	14830	0	856
-35.665	-33.682	17363	14743	0	856
-35.485	-32.528	17175	14668	0	856
-38.658	-35.305	17024	14505	0	856
-42.697	-36.134	16798	14262	0	856
-44.428	-36.026	16597	14070	0	856
-44.753	-35.485	16409	13983	0	856
-46.484	-37.613	16221	13931	0	856
-49.910	-39.812	16033	13884	0	856
-52.506	-46.015	15857	13890	0	856
-58.168	-51.352	15731	14024	0	856
-60.440	-55.031	15631	14302	0	856
-63.181	-57.339	15593	14691	0	856
-68.301	-60.512	15555	15079	0	856
-73.242	-62.604	15480	15358	0	856
-79.589	-70.213	15379	15485	0	856
-83.087	-77.642	15304	15567	0	856
-87.414	-83.087	15229	15746	0	856
-90.840	-87.811	15178	16002	0	856
-98.485	-91.886	15153	16216	0	856
-105.842	-97.295	15103	16407	0	856
-111.323	-100.252	15116	16633	0	856
-111.396	-101.551	15116	16882	0	856
-108.763	-100.757	15091	17114	0	856
-107.537	-99.712	15128	17312	0	856
-107.032	-99.964	15153	17515	0	856
-111.828	-102.633	15216	17741	0	856
-117.274	-108.511	15279	17996	0	856
-125.640	-113.451	15367	18251	0	856
-129.499	-117.057	15430	18443	0	856
-130.725	-118.644	15530	18576	0	856
-129.427	-119.329	15606	18721	0	856
-126.506	-118.139	15756	18918	0	856
-126.001	-118.392	15869	19104	0	856
-122.106	-115.362	15982	19174	0	856
-118.103	-109.665	16058	19133	0	856
-111.251	-105.085	16121	19029	0	856
-106.671	-102.669	16171	18854	0	856
-107.104	-104.508	16234	18651	0	856
-109.484	-106.491	16284	18512	1	500
-108.727	-105.698	16347	18431	0	500
-108.078	-101.370	16396	18344	0	500
-101.406	-95.709	16446	18211	0	500
-95.997	-90.840	16471	18013	0	500
-89.254	-84.313	16509	17776	0	500
-85.142	-78.976	16484	17526	0	500
-78.687	-71.511	16509	17265	0	500
-70.826	-63.397	16471	16969	0	500
-61.197	-54.237	16421	16656	0	500
-50.126	-45.366	16372	16350	0	500
-35.810	-31.915	16309	16060	0	500
-24.775	-20.411	16221	15764	0	500
-17.418	-10.386	16108	15404	0	500
-8.475	-2.669	15945	15004	0	500
-1.587	5.301	15807	14668	0	500
4.940	13.559	15681	14436	0	500
10.710	22.358	15555	14279	0	500
12.045	27.443	15430	14140	0	500
11.360	28.705	15279	13995	0	500
8.619	26.397	15166	13919	0	500
8.691	25.027	15103	13977	0	500
11.215	27.191	15040	14192	0	500
21.096	36.134	15040	14482	0	500
30.292	43.671	15040	14772	0	500
34.115	47.241	15091	15114	0	500
29.931	40.173	15116	15526	0	500
18.897	28.381	15191	15909	0	500
8.150	17.670	15241	16210	0	500
6.275	16.300	15279	16447	0	500
16.985	25.965	15342	16668	0	500
25.352	37.973	15405	16906	0	500
27.696	41.940	15530	17190	0	500
23.260	35.918	15606	17486	0	500
10.314	24.017	15681	17654	0	500
3.210	14.100	15618	17526	0	500
3.570	14.533	15593	17219	0	500
10.386	21.277	15568	17051	0	500
20.519	35.341	15606	17085	0	500
30.472	44.464	15631	17138	0	500
36.639	47.999	15656	17161	0	500
36.928	46.917	15694	17155	0	500
30.472	39.163	15668	17080	0	500
18.464	26.037	15681	16981	0	500
0.829	14.281	15719	16958	0	500
-15.074	0.144	15744	17016	0	500
-29.715	-11.792	15756	17016	0	500
-39.668	-25.712	15744	16894	0	500
-54.562	-37.468	15719	16703	0	500
-72.340	-58.637	15694	16529	0	500
-101.983	-84.782	15631	16384	0	500
-136.928	-119.113	15606	16257	0	500
-175.875	-155.427	15543	16106	0	500
-214.894	-195.889	15480	15938	0	500
-253.444	-234.511	15417	15793	0	500
-292.247	-272.232	15379	15723	0	500
-331.879	-307.862	15317	15688	0	500
-365.164	-342.986	15279	15596	0	500
-398.521	-374.107	15191	15445	0	500
-432.564	-406.852	15128	15410	0	500
-476.415	-450.415	15166	15561	0	500
-535.810	-508.763	15178	15770	0	500
-590.840	-583.520	15128	15886	0	500
-590.840	-590.840	15128	15880	0	500
-590.840	-590.840	15091	15845	0	500
-590.840	-590.840	15065	15868	0	500
-590.840	-590.840	15040	15932	0	500
-590.840	-590.840	15040	16013	0	500
-590.840	-590.840	15040	16100	0	500
-590.840	-590.840	15053	16199	0	500
-590.840	-590.840	15040	16292	0	500
-590.840	-590.840	15091	16407	0	500
-590.840	-590.840	15116	16563	0	500
-590.840	-590.840	15103	16668	0	500
-590.840	-590.840	15153	16714	0	500
-590.840	-590.840	15178	16790	0	500
-590.840	-590.840	15254	16981	0	500
-590.840	-590.840	15367	17254	0	500
-590.840	-590.840	15430	17433	0	500
-590.840	-590.840	15417	17364	0	500
-484.710	-524.775	15417	17161	0	500
-367.616	-406.563	15442	17109	0	500
-261.233	-299.712	15530	17219	0	500
-178.435	-219.726	15593	17346	0	500
-119.293	-157.230	15694	17462	0	500
-80.851	-115.038	15781	17590	0	500
-64.659	-95.132	15882	17700	0	500
-71.114	-99.026	15982	17799	0	500
-103.534	-131.122	16121	17915	0	500
-155.536	-179.300	16246	18054	0	500
-208.222	-227.551	16347	18129	0	500
-252.001	-263.036	16396	18037	0	500
-281.897	-289.939	16446	17828	0	500
-308.150	-316.012	16446	17602	0	500
-336.242	-346.195	16372	17201	0	500
-360.656	-371.799	16221	16523	0	500
-361.089	-373.783	16045	15822	0	500
-321.601	-332.456	15920	15340	0	500
-244.789	-251.713	15819	15108	0	500
-149.441	-155.716	15819	15091	0	500
-69.816	-71.872	15819	15265	0	500
-17.743	-19.185	15882	15543	0	500
4.075	2.524	15995	15822	0	500
13.920	13.956	16108	16158	0	500
34.006	36.026	16259	16604	0	500
70.934	73.783	16471	17097	0	500
119.401	123.909	16660	17549	0	500
173.819	177.786	16848	17915	0	500
222.683	226.470	17074	18222	0	500
260.837	266.823	17288	18541	0	500
293.473	301.442	17539	18878	0	500
321.277	332.672	17765	19168	0	500
352.326	363.469	18017	19371	0	500
393.761	402.633	18268	19556	0	500
442.986	450.956	18544	19765	0	500
492.932	501.334	18846	20038	0	500
524.270	535.160	19185	20339	0	500
521.709	537.324	19499	20577	0	500
486.946	507.717	19813	20693	0	500
434.403	459.611	20102	20687	0	500
384.602	415.038	20366	20600	0	500
350.451	382.762	20592	20421	0	500
332.600	364.407	20793	20107	0	500
326.542	357.988	20931	19690	1	492
327.587	357.303	21057	19220	0	492
346.736	374.648	21132	18692	0	492
384.926	412.297	21170	18118	0	492
446.592	475.189	21233	17532	0	492
527.948	555.716	21245	16998	0	492
590.804	590.804	21245	16529	0	492
590.804	590.804	21283	16112	0	492
590.804	590.804	21245	15694	0	492
590.804	590.804	21220	15277	0	492
