neuroNicle FX2
D3F25R12
Bluetooth SPP
2023년 11월 2일 목요일
오전 10:32
time interval = 4msec
EEG1	EEG2	PPG	sdPPG	pulse	peak_interval(msec)
-21.962	-18.320	16525	16708	0	684
-25.604	-19.798	16507	16122	0	684
-25.856	-18.500	16480	15412	0	684
-20.555	-17.706	16467	14980	0	684
-13.631	-15.687	16453	14780	0	684
-10.278	-13.091	16435	14641	0	684
-12.766	-13.415	16417	14471	0	684
-17.851	-13.415	16406	14347	0	684
-25.243	-16.156	16390	14332	0	684
-24.955	-17.959	16382	14378	0	684
-20.880	-21.818	16367	14378	0	684
-17.995	-20.772	16355	14317	0	684
-15.687	-18.392	16337	14317	0	684
-17.634	-11.287	16328	14548	0	684
-15.507	-6.816	16328	15011	0	684
-11.504	-2.813	16326	15551	0	684
-4.183	-0.180	16322	15952	0	684
0.108	0.829	16322	16138	0	684
-3.678	-1.803	16310	16246	0	684
-11.396	-8.042	16313	16507	0	684
-19.690	-13.127	16313	16985	0	684
-21.529	-17.995	16317	17371	0	684
-14.136	-15.615	16313	17541	0	684
-3.101	-10.133	16313	17634	0	684
4.724	-4.868	16313	17788	0	684
4.364	-3.714	16315	18035	0	684
-4.724	-6.275	16317	18174	0	684
-16.336	-9.881	16299	17772	0	684
-21.168	-17.021	16281	16908	0	684
-18.356	-16.661	16268	16184	0	684
-12.117	-10.927	16250	15844	0	684
-2.019	-4.472	16238	15613	0	684
2.596	2.560	16223	15397	0	684
0.469	3.318	16216	15304	0	684
-7.393	-0.541	16200	15227	0	684
-16.516	-8.006	16182	14857	0	684
-23.044	-11.323	16155	14162	0	684
-21.132	-9.232	16135	13591	0	684
-13.848	-4.183	16110	13221	0	684
-3.137	4.183	16076	12665	0	684
4.760	13.523	16045	11986	0	684
6.131	16.589	16018	11570	0	684
3.606	10.350	15998	11523	0	684
-2.056	2.669	15968	11601	0	684
-7.176	-4.904	15941	11462	0	684
-6.491	-4.111	15917	11230	0	684
-0.325	5.698	15890	11292	0	684
9.016	17.129	15876	11755	0	684
16.805	21.601	15872	12526	0	684
22.214	22.683	15865	13375	0	684
21.601	15.471	15856	14054	0	684
16.877	11.612	15838	14425	0	684
6.852	6.924	15811	14116	0	684
-4.436	3.787	15775	13314	0	684
-9.556	3.967	15750	12897	0	684
-6.167	8.871	15730	13113	0	684
6.960	16.444	15716	13607	0	684
17.670	23.945	15714	14347	0	684
24.666	28.741	15719	15428	0	684
23.260	30.436	15728	16630	0	684
18.211	29.931	15737	17695	0	684
13.199	28.705	15750	18667	0	684
13.776	29.138	15766	19748	0	684
16.120	28.994	15795	20967	0	684
24.378	32.456	15822	22124	0	684
33.466	37.324	15845	22988	0	684
37.721	40.822	15865	23513	0	684
38.586	41.652	15894	23945	0	684
35.701	37.432	15919	24454	0	684
34.764	36.711	15953	25010	0	684
36.531	37.324	15977	25396	0	684
39.272	40.678	16002	25488	0	684
39.308	43.527	16025	25427	0	684
38.442	41.399	16054	25350	0	684
38.154	40.317	16079	25211	0	684
41.471	37.613	16101	24933	0	684
42.770	35.449	16119	24516	1	764
37.901	32.708	16142	24069	0	764
33.321	27.443	16160	23606	0	764
24.666	24.234	16171	23050	0	764
19.726	23.801	16187	22309	0	764
19.978	24.089	16191	21399	0	764
18.608	24.594	16198	20396	0	764
20.375	25.424	16198	19377	0	764
20.231	22.972	16191	18390	0	764
23.873	26.253	16187	17371	0	764
26.974	30.869	16182	16384	0	764
27.371	32.456	16169	15520	0	764
25.388	31.446	16157	14610	0	764
23.224	26.686	16144	13591	0	764
18.608	19.473	16124	12743	0	764
15.146	16.625	16112	12141	0	764
11.576	13.668	16090	11400	0	764
10.133	15.831	16054	10258	0	764
8.547	15.038	16031	9317	0	764
8.475	14.461	16025	9347	0	764
7.753	13.956	16029	10289	0	764
6.996	13.451	16040	11539	0	764
4.472	15.723	16056	12758	0	764
3.895	15.038	16070	13823	0	764
6.563	16.408	16090	14810	0	764
7.970	15.074	16112	15829	0	764
11.071	14.136	16135	16862	0	764
12.081	15.867	16164	17850	0	764
8.943	15.435	16191	18775	0	764
4.544	15.398	16216	19655	0	764
2.777	11.071	16250	20488	0	764
6.455	8.078	16288	21353	0	764
15.146	9.773	16324	22232	0	764
21.637	13.559	16351	22711	0	764
22.070	17.526	16362	22387	0	764
16.805	19.185	16371	21569	0	764
9.268	15.435	16388	21183	0	764
5.734	15.038	16413	21368	0	764
8.078	13.559	16440	21553	0	764
14.533	15.903	16467	21615	0	764
18.644	15.110	16491	21769	0	764
21.096	14.461	16530	22047	0	764
17.562	9.124	16559	22294	0	764
11.143	6.671	16602	22603	0	764
4.580	5.445	16638	23035	0	764
1.875	6.960	16680	23421	0	764
4.400	10.674	16723	23637	0	764
7.393	11.756	16761	23745	0	764
8.691	10.386	16793	23683	0	764
11.540	7.717	16829	23405	0	764
11.504	6.419	16856	22865	0	764
12.441	7.140	16869	21954	0	764
13.559	9.124	16881	20813	0	764
8.114	8.835	16896	19825	0	764
1.587	5.554	16908	19084	0	764
-3.462	3.678	16919	18359	0	764
-2.200	4.832	16926	17541	0	764
3.895	7.970	16935	16785	0	764
10.025	8.330	16941	16261	0	764
10.242	8.366	16964	16060	0	764
4.291	5.193	16980	16076	0	764
-4.904	1.983	16991	15952	0	764
-6.022	1.190	17004	15613	0	764
-3.787	1.551	17025	15551	0	764
1.983	3.101	17047	15844	0	764
8.511	4.724	17065	16076	0	764
10.386	6.563	17081	16107	0	764
8.799	7.501	17094	15875	0	764
2.741	5.337	17103	15567	0	764
-4.796	1.767	17117	15397	0	764
-11.468	-1.695	17121	15351	0	764
-11.468	1.623	17132	15134	0	764
-4.183	6.708	17132	14672	0	764
8.511	15.182	17132	14317	0	764
16.408	19.726	17144	14286	0	764
12.910	13.235	17153	14394	0	764
1.947	2.488	17159	14378	0	764
-11.396	-9.809	17159	14116	0	764
-19.005	-14.533	17153	13715	0	764
-12.117	-5.409	17153	13406	0	764
0.865	12.369	17153	13344	0	764
17.815	28.669	17159	13499	0	764
23.801	36.459	17153	13437	0	764
23.152	33.429	17126	12588	0	764
14.245	22.142	17094	11230	0	764
11.432	16.949	17074	10335	0	764
12.261	16.516	17061	10196	0	764
22.827	24.017	17043	10304	0	764
32.312	31.410	17031	10412	0	764
37.036	36.170	17020	10536	0	764
35.485	36.891	17009	10736	0	764
31.194	34.620	16998	11030	0	764
26.253	30.256	16991	11323	0	764
24.270	26.001	16982	11631	0	764
22.791	23.008	16973	11955	0	764
20.303	20.988	16959	12202	0	764
18.500	22.106	16957	12434	0	764
17.238	28.381	16959	13144	0	764
20.267	33.285	16971	14363	0	764
22.972	33.934	16980	15366	0	764
22.106	26.181	16980	15860	0	764
18.644	13.343	16980	16107	0	764
9.448	3.606	16980	16292	0	764
5.662	3.967	16980	16430	0	764
7.862	14.425	16971	16445	0	764
16.192	27.227	16953	16153	0	764
22.683	35.052	16941	15675	0	764
25.027	32.167	16937	15597	0	764
17.851	23.873	16937	15968	0	764
7.465	11.251	16928	16199	0	764
-0.505	2.236	16919	16107	0	764
-2.416	-2.019	16912	15783	0	764
1.947	0.108	16892	15412	0	764
8.294	5.085	16883	15181	0	764
11.396	10.638	16869	15104	0	764
11.035	11.179	16856	14918	0	764
1.118	9.340	16833	14486	0	764
-11.179	0.288	16813	14008	0	764
-21.890	-11.973	16788	13684	0	764
-28.417	-23.296	16777	13545	0	764
-25.279	-25.929	16757	13499	0	764
-12.982	-18.608	16739	13422	0	764
-2.344	-8.042	16723	13391	0	764
0.252	-5.662	16714	13591	0	764
-9.592	-20.916	16712	14101	0	764
-26.794	-48.648	16705	14702	0	764
-45.691	-73.783	16701	15088	0	764
-55.788	-83.808	16694	15335	0	764
-58.565	-80.563	16694	15752	0	764
-59.178	-71.259	16701	16399	0	764
-59.863	-67.039	16705	17109	0	764
-62.351	-69.383	16703	17448	0	764
-63.145	-71.655	16678	16924	0	764
-61.522	-69.383	16633	15366	0	764
-57.916	-63.000	16590	13576	0	764
-56.942	-58.493	16552	12480	0	764
-58.420	-57.735	16521	12033	0	764
-60.079	-63.722	16489	11801	0	764
-61.089	-65.344	16467	11786	0	764
-58.132	-62.532	16451	12017	0	764
-51.641	-51.929	16440	12588	0	764
-49.730	-44.897	16440	13530	0	764
-49.982	-42.914	16451	14718	0	764
-56.004	-46.520	16451	15721	0	764
-59.971	-55.067	16446	16230	0	764
-60.079	-57.771	16440	16292	0	764
-53.552	-58.709	16422	16261	0	764
-47.458	-57.663	16413	16292	0	764
-45.835	-59.827	16401	16276	0	764
-51.785	-62.532	16386	16091	0	764
-56.834	-64.010	16373	15906	0	764
-58.925	-59.394	16378	16276	0	764
-55.788	-53.660	16382	17124	0	764
-51.244	-51.821	16384	17803	0	764
-53.949	-51.388	16382	18019	0	764
-55.860	-55.572	16373	17880	0	764
-59.286	-55.355	16367	17664	0	764
-51.641	-52.759	16362	17572	0	764
-42.445	-45.835	16355	17618	0	764
-36.531	-44.356	16344	17510	0	764
-37.541	-47.133	16335	17155	0	764
-44.645	-50.234	16328	17016	0	764
-48.215	-48.503	16328	17309	0	764
