neuroNicle FX2
D3F25R12
Bluetooth SPP
2023년 11월 4일 토요일
오후 7:07
time interval = 4msec
EEG1	EEG2	PPG	sdPPG	pulse	peak_interval(msec)
-61.269	-41.039	13588	20052	0	608
-63.181	-44.501	14147	19992	0	608
-65.849	-53.155	14571	19853	0	608
-68.374	-61.918	14995	19692	0	608
-70.609	-64.912	15368	19488	0	608
-72.881	-65.597	15757	19262	1	612
-74.107	-66.318	16130	19074	0	612
-77.281	-65.813	16502	18911	0	612
-79.445	-66.462	16892	18745	0	612
-77.461	-66.823	17265	18587	0	612
-71.259	-66.210	17739	18467	0	612
-64.731	-65.957	18197	18366	0	612
-60.981	-64.587	18451	18195	0	612
-63.325	-62.856	18706	17892	0	612
-71.763	-60.765	18841	17525	0	612
-78.976	-61.810	19095	17236	0	612
-81.176	-64.263	19265	17056	0	612
-77.497	-64.587	19553	16904	0	612
-67.220	-64.010	19773	16754	0	612
-58.853	-57.014	19977	16631	0	612
-52.975	-52.542	20282	16539	0	612
-56.690	-46.520	20485	16457	0	612
-62.676	-47.458	20739	16382	0	612
-66.066	-48.648	20994	16316	0	612
-67.111	-50.090	21163	16246	0	612
-61.017	-52.362	21333	16142	0	612
-55.283	-52.254	21417	16011	0	612
-54.345	-54.418	21638	15946	0	612
-59.034	-53.588	21926	16001	0	612
-64.623	-50.379	22231	16101	0	612
-63.686	-41.363	22434	16129	0	612
-56.329	-30.797	22519	16060	0	612
-43.274	-23.188	22739	15962	0	612
-31.446	-20.519	22773	15870	0	612
-28.453	-19.906	22858	15780	0	612
-30.653	-21.890	22858	15676	0	612
-36.711	-23.404	22909	15559	0	612
-40.245	-20.988	22824	15450	0	612
-41.111	-23.837	22858	15366	0	612
-40.606	-24.450	22858	15306	0	612
-39.849	-26.361	22824	15262	0	612
-39.163	-26.109	22739	15178	0	612
-37.901	-24.847	22570	14998	0	612
-35.521	-22.034	22316	14772	0	612
-36.314	-21.818	22095	14628	0	612
-36.711	-22.719	21977	14595	0	612
-39.163	-19.077	21841	14614	0	612
-35.269	-14.785	21756	14663	0	612
-27.010	-8.583	21672	14737	0	612
-19.834	-4.400	21587	14829	0	612
-14.389	-4.580	21502	14928	0	612
-17.202	-8.511	21468	15007	0	612
-20.159	-10.530	21333	15066	0	612
-21.385	-10.819	21214	15105	0	612
-20.447	-8.439	20994	15080	0	612
-17.454	-9.124	20824	15034	0	612
-17.021	-8.691	20739	15110	0	612
-15.218	-7.321	20739	15328	0	612
-18.536	-4.904	20706	15513	0	612
-18.716	-3.895	20570	15559	0	612
-19.257	-2.344	20400	15527	0	612
-18.356	-4.904	20282	15510	0	612
-17.129	-9.052	20146	15551	0	612
-15.615	-12.261	20028	15638	0	612
-19.185	-10.314	19977	15742	0	612
-23.116	-11.143	19892	15818	0	612
-26.686	-7.573	19807	15883	0	612
-27.119	-5.013	19722	15984	0	612
-24.630	-3.570	19689	16085	0	612
-24.198	-6.239	19638	16142	0	612
-26.758	-7.104	19468	16142	0	612
-27.984	-9.268	19384	16107	0	612
-28.417	-7.934	19180	16074	0	612
-23.837	-3.534	19011	16052	0	612
-18.644	3.390	18875	16028	0	612
-11.828	8.222	18672	15981	0	612
-9.520	9.376	18502	15924	0	612
-7.429	8.150	18282	15889	0	612
-6.131	3.462	18163	15886	0	612
-3.678	1.262	18028	15908	0	612
-4.580	6.203	17858	15932	0	612
-4.219	13.379	17689	15951	0	612
-4.580	19.870	17485	15913	0	612
