neuroNicle FX2
D3F25R12
Bluetooth SPP
2023년 11월 19일 일요일
오후 1:47
time interval = 4msec
EEG1	EEG2	PPG	sdPPG	pulse	peak_interval(msec)
-47.169	-39.668	16384	16382	0	544
-43.996	-37.721	16384	16460	0	544
-37.000	-34.223	16384	16511	0	544
-31.049	-29.643	16384	16582	0	544
-26.974	-27.083	16385	16673	0	544
-27.371	-26.289	16385	16730	0	544
-25.352	-25.135	16385	16735	0	544
-22.070	-23.837	16386	16712	0	544
-19.654	-21.781	16386	16676	0	544
-17.021	-17.743	16386	16625	0	544
-17.598	-19.041	16385	16565	0	544
-20.231	-21.709	16385	16494	0	544
-25.712	-25.676	16385	16420	0	544
-26.001	-26.001	16384	16350	0	544
-23.440	-24.486	16384	16280	0	544
-20.339	-17.382	16384	16214	0	544
-15.002	-14.353	16384	16152	0	544
-17.021	-13.235	16383	16090	0	544
-20.700	-19.149	16383	16038	0	544
-28.092	-24.811	16383	16013	0	544
-34.331	-28.669	16383	16041	0	544
-40.029	-30.833	16383	16115	0	544
-42.661	-32.997	16383	16177	0	544
-41.688	-31.266	16383	16223	0	544
-37.000	-29.859	16383	16311	0	544
-29.931	-24.522	16384	16457	0	544
-21.457	-18.680	16384	16613	0	544
-19.365	-13.271	16385	16718	0	544
-20.050	-16.120	16386	16800	0	544
-23.404	-19.834	16386	16883	0	544
-27.119	-24.883	16387	16925	0	544
-25.027	-26.397	16387	16908	0	544
-22.395	-22.935	16387	16857	0	544
-20.736	-21.890	16387	16786	0	544
-20.483	-18.283	16387	16704	0	544
-23.621	-18.933	16387	16616	0	544
-25.856	-23.404	16387	16528	0	544
-27.551	-25.820	16386	16440	0	544
-29.931	-29.643	16386	16362	0	544
-30.689	-31.987	16385	16282	0	544
-30.040	-33.213	16385	16211	0	544
-30.617	-31.554	16385	16143	0	544
-29.030	-31.735	16384	16078	0	544
-28.561	-28.994	16384	16019	0	544
-29.679	-29.787	16384	15976	0	544
-30.040	-30.617	16384	15987	0	544
-30.220	-31.049	16384	16038	0	544
-30.977	-31.590	16384	16081	0	544
-31.771	-31.338	16384	16104	0	544
-32.203	-30.833	16384	16158	0	544
-32.708	-31.879	16384	16240	0	544
-32.420	-30.400	16384	16291	0	544
-33.970	-30.797	16384	16314	0	544
-35.052	-30.761	16384	16367	0	544
-35.990	-29.318	16384	16452	0	544
-36.351	-30.400	16385	16514	0	544
-34.764	-29.607	16385	16528	0	544
-34.367	-29.787	16385	16514	0	544
-34.439	-29.210	16385	16483	0	544
-37.649	-32.961	16385	16435	0	544
-41.471	-36.351	16384	16384	0	544
-42.229	-36.747	16384	16331	0	544
-42.661	-33.574	16384	16277	0	544
-38.370	-29.499	16384	16229	0	544
-33.105	-23.729	16384	16177	0	544
-27.227	-21.457	16383	16129	0	544
-24.955	-19.618	16383	16087	0	544
-19.257	-21.277	16382	16053	0	544
-19.906	-20.627	16382	16024	0	544
-19.834	-19.401	16381	16016	0	544
-22.178	-19.942	16381	16056	0	544
-24.270	-16.877	16381	16143	0	544
-23.801	-17.490	16381	16217	0	544
-23.404	-17.562	16381	16257	0	544
-23.512	-19.978	16382	16299	0	544
-20.736	-19.077	16382	16379	0	544
-21.854	-17.598	16382	16480	0	544
-19.005	-13.379	16383	16568	0	544
-16.156	-10.278	16383	16670	0	544
-12.225	-9.196	16384	16832	0	544
-10.386	-7.465	16385	16988	0	544
-8.222	-5.481	16386	17084	0	544
-7.429	-3.750	16387	17149	0	544
-8.871	-2.019	16387	17212	0	544
-13.307	-6.022	16388	17223	0	544
-15.254	-11.107	16388	17180	0	544
-17.129	-14.281	16388	17098	0	544
-18.824	-18.752	16389	16993	0	544
-19.365	-18.500	16388	16866	0	544
-21.998	-22.106	16388	16730	1	1520
-27.479	-23.188	16388	16591	0	1520
-30.581	-24.702	16387	16454	0	1520
-29.859	-24.125	16387	16331	0	1520
-25.965	-20.123	16386	16217	0	1520
-21.529	-20.411	16386	16115	0	1520
-20.014	-20.123	16385	16021	0	1520
-20.014	-20.916	16385	15939	0	1520
-22.178	-21.313	16384	15865	0	1520
-18.536	-14.028	16384	15817	0	1520
-13.235	-9.881	16384	15829	0	1520
-7.789	-5.986	16384	15888	0	1520
-6.347	-7.573	16384	15934	0	1520
-10.963	-13.163	16384	15962	0	1520
-15.903	-20.014	16384	16021	0	1520
-17.815	-19.293	16384	16107	0	1520
-18.536	-16.697	16384	16160	0	1520
-15.146	-13.235	16384	16186	0	1520
-17.346	-13.704	16384	16240	0	1520
-20.519	-17.851	16384	16319	0	1520
-24.955	-18.716	16384	16379	0	1520
-24.955	-17.238	16384	16392	0	1520
-19.149	-6.022	16384	16389	0	1520
-14.245	2.921	16384	16376	0	1520
-11.143	7.176	16384	16350	0	1520
-14.245	6.058	16384	16322	0	1520
-19.365	3.029	16384	16294	0	1520
-23.332	2.524	16384	16263	0	1520
-22.899	3.534	16383	16226	0	1520
-23.044	4.075	16383	16186	0	1520
-21.168	2.669	16383	16149	0	1520
-19.149	2.236	16382	16118	0	1520
-15.795	4.760	16382	16095	0	1520
-10.422	11.756	16382	16081	0	1520
-6.671	16.084	16381	16084	0	1520
-8.222	12.658	16381	16132	0	1520
-11.756	7.862	16381	16214	0	1520
-13.812	2.056	16381	16277	0	1520
-13.523	1.046	16381	16319	0	1520
-13.054	5.157	16382	16386	0	1520
-10.097	8.078	16382	16483	0	1520
-13.271	6.347	16382	16554	0	1520
-11.540	6.239	16383	16602	0	1520
-8.547	6.275	16384	16676	0	1520
-4.003	7.212	16384	16766	0	1520
-0.974	9.304	16384	16817	0	1520
-0.938	6.888	16384	16817	0	1520
-4.039	3.498	16384	16792	0	1520
-6.203	-0.793	16384	16752	0	1520
-5.157	-1.515	16384	16698	0	1520
-3.606	-0.541	16384	16636	0	1520
-3.246	1.947	16384	16565	0	1520
-7.104	0.397	16384	16488	0	1520
