neuroNicle FX2
D3F25R12
Bluetooth SPP
2023년 11월 5일 일요일
오전 10:08
time interval = 4msec
EEG1	EEG2	PPG	sdPPG	pulse	peak_interval(msec)
38.803	55.572	16389	17468	0	592
39.524	52.290	16389	17332	0	592
42.337	51.461	16390	17269	1	588
43.924	47.782	16392	17281	0	588
40.137	49.261	16394	17307	0	588
36.206	48.864	16396	17341	0	588
32.853	52.759	16398	17387	0	588
37.216	54.959	16400	17428	0	588
47.097	61.017	16402	17428	0	588
58.817	64.335	16404	17389	0	588
60.224	66.138	16406	17345	0	588
53.588	65.020	16408	17307	0	588
40.894	57.916	16409	17267	0	588
32.276	52.759	16410	17180	0	588
30.869	48.756	16411	17019	0	588
33.033	47.349	16411	16792	0	588
33.429	48.179	16410	16534	0	588
31.158	47.313	16410	16279	0	588
30.617	46.809	16409	16063	0	588
35.701	47.349	16409	15912	0	588
43.815	49.477	16409	15804	0	588
47.494	51.028	16408	15681	0	588
44.284	53.660	16407	15499	0	588
34.006	48.828	16406	15345	0	588
25.171	46.051	16406	15343	0	588
23.152	44.284	16406	15417	0	588
27.155	46.989	16406	15442	0	588
32.600	52.110	16406	15423	0	588
33.033	52.434	16406	15423	0	588
30.436	52.074	16405	15459	0	588
29.030	46.881	16406	15527	0	588
30.436	42.048	16406	15586	0	588
36.170	41.688	16405	15609	0	588
41.327	43.094	16405	15631	0	588
41.543	47.169	16405	15686	0	588
40.930	51.100	16406	15770	0	588
42.445	57.122	16406	15868	0	588
45.546	61.233	16406	15957	0	588
49.549	60.981	16406	16044	0	588
46.809	61.233	16407	16141	0	588
37.396	59.466	16408	16251	0	588
28.453	57.158	16408	16338	0	588
26.758	56.401	16408	16378	0	588
29.643	56.185	16408	16405	0	588
34.908	51.893	16409	16466	0	588
36.314	49.116	16410	16564	0	588
32.853	49.044	16411	16672	0	588
29.607	49.766	16412	16758	0	588
30.689	53.768	16413	16822	0	588
34.908	52.506	16414	16885	0	588
36.351	48.936	16415	16955	0	588
33.718	42.986	16416	17025	0	588
30.725	38.370	16418	17078	0	588
32.203	36.495	16419	17112	0	588
34.043	38.767	16420	17125	0	588
34.259	41.075	16421	17123	0	588
27.660	43.419	16422	17101	0	588
18.752	48.648	16422	17036	0	588
16.949	57.627	16422	16934	0	588
25.424	68.482	16422	16826	0	588
39.380	74.144	16423	16729	0	588
43.924	73.927	16423	16661	0	588
33.069	66.390	16424	16665	0	588
16.336	60.332	16425	16718	0	588
7.501	60.188	16425	16712	0	588
16.156	67.111	16425	16589	0	588
39.632	71.475	16424	16388	0	588
53.877	72.953	16423	16192	0	588
51.388	68.013	16422	16008	0	588
29.354	59.935	16420	15794	0	588
5.157	55.463	16418	15525	0	588
-4.977	54.237	16416	15264	0	588
1.442	53.264	16414	15084	0	588
22.250	57.050	16412	14991	0	588
38.767	58.745	16411	14968	0	588
47.205	60.115	16409	14980	0	588
43.851	58.060	16408	14997	0	588
32.203	52.290	16407	15046	0	588
21.673	47.890	16407	15139	0	588
11.900	43.924	16406	15241	0	588
12.153	42.878	16405	15311	0	588
15.939	47.566	16404	15336	0	588
26.470	49.297	16402	15355	0	588
33.682	49.153	16401	15391	0	588
37.324	47.133	16400	15429	0	588
29.787	43.238	16399	15463	0	588
18.644	40.570	16398	15529	0	588
9.917	39.308	16397	15614	0	588
12.117	37.360	16396	15656	0	588
21.745	36.351	16394	15667	0	588
34.223	34.692	16394	15713	0	588
37.865	35.269	16393	15781	0	588
33.429	38.370	16392	15840	0	588
23.909	40.930	16391	15914	0	588
22.719	43.743	16391	16037	0	588
27.948	44.933	16391	16209	0	588
36.531	43.960	16391	16384	0	588
39.235	44.140	16392	16540	0	588
29.968	42.842	16392	16674	0	588
16.480	39.776	16392	16799	0	588
7.717	35.882	16393	16907	0	588
12.441	32.203	16393	16953	0	588
26.145	31.771	16392	16926	0	588
38.983	36.026	16391	16803	0	588
44.681	43.130	16390	16608	0	588
40.822	49.153	16388	16436	0	588
35.629	53.264	16387	16351	0	588
31.230	51.028	16386	16321	0	588
30.905	50.090	16385	16291	0	588
31.122	46.736	16384	16213	0	588
29.427	41.543	16383	16105	0	588
26.397	41.039	16382	16018	0	588
24.630	40.498	16381	15972	0	588
25.604	44.573	16380	15955	0	588
27.660	49.874	16379	15950	0	588
30.004	54.129	16378	15948	0	588
27.876	51.533	16377	15952	0	588
24.414	46.736	16376	15978	0	588
21.781	40.678	16375	16018	0	588
25.820	35.052	16375	16041	0	588
31.410	35.233	16374	16035	0	588
34.800	39.055	16373	16037	0	588
30.364	42.806	16372	16071	0	588
24.198	45.222	16372	16149	0	588
20.014	46.700	16371	16243	0	588
22.827	44.933	16371	16323	0	588
28.777	41.832	16371	16400	0	588
32.095	39.272	16371	16502	0	588
29.246	35.629	16372	16629	0	588
23.873	33.393	16373	16760	0	588
18.788	35.737	16373	16890	0	588
20.447	38.154	16375	17046	0	588
21.024	44.501	16376	17235	0	588
24.847	46.845	16378	17432	0	588
26.506	45.438	16380	17605	0	588
27.696	41.940	16382	17752	0	588
29.463	39.957	16384	17881	0	588
33.466	37.288	16385	17963	0	588
37.072	38.586	16386	17944	0	588
38.298	40.570	16387	17819	0	588
36.026	39.740	16387	17663	0	588
30.400	37.468	16387	17512	0	588
25.965	35.088	16387	17349	1	560
23.765	32.672	16387	17188	0	560
22.863	33.249	16388	17074	0	560
22.647	34.908	16388	17036	0	560
23.368	39.380	16390	17051	0	560
21.385	42.157	16391	17078	0	560
20.844	43.058	16392	17114	0	560
21.385	43.202	16394	17150	0	560
20.808	41.543	16395	17156	0	560
21.313	41.327	16396	17114	0	560
20.664	42.409	16396	17002	0	560
23.332	41.652	16396	16839	0	560
25.712	42.986	16397	16695	0	560
28.633	42.481	16396	16593	0	560
31.915	42.409	16397	16515	0	560
33.934	43.779	16397	16451	0	560
33.646	42.914	16397	16353	0	560
33.177	43.960	16397	16245	0	560
34.259	43.491	16398	16249	0	560
36.495	45.655	16399	16363	0	560
38.695	47.926	16400	16417	0	560
40.173	52.326	16400	16357	0	560
39.704	51.713	16400	16240	0	560
39.596	51.749	16399	16156	0	560
38.875	49.297	16400	16126	0	560
39.885	49.153	16400	16126	0	560
39.488	49.657	16400	16105	0	560
39.812	50.811	16400	16041	0	560
41.976	52.614	16400	15974	0	560
46.448	49.874	16399	15931	0	560
51.749	48.576	16399	15910	0	560
52.795	48.431	16399	15897	0	560
49.441	48.323	16398	15866	0	560
38.983	51.388	16398	15832	0	560
30.400	50.523	16397	15821	0	560
25.712	50.415	16398	15844	0	560
25.604	49.116	16397	15876	0	560
29.859	49.044	16397	15893	0	560
38.803	53.732	16397	15921	0	560
46.484	56.653	16397	15993	0	560
52.074	57.555	16398	16111	0	560
50.956	55.788	16398	16240	0	560
46.376	48.251	16399	16327	0	560
38.226	45.402	16399	16376	0	560
33.249	43.599	16400	16422	0	560
32.925	44.609	16401	16483	0	560
35.485	45.005	16401	16557	0	560
36.783	47.313	16402	16629	0	560
36.062	46.917	16403	16695	0	560
35.160	47.241	16403	16752	0	560
34.620	48.612	16404	16809	0	560
33.177	49.369	16405	16858	0	560
34.620	48.323	16406	16866	0	560
34.656	48.828	16406	16820	0	560
33.646	46.700	16406	16735	0	560
29.787	42.445	16406	16642	0	560
22.791	38.118	16406	16564	0	560
19.618	34.151	16405	16492	0	560
22.142	32.167	16405	16411	0	560
30.797	31.915	16404	16296	0	560
40.930	33.357	16403	16096	0	560
42.337	31.626	16401	15859	0	560
38.622	32.636	16400	15675	0	560
28.633	32.780	16398	15546	0	560
22.935	33.898	16396	15421	0	560
22.935	35.846	16394	15281	0	560
26.001	35.197	16392	15150	0	560
26.109	31.951	16390	15076	0	560
28.958	30.400	16389	15080	0	560
30.725	30.545	16388	15156	0	560
34.439	35.377	16387	15266	0	560
36.242	40.173	16387	15376	0	560
36.819	42.914	16387	15510	0	560
35.665	44.609	16387	15694	0	560
35.016	43.599	16387	15893	0	560
35.665	44.176	16387	16044	0	560
37.216	43.960	16387	16128	0	560
35.990	43.707	16387	16188	0	560
32.997	40.029	16386	16264	0	560
31.735	40.101	16387	16355	0	560
34.583	39.524	16387	16426	0	560
37.396	40.462	16386	16458	0	560
38.550	40.101	16386	16466	0	560
36.855	38.550	16386	16494	0	560
33.033	35.737	16386	16555	0	560
29.138	35.737	16386	16619	0	560
26.866	36.711	16386	16659	0	560
24.811	38.695	16386	16674	0	560
21.565	39.019	16386	16674	0	560
20.952	38.695	16386	16676	0	560
21.096	39.416	16386	16686	0	560
23.404	38.586	16385	16676	0	560
25.424	38.082	16385	16640	0	560
23.945	37.793	16385	16614	0	560
22.575	37.180	16385	16625	0	560
25.388	40.137	16385	16661	0	560
32.853	46.268	16386	16697	0	560
37.757	53.985	16386	16710	0	560
43.743	57.771	16385	16676	0	560
41.580	58.493	16385	16612	0	560
37.252	53.949	16385	16549	0	560
35.629	51.352	16384	16481	0	560
33.682	47.530	16384	16415	0	560
30.076	49.333	16384	16355	0	560
23.837	50.054	16383	16274	0	560
13.631	49.766	16381	16137	0	560
7.032	47.494	16379	15893	0	560
2.200	39.957	16377	15599	0	560
-0.108	34.728	16374	15366	0	560
-1.479	31.879	16371	15192	0	560
-5.626	33.285	16368	15040	0	560
-11.540	35.341	16367	14951	0	560
-18.428	36.639	16364	14947	0	560
-21.204	33.357	16363	14972	0	560
-23.440	29.427	16360	14972	0	560
-21.601	27.624	16359	14970	0	560
-18.031	27.371	16358	15076	0	560
-19.221	26.758	16358	15311	0	560
-19.582	26.073	16358	15582	0	560
-22.683	25.496	16357	15796	0	560
-21.673	26.758	16357	15946	0	560
-20.627	29.066	16357	16092	0	560
-15.362	31.230	16357	16257	0	560
-13.054	30.761	16357	16400	0	560
-6.960	30.256	16357	16485	0	560
-1.875	29.427	16356	16530	0	560
4.616	30.689	16357	16606	0	560
9.088	33.285	16357	16744	0	560
10.602	36.351	16358	16915	0	560
9.448	39.416	16359	17087	0	560
9.268	42.120	16360	17239	0	560
9.016	42.048	16361	17383	0	560
9.196	40.317	16362	17512	0	560
10.422	35.485	16364	17608	0	560
12.189	32.672	16365	17667	0	560
13.199	32.925	16366	17716	0	560
14.966	33.826	16368	17771	0	560
15.362	36.711	16370	17841	0	560
13.163	36.242	16372	17942	0	560
12.838	35.233	16374	18069	0	560
14.245	34.511	16377	18177	0	560
18.283	37.036	16379	18249	0	560
25.135	41.363	16381	18296	0	560
33.105	44.573	16384	18338	0	560
40.101	49.513	16386	18376	0	560
44.392	51.172	16388	18383	0	560
