neuroNicle FX2
D3F0R0
UART
2023년 11월 4일 토요일
오전 10:24
time interval = 4msec
EEG1	EEG2	PPG	sdPPG	pulse	peak_interval(msec)
-16.516	-5.265	16207	200	0	332
-21.204	-0.433	16131	0	0	332
-25.243	-9.052	16088	0	0	332
-33.862	-26.073	16025	0	0	332
-51.352	-45.041	15995	0	0	332
-75.117	-63.217	15974	0	0	332
-99.207	-79.553	15953	0	0	332
-115.723	-93.761	15953	0	0	332
-120.014	-105.806	15953	1056	0	332
-112.838	-115.110	15953	4937	0	332
-105.806	-119.221	15974	8884	0	332
-105.698	-111.973	15995	12634	0	332
-112.081	-101.983	15974	14937	0	332
-119.870	-89.794	15932	12766	0	332
-123.404	-87.523	15868	7240	0	332
-127.263	-96.935	15813	3687	0	332
-135.846	-114.461	15784	3687	0	332
-149.874	-128.345	15750	5200	0	332
-157.158	-130.076	15771	7306	0	332
-144.537	-116.985	15750	9937	0	332
-111.287	-98.089	15771	12766	0	332
-78.687	-82.726	15784	15792	0	332
-67.256	-79.264	15784	18949	0	332
-86.621	-88.208	15805	22173	0	332
-120.772	-101.370	15835	25265	0	332
-142.301	-111.576	15856	28357	0	332
-137.324	-114.605	15890	31449	0	332
-112.477	-111.071	15919	32767	0	332
-89.434	-101.515	15974	32767	0	332
-83.952	-90.696	15974	32767	0	332
-92.932	-80.346	15932	32767	0	332
-104.760	-73.603	15898	26318	0	332
-105.950	-71.655	15856	21120	0	332
-98.305	-79.517	15856	19476	0	332
-87.523	-87.703	15835	19410	1	664
-80.418	-94.302	15847	19936	0	664
-77.461	-91.922	15877	21252	0	664
-76.992	-81.608	15877	23489	0	664
-76.740	-69.996	15919	25923	0	664
-75.694	-65.561	15953	28160	0	664
-78.723	-71.186	15983	30397	0	664
-83.051	-80.490	16038	32634	0	664
-88.280	-85.395	16067	32767	0	664
-87.126	-77.678	16110	32767	0	664
-78.507	-64.154	16152	32767	0	664
-65.633	-50.920	16194	32767	0	664
-58.529	-46.989	16249	32767	0	664
-59.647	-52.218	16270	32767	0	664
-66.426	-60.043	16313	32767	0	664
-68.013	-63.000	16342	32767	0	664
-56.149	-61.161	16376	32767	0	664
-36.783	-51.893	16405	32767	0	664
-23.044	-42.409	16434	32767	0	664
-26.686	-38.839	16455	32767	0	664
-45.438	-42.048	16489	32173	0	664
-64.371	-50.270	16510	30791	0	664
-69.528	-57.627	16532	29476	0	664
-56.509	-57.266	16553	28094	0	664
-39.452	-47.458	16574	26712	0	664
-30.581	-37.360	16603	25265	0	664
-36.928	-33.069	16616	23884	0	664
-49.513	-38.154	16625	22568	0	664
-56.942	-46.448	16658	21449	0	664
-53.624	-51.172	16646	18949	0	664
-45.078	-46.917	16595	12503	0	664
-38.586	-34.908	16519	3095	0	664
-38.731	-25.820	16468	0	0	664
-44.284	-24.414	16413	0	0	664
-45.474	-31.013	16384	0	0	664
-39.957	-38.442	16355	0	0	664
-26.109	-42.084	16321	0	0	664
-12.730	-37.216	16300	0	0	664
-9.773	-31.699	16291	0	0	664
-18.897	-26.938	16279	0	0	664
-34.439	-24.198	16291	0	0	664
-39.993	-19.942	16291	0	0	664
-29.282	-13.884	16291	266	0	664
-6.167	-7.465	16300	3292	0	664
14.966	-2.452	16313	6253	0	664
20.880	-1.479	16321	9082	0	664
9.448	-2.236	16334	11713	0	664
-8.078	-5.409	16363	14016	0	664
-23.512	-15.290	16376	16253	0	664
-26.794	-25.965	16392	18226	0	664
-15.903	-35.521	16405	19936	0	664
2.236	-37.541	16426	21252	0	664
18.824	-32.492	16426	22370	0	664
22.106	-26.866	16447	23620	0	664
8.330	-25.604	16468	24541	0	664
-16.841	-26.109	16477	25199	0	664
-37.108	-23.404	16498	25660	0	664
-39.993	-13.091	16519	26120	0	664
-25.532	-1.839	16532	26384	0	664
-3.859	2.669	16540	26515	0	664
10.710	-5.986	16561	26515	0	664
12.009	-24.486	16574	26515	0	664
1.010	-40.822	16582	26186	0	664
-12.910	-44.861	16595	25462	0	664
-21.204	-36.891	16603	24344	0	664
-20.555	-19.762	16603	23291	0	664
-12.045	-3.895	16603	22173	0	664
-4.183	2.488	16616	20989	0	664
-3.318	-0.938	16603	19739	0	664
-11.648	-12.441	16603	18423	0	664
-23.981	-26.217	16616	17305	0	664
-28.561	-34.764	16603	16515	0	664
-23.585	-35.882	16595	15924	0	664
-12.550	-33.862	16574	14082	0	664
-8.511	-32.708	16510	8490	0	664
-15.146	-33.862	16434	69	0	664
-30.076	-36.819	16342	0	0	664
-43.527	-38.226	16215	0	0	664
-47.746	-38.082	16088	0	0	664
-44.464	-40.822	16004	0	1	316
-39.416	-48.071	15911	0	0	316
-36.026	-54.021	15868	0	0	316
-32.600	-51.785	15813	0	0	316
-29.391	-40.822	15792	0	0	316
-24.089	-24.378	15771	0	0	316
-22.647	-13.379	15784	0	0	316
-23.549	-13.920	15784	0	0	316
-27.984	-23.837	15813	2042	0	316
-29.679	-36.459	15826	8687	0	316
-27.732	-44.140	15856	14871	0	316
-23.549	-43.815	15911	20594	0	316
-22.250	-39.019	15919	25989	0	316
-23.585	-32.853	15974	30923	0	316
-26.470	-29.174	16016	32767	0	316
-25.207	-27.912	16059	32767	0	316
-17.598	-28.994	16101	32767	0	316
-8.366	-30.004	16165	32767	0	316
-5.481	-28.814	16194	32767	0	316
-16.589	-31.482	16228	32767	0	316
-33.393	-38.406	16270	32767	0	316
-46.268	-46.628	16321	32767	0	316
-44.861	-51.857	16363	32767	0	316
-30.869	-51.028	16405	32767	0	316
-20.050	-44.140	16447	32767	0	316
-19.582	-33.682	16477	32767	0	316
-24.991	-25.568	16519	32767	0	316
-21.204	-15.326	16553	32767	0	316
-4.724	-5.554	16582	32767	0	316
17.598	0.108	16616	32767	0	316
22.467	-8.006	16646	32767	0	316
6.203	-28.417	16680	32767	0	316
-20.123	-48.323	16688	32767	0	316
-36.495	-57.158	16701	32767	0	316
-33.502	-48.071	16722	31384	0	316
-15.182	-25.712	16743	28423	0	316
